A_re,0.983034411263,1.146235545412,1.274365503411,1.374223865795,1.449354452859,1.501870634626,1.533195792355,1.544414311427,1.536455998005,1.510199871601,1.466535055363,1.406397004800,1.330788597268,1.240791378255,1.137570076565,1.022372311565,0.896524740013,0.761426491986,0.618540503860,0.469383205819,0.315512925455,0.158517306496
A_im,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_re,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_im,-0.983034411263,-1.146235545412,-1.274365503411,-1.374223865795,-1.449354452859,-1.501870634626,-1.533195792355,-1.544414311427,-1.536455998005,-1.510199871601,-1.466535055363,-1.406397004800,-1.330788597268,-1.240791378255,-1.137570076565,-1.022372311565,-0.896524740013,-0.761426491986,-0.618540503860,-0.469383205819,-0.315512925455,-0.158517306496
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
# constraint,power
# norm_sq,62.831853071796
# dEdt,5.000000000000
# lambda_max,4.975774732174
