A_re,0.132278069583,0.156472753710,0.177361798223,0.195995697595,0.212958734679,0.228615244658,0.243210291934,0.256917883382,0.269866700981,0.282154973447,0.293859612922,0.305042107725,0.315752476372,0.326032009510,0.335915224954,0.345431295276,0.354605111996,0.363458093356,0.372008807310,0.380273458879,0.388266276266,0.395999820282,0.403485234904,0.410732452075,0.417750360557,0.424546946244,0.431129409622,0.437504264738,0.443677423135,0.449654265430,0.455439702694,0.461038229348,0.466453968961,0.471690714084,0.476751961036,0.481640940400,0.486360643857,0.490913847884,0.495303134742,0.499530911138,0.503599424846,0.507510779570,0.511266948262,0.514869785089,0.518321036207,0.521622349488,0.524775283319,0.527781314583,0.530641845899,0.533358212218,0.535931686835,0.538363486878,0.540654778331,0.542806680634,0.544820270906,0.546696587823,0.548436635190,0.550041385224,0.551511781598,0.552848742231,0.554053161888,0.555125914571,0.556067855744,0.556879824390,0.557562644926,0.558117128976,0.558544077021,0.558844279938,0.559018520428,0.559067574344,0.558992211938,0.558793199012,0.558471298002,0.558027268979,0.557461870593,0.556775860952,0.555969998434,0.555045042459,0.554001754200,0.552840897247,0.551563238238,0.550169547431,0.548660599253,0.547037172800,0.545300052314,0.543450027620,0.541487894533,0.539414455240,0.537230518654,0.534936900740,0.532534424822,0.530023921857,0.527406230703,0.524682198351,0.521852680149,0.518918539999,0.515880650544,0.512739893335,0.509497158979,0.506153347277,0.502709367348,0.499166137732,0.495524586488,0.491785651277,0.487950279432,0.484019428015,0.479994063867,0.475875163646,0.471663713853,0.467360710851,0.462967160874,0.458484080026,0.453912494271,0.449253439419,0.444507961101,0.439677114731,0.434761965476,0.429763588198,0.424683067411,0.419521497212,0.414279981220,0.408959632503,0.403561573494,0.398086935917,0.392536860685,0.386912497816,0.381215006327,0.375445554129,0.369605317919,0.363695483063,0.357717243483,0.351671801523,0.345560367832,0.339384161227,0.333144408557,0.326842344565,0.320479211745,0.314056260195,0.307574747466,0.301035938409,0.294441105019,0.287791526273,0.281088487968,0.274333282557,0.267527208977,0.260671572478,0.253767684452,0.246816862252,0.239820429014,0.232779713476,0.225696049796,0.218570777359,0.211405240596,0.204200788790,0.196958775883,0.189680560281,0.182367504662,0.175020975773,0.167642344231,0.160232984324,0.152794273806,0.145327593692,0.137834328053,0.130315863808,0.122773590515,0.115208900163,0.107623186957,0.100017847110,0.092394278625,0.084753881086,0.077098055438,0.069428203772,0.061745729109,0.054052035182,0.046348526216,0.038636606712,0.030917681221,0.023193154131,0.015464429442,0.007732910545
A_im,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_re,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_im,-0.132278069583,-0.156472753710,-0.177361798223,-0.195995697595,-0.212958734679,-0.228615244658,-0.243210291934,-0.256917883382,-0.269866700981,-0.282154973447,-0.293859612922,-0.305042107725,-0.315752476372,-0.326032009510,-0.335915224954,-0.345431295276,-0.354605111996,-0.363458093356,-0.372008807310,-0.380273458879,-0.388266276266,-0.395999820282,-0.403485234904,-0.410732452075,-0.417750360557,-0.424546946244,-0.431129409622,-0.437504264738,-0.443677423135,-0.449654265430,-0.455439702694,-0.461038229348,-0.466453968961,-0.471690714084,-0.476751961036,-0.481640940400,-0.486360643857,-0.490913847884,-0.495303134742,-0.499530911139,-0.503599424846,-0.507510779570,-0.511266948262,-0.514869785089,-0.518321036207,-0.521622349488,-0.524775283319,-0.527781314583,-0.530641845899,-0.533358212218,-0.535931686835,-0.538363486878,-0.540654778331,-0.542806680634,-0.544820270906,-0.546696587823,-0.548436635190,-0.550041385224,-0.551511781598,-0.552848742231,-0.554053161888,-0.555125914571,-0.556067855744,-0.556879824390,-0.557562644926,-0.558117128976,-0.558544077021,-0.558844279938,-0.559018520428,-0.559067574344,-0.558992211938,-0.558793199012,-0.558471298002,-0.558027268979,-0.557461870593,-0.556775860952,-0.555969998434,-0.555045042460,-0.554001754200,-0.552840897247,-0.551563238238,-0.550169547431,-0.548660599253,-0.547037172800,-0.545300052314,-0.543450027620,-0.541487894533,-0.539414455240,-0.537230518654,-0.534936900740,-0.532534424822,-0.530023921857,-0.527406230703,-0.524682198351,-0.521852680149,-0.518918539999,-0.515880650544,-0.512739893335,-0.509497158979,-0.506153347277,-0.502709367348,-0.499166137732,-0.495524586488,-0.491785651277,-0.487950279432,-0.484019428015,-0.479994063867,-0.475875163646,-0.471663713853,-0.467360710851,-0.462967160874,-0.458484080026,-0.453912494271,-0.449253439419,-0.444507961101,-0.439677114731,-0.434761965476,-0.429763588198,-0.424683067411,-0.419521497212,-0.414279981220,-0.408959632503,-0.403561573494,-0.398086935917,-0.392536860685,-0.386912497816,-0.381215006327,-0.375445554129,-0.369605317919,-0.363695483063,-0.357717243483,-0.351671801523,-0.345560367832,-0.339384161227,-0.333144408557,-0.326842344565,-0.320479211745,-0.314056260195,-0.307574747466,-0.301035938409,-0.294441105019,-0.287791526273,-0.281088487968,-0.274333282557,-0.267527208977,-0.260671572478,-0.253767684452,-0.246816862252,-0.239820429014,-0.232779713476,-0.225696049796,-0.218570777359,-0.211405240596,-0.204200788790,-0.196958775883,-0.189680560281,-0.182367504662,-0.175020975773,-0.167642344231,-0.160232984324,-0.152794273806,-0.145327593692,-0.137834328053,-0.130315863808,-0.122773590515,-0.115208900163,-0.107623186957,-0.100017847110,-0.092394278625,-0.084753881086,-0.077098055438,-0.069428203772,-0.061745729109,-0.054052035182,-0.046348526216,-0.038636606712,-0.030917681221,-0.023193154131,-0.015464429442,-0.007732910545
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181
# constraint,power
# norm_sq,62.831853071796
# dEdt,5.000000000000
# lambda_max,4.999565863582
