A_re,0.315502357241,0.372753745586,0.421826661034,0.465192420636,0.504213438697,0.539730281852,0.572301453757,0.602318109355,0.630065211890,0.655756834094,0.679557817877,0.701597724601,0.721980182225,0.740789357419,0.758094563104,0.773953617489,0.788415343804,0.801521464291,0.813308058109,0.823806699367,0.833045356598,0.841049111619,0.847840739747,0.853441182301,0.857869934406,0.861145365543,0.863284986121,0.864305670377,0.864223843596,0.863055639972,0.860817036118,0.857523964222,0.853192408095,0.847838484710,0.841478513393,0.834129074421,0.825807058472,0.816529708160,0.806314652648,0.795179936201,0.783144041394,0.770225907601,0.756444945258,0.741821046379,0.726374591690,0.710126454728,0.693098003181,0.675311097741,0.656788088681,0.637551810354,0.617625573792,0.597033157568,0.575798797038,0.553947172119,0.531503393691,0.508492988739,0.484941884328,0.460876390503,0.436323182176,0.411309280098,0.385862030970,0.360009086765,0.333778383313,0.307198118224,0.280296728184,0.253102865689,0.225645375269,0.197953269232,0.170055703000,0.141981950056,0.113761376570,0.085423415718,0.056997541762,0.028513243908
A_im,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_re,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_im,-0.315502357241,-0.372753745586,-0.421826661034,-0.465192420636,-0.504213438697,-0.539730281852,-0.572301453757,-0.602318109355,-0.630065211890,-0.655756834094,-0.679557817877,-0.701597724601,-0.721980182225,-0.740789357419,-0.758094563104,-0.773953617489,-0.788415343804,-0.801521464291,-0.813308058109,-0.823806699367,-0.833045356598,-0.841049111619,-0.847840739747,-0.853441182301,-0.857869934406,-0.861145365543,-0.863284986121,-0.864305670377,-0.864223843596,-0.863055639972,-0.860817036118,-0.857523964222,-0.853192408095,-0.847838484710,-0.841478513393,-0.834129074421,-0.825807058472,-0.816529708160,-0.806314652648,-0.795179936201,-0.783144041394,-0.770225907601,-0.756444945258,-0.741821046379,-0.726374591690,-0.710126454728,-0.693098003181,-0.675311097741,-0.656788088681,-0.637551810354,-0.617625573792,-0.597033157568,-0.575798797038,-0.553947172119,-0.531503393691,-0.508492988739,-0.484941884328,-0.460876390503,-0.436323182176,-0.411309280098,-0.385862030970,-0.360009086765,-0.333778383313,-0.307198118224,-0.280296728184,-0.253102865689,-0.225645375269,-0.197953269232,-0.170055703000,-0.141981950056,-0.113761376570,-0.085423415718,-0.056997541762,-0.028513243908
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
# constraint,power
# norm_sq,62.831853071796
# dEdt,5.000000000000
# lambda_max,4.997528052312
