A_re,0.567595348331,0.668356328239,0.752972919036,0.825734554531,0.888955496498,0.944029812901,0.991861426502,1.033069411131,1.068097190883,1.097275417094,1.120860439984,1.139059002973,1.152044715718,1.159969391246,1.162971047884,1.161179671705,1.154721430370,1.143721787608,1.128307818423,1.108609930381,1.084763134497,1.056907968088,1.025191143876,0.989765980206,0.950792653585,0.908438304930,0.862877023857,0.814289730155,0.762863967745,0.708793623541,0.652278581484,0.593524320339,0.532741462623,0.470145281010,0.405955167838,0.340394072730,0.273687912861,0.206064960064,0.137755208640,0.068989727486
A_im,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_re,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_im,-0.567595348331,-0.668356328239,-0.752972919036,-0.825734554531,-0.888955496498,-0.944029812901,-0.991861426502,-1.033069411131,-1.068097190883,-1.097275417094,-1.120860439984,-1.139059002973,-1.152044715718,-1.159969391246,-1.162971047884,-1.161179671705,-1.154721430370,-1.143721787608,-1.128307818423,-1.108609930381,-1.084763134497,-1.056907968088,-1.025191143876,-0.989765980206,-0.950792653585,-0.908438304930,-0.862877023857,-0.814289730155,-0.762863967745,-0.708793623541,-0.652278581484,-0.593524320339,-0.532741462623,-0.470145281010,-0.405955167838,-0.340394072730,-0.273687912861,-0.206064960064,-0.137755208640,-0.068989727486
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
# constraint,power
# norm_sq,62.831853071796
# dEdt,5.000000000000
# lambda_max,4.991980337596
