A_re,0.164779395090,0.194890792647,0.220866255291,0.244012250850,0.265054660218,0.284445528434,0.302488455951,0.319398639704,0.335334913896,0.350418264301,0.364743200886,0.378385091231,0.391405080232,0.403853500949,0.415772306034,0.427196842757,0.438157175878,0.448679091507,0.458784871128,0.468493896935,0.477823131298,0.486787500891,0.495400207640,0.503672982831,0.511616296535,0.519239531605,0.526551129262,0.533558711755,0.540269186332,0.546688833884,0.552823384930,0.558678085078,0.564257751678,0.569566823081,0.574609401627,0.579389291320,0.583910030965,0.588174923404,0.592187061406,0.595949350651,0.599464530208,0.602735190814,0.605763791240,0.608552672981,0.611104073463,0.613420137956,0.615502930326,0.617354442768,0.618976604625,0.620371290401,0.621540327045,0.622485500582,0.623208562163,0.623711233588,0.623995212350,0.624062176257,0.623913787656,0.623551697309,0.622977547945,0.622192977523,0.621199622216,0.619999119165,0.618593108998,0.616983238141,0.615171160952,0.613158541666,0.610947056185,0.608538393720,0.605934258293,0.603136370111,0.600146466819,0.596966304648,0.593597659458,0.590042327676,0.586302127163,0.582378897974,0.578274503062,0.573990828892,0.569529785989,0.564893309431,0.560083359267,0.555101920882,0.549951005315,0.544632649513,0.539148916545,0.533501895768,0.527693702946,0.521726480333,0.515602396710,0.509323647393,0.502892454197,0.496311065368,0.489581755489,0.482706825348,0.475688601779,0.468529437473,0.461231710768,0.453797825404,0.446230210265,0.438531319084,0.430703630138,0.422749645911,0.414671892744,0.406472920464,0.398155301985,0.389721632906,0.381174531075,0.372516636149,0.363750609133,0.354879131900,0.345904906700,0.336830655658,0.327659120247,0.318393060759,0.309035255759,0.299588501526,0.290055611480,0.280439415605,0.270742759857,0.260968505555,0.251119528776,0.241198719730,0.231208982129,0.221153232546,0.211034399770,0.200855424147,0.190619256921,0.180328859556,0.169987203069,0.159597267335,0.149162040407,0.138684517813,0.128167701860,0.117614600926,0.107028228747,0.096411603708,0.085767748114,0.075099687478,0.064410449784,0.053703064764,0.042980563161,0.032245975998,0.021502333833,0.010752666028
A_im,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_re,-0.000000000000,-0.000000000000,0.000000000000,-0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_im,-0.164779395090,-0.194890792647,-0.220866255291,-0.244012250850,-0.265054660218,-0.284445528434,-0.302488455951,-0.319398639704,-0.335334913896,-0.350418264301,-0.364743200886,-0.378385091231,-0.391405080232,-0.403853500949,-0.415772306034,-0.427196842757,-0.438157175878,-0.448679091507,-0.458784871128,-0.468493896935,-0.477823131298,-0.486787500891,-0.495400207640,-0.503672982831,-0.511616296535,-0.519239531605,-0.526551129262,-0.533558711755,-0.540269186332,-0.546688833884,-0.552823384930,-0.558678085078,-0.564257751678,-0.569566823081,-0.574609401627,-0.579389291320,-0.583910030965,-0.588174923404,-0.592187061406,-0.595949350651,-0.599464530208,-0.602735190814,-0.605763791240,-0.608552672981,-0.611104073463,-0.613420137956,-0.615502930326,-0.617354442768,-0.618976604625,-0.620371290401,-0.621540327045,-0.622485500582,-0.623208562163,-0.623711233588,-0.623995212350,-0.624062176257,-0.623913787656,-0.623551697309,-0.622977547945,-0.622192977523,-0.621199622216,-0.619999119165,-0.618593108998,-0.616983238141,-0.615171160952,-0.613158541666,-0.610947056185,-0.608538393720,-0.605934258293,-0.603136370111,-0.600146466819,-0.596966304648,-0.593597659458,-0.590042327677,-0.586302127163,-0.582378897974,-0.578274503062,-0.573990828892,-0.569529785989,-0.564893309432,-0.560083359267,-0.555101920882,-0.549951005315,-0.544632649513,-0.539148916545,-0.533501895768,-0.527693702946,-0.521726480333,-0.515602396710,-0.509323647393,-0.502892454197,-0.496311065368,-0.489581755489,-0.482706825348,-0.475688601779,-0.468529437473,-0.461231710768,-0.453797825405,-0.446230210265,-0.438531319084,-0.430703630138,-0.422749645911,-0.414671892744,-0.406472920464,-0.398155301985,-0.389721632906,-0.381174531075,-0.372516636149,-0.363750609133,-0.354879131900,-0.345904906700,-0.336830655658,-0.327659120247,-0.318393060759,-0.309035255759,-0.299588501526,-0.290055611480,-0.280439415605,-0.270742759857,-0.260968505555,-0.251119528776,-0.241198719730,-0.231208982129,-0.221153232546,-0.211034399770,-0.200855424147,-0.190619256921,-0.180328859557,-0.169987203069,-0.159597267335,-0.149162040407,-0.138684517813,-0.128167701860,-0.117614600926,-0.107028228747,-0.096411603708,-0.085767748114,-0.075099687478,-0.064410449784,-0.053703064764,-0.042980563161,-0.032245975998,-0.021502333833,-0.010752666028
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145
# constraint,power
# norm_sq,62.831853071796
# dEdt,5.000000000000
# lambda_max,4.999326245892
