A_re,0.581249978764,0.684273235827,0.770660688733,0.844794276728,0.909034942040,0.964802925813,1.013018082692,1.054310050327,1.089130024415,1.117815107398,1.140627670898,1.157780612519,1.169454194464,1.175807621955,1.176987204320,1.173132220007,1.164379192457,1.150865036492,1.132729382290,1.110116287092,1.083175481578,1.052063255749,1.016943060481,0.977985881065,0.935370425096,0.889283157073,0.839918204876,0.787477157984,0.732168773404,0.674208602345,0.613818548486,0.551226367001,0.486665112234,0.420372540911,0.352590477043,0.283564144020,0.213541468982,0.142772364117,0.071507989274
A_im,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_re,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_im,-0.581249978764,-0.684273235827,-0.770660688733,-0.844794276728,-0.909034942040,-0.964802925813,-1.013018082692,-1.054310050327,-1.089130024415,-1.117815107398,-1.140627670898,-1.157780612519,-1.169454194464,-1.175807621955,-1.176987204320,-1.173132220007,-1.164379192457,-1.150865036492,-1.132729382290,-1.110116287092,-1.083175481578,-1.052063255749,-1.016943060481,-0.977985881065,-0.935370425096,-0.889283157073,-0.839918204876,-0.787477157984,-0.732168773404,-0.674208602345,-0.613818548486,-0.551226367001,-0.486665112234,-0.420372540911,-0.352590477043,-0.283564144020,-0.213541468982,-0.142772364117,-0.071507989274
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
# constraint,power
# norm_sq,62.831853071796
# dEdt,5.000000000000
# lambda_max,4.991588409420
