A_re,0.554567056854,0.653158979966,0.736068724111,0.807496835974,0.869712552907,0.924084622921,0.971501554596,1.012572260450,1.047732795634,1.077307828090,1.101548257568,1.120655370297,1.134796959857,1.144118430240,1.148750641523,1.148815569460,1.144430454530,1.135710879757,1.122773070723,1.105735618568,1.084720766281,1.059855358282,1.031271525851,0.999107161928,0.963506225404,0.924618905422,0.882601669306,0.837617212586,0.789834325858,0.739427690378,0.686577612140,0.631469702598,0.574294512898,0.515247127569,0.454526722831,0.392336094132,0.328881157006,0.264370425046,0.199014468426,0.133025356206,0.066616085446
A_im,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_re,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_im,-0.554567056854,-0.653158979966,-0.736068724111,-0.807496835974,-0.869712552907,-0.924084622921,-0.971501554596,-1.012572260450,-1.047732795634,-1.077307828090,-1.101548257568,-1.120655370297,-1.134796959857,-1.144118430240,-1.148750641523,-1.148815569460,-1.144430454530,-1.135710879757,-1.122773070723,-1.105735618568,-1.084720766281,-1.059855358282,-1.031271525851,-0.999107161928,-0.963506225404,-0.924618905422,-0.882601669306,-0.837617212586,-0.789834325858,-0.739427690378,-0.686577612140,-0.631469702598,-0.574294512898,-0.515247127569,-0.454526722831,-0.392336094132,-0.328881157006,-0.264370425046,-0.199014468426,-0.133025356206,-0.066616085446
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
# constraint,power
# norm_sq,62.831853071796
# dEdt,5.000000000000
# lambda_max,4.992345482571
