A_re,0.285644794971,0.337568666217,0.382146238416,0.421621650725,0.457234429973,0.489751049336,0.519682085784,0.547386131030,0.573125201601,0.597096730472,0.619453201081,0.640314796215,0.659777875484,0.677920846889,0.694808348057,0.710494295453,0.725024154345,0.738436659388,0.750765139678,0.762038553685,0.772282307816,0.781518911193,0.789768504761,0.797049292760,0.803377897517,0.808769653354,0.813238851705,0.816798946792,0.819462729136,0.821242472631,0.822150059755,0.822197088542,0.821394964259,0.819754978168,0.817288375330,0.814006413030,0.809920411169,0.805041795703,0.799382136063,0.792953177315,0.785766867715,0.777835382218,0.769171142392,0.759786833165,0.749695416724,0.738910143875,0.727444563134,0.715312527739,0.702528200820,0.689106058860,0.675060893625,0.660407812681,0.645162238620,0.629339907101,0.612956863797,0.596029460333,0.578574349293,0.560608478354,0.542149083632,0.523213682265,0.503820064313,0.483986284006,0.463730650391,0.443071717414,0.422028273482,0.400619330530,0.378864112642,0.356782044237,0.334392737863,0.311715981635,0.288771726315,0.265580072094,0.242161255072,0.218535633480,0.194723673654,0.170745935788,0.146623059482,0.122375749121,0.098024759081,0.073590878797,0.049094917719,0.024557690148
A_im,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_re,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_im,-0.285644794971,-0.337568666217,-0.382146238416,-0.421621650725,-0.457234429973,-0.489751049336,-0.519682085784,-0.547386131030,-0.573125201601,-0.597096730472,-0.619453201081,-0.640314796215,-0.659777875484,-0.677920846889,-0.694808348057,-0.710494295453,-0.725024154345,-0.738436659388,-0.750765139678,-0.762038553685,-0.772282307816,-0.781518911193,-0.789768504761,-0.797049292760,-0.803377897517,-0.808769653354,-0.813238851705,-0.816798946792,-0.819462729136,-0.821242472631,-0.822150059755,-0.822197088542,-0.821394964259,-0.819754978168,-0.817288375330,-0.814006413030,-0.809920411169,-0.805041795703,-0.799382136063,-0.792953177315,-0.785766867715,-0.777835382218,-0.769171142392,-0.759786833165,-0.749695416724,-0.738910143875,-0.727444563134,-0.715312527739,-0.702528200820,-0.689106058860,-0.675060893625,-0.660407812681,-0.645162238620,-0.629339907101,-0.612956863797,-0.596029460333,-0.578574349293,-0.560608478354,-0.542149083632,-0.523213682265,-0.503820064313,-0.483986284006,-0.463730650391,-0.443071717414,-0.422028273482,-0.400619330530,-0.378864112642,-0.356782044237,-0.334392737863,-0.311715981635,-0.288771726315,-0.265580072094,-0.242161255072,-0.218535633480,-0.194723673654,-0.170745935788,-0.146623059482,-0.122375749121,-0.098024759081,-0.073590878797,-0.049094917719,-0.024557690148
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
# constraint,power
# norm_sq,62.831853071796
# dEdt,5.000000000000
# lambda_max,4.997974171296
