A_re,2.075882704924,2.290797960458,2.357254883947,2.290947736346,2.105454220290,1.815790027995,1.439445739176,0.996427987155,0.508808852100
A_im,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_re,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_im,-2.075882704924,-2.290797960458,-2.357254883947,-2.290947736346,-2.105454220290,-1.815790027995,-1.439445739176,-0.996427987155,-0.508808852100
M,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10
# constraint,power
# norm_sq,62.831853071796
# dEdt,5.000000000000
# lambda_max,4.887754526795
