A_re,0.368454965177,0.435079583831,0.492001674743,0.542090105922,0.586920511450,0.627460728620,0.664350665563,0.698036137735,0.728840188793,0.757004240002,0.782713326381,0.806112342520,0.827316922275,0.846420967875,0.863502006655,0.878625093467,0.891845712255,0.903211972103,0.912766295265,0.920546732436,0.926587999825,0.930922305400,0.933580013105,0.934590180948,0.933980999718,0.931780152543,0.928015110739,0.922713377866,0.915902691300,0.907611188629,0.897867544700,0.886701083967,0.874141871889,0.860220788445,0.844969586249,0.828420935343,0.810608456361,0.791566743516,0.771331378583,0.749938936923,0.727426986400,0.703834079937,0.679199742358,0.653564452065,0.626969618050,0.599457552661,0.571071440510,0.541855303863,0.511853964820,0.481113004554,0.449678719874,0.417598077339,0.384918665132,0.351688642908,0.317956689785,0.283771950663,0.249183981043,0.214242690488,0.178998284886,0.143501207658,0.107802080052,0.071951640649,0.036000684208
A_im,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_re,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_im,-0.368454965177,-0.435079583831,-0.492001674743,-0.542090105922,-0.586920511450,-0.627460728620,-0.664350665563,-0.698036137735,-0.728840188793,-0.757004240002,-0.782713326381,-0.806112342520,-0.827316922275,-0.846420967875,-0.863502006655,-0.878625093467,-0.891845712255,-0.903211972103,-0.912766295265,-0.920546732436,-0.926587999825,-0.930922305400,-0.933580013105,-0.934590180948,-0.933980999718,-0.931780152543,-0.928015110739,-0.922713377866,-0.915902691300,-0.907611188629,-0.897867544700,-0.886701083967,-0.874141871889,-0.860220788445,-0.844969586249,-0.828420935343,-0.810608456361,-0.791566743516,-0.771331378583,-0.749938936923,-0.727426986400,-0.703834079937,-0.679199742358,-0.653564452065,-0.626969618050,-0.599457552661,-0.571071440510,-0.541855303863,-0.511853964820,-0.481113004554,-0.449678719874,-0.417598077339,-0.384918665132,-0.351688642908,-0.317956689785,-0.283771950663,-0.249183981043,-0.214242690488,-0.178998284886,-0.143501207658,-0.107802080052,-0.071951640649,-0.036000684208
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
# constraint,power
# norm_sq,62.831853071796
# dEdt,5.000000000000
# lambda_max,4.996627341073
