A_re,0.220446785024,0.260647388225,0.295261092211,0.326029416578,0.353917692682,0.379525383604,0.403253771417,0.425386228695,0.446131041984,0.465646148281,0.484054324111,0.501452976059,0.517920706135,0.533521861596,0.548309776835,0.562329138986,0.575617750099,0.588207863713,0.600127214914,0.611399825502,0.622046641386,0.632086042983,0.641534258140,0.650405699367,0.658713241614,0.666468452867,0.673681786980,0.680362745972,0.686520017483,0.692161591835,0.697294862250,0.701926711061,0.706063584208,0.709711555870,0.712876384760,0.715563563320,0.717778360863,0.719525861501,0.720810997597,0.721638579320,0.722013320832,0.721939863512,0.721422796613,0.720466675632,0.719076038683,0.717255421096,0.715009368429,0.712342448089,0.709259259685,0.705764444264,0.701862692525,0.697558752130,0.692857434181,0.687763618953,0.682282260945,0.676418393309,0.670177131716,0.663563677701,0.656583321526,0.649241444616,0.641543521578,0.633495121853,0.625101911024,0.616369651791,0.607304204663,0.597911528356,0.588197679945,0.578168814761,0.567831186068,0.557191144527,0.546255137452,0.535029707888,0.523521493504,0.511737225321,0.499683726288,0.487367909695,0.474796777464,0.461977418289,0.448917005665,0.435622795786,0.422102125337,0.408362409180,0.394411137930,0.380255875446,0.365904256220,0.351363982692,0.336642822473,0.321748605494,0.306689221085,0.291472614980,0.276106786260,0.260599784238,0.244959705274,0.229194689552,0.213312917793,0.197322607928,0.181232011723,0.165049411364,0.148783116001,0.132441458264,0.116032790738,0.099565482414,0.083047915111,0.066488479873,0.049895573349,0.033277594147,0.016642939183
A_im,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_re,-0.000000000000,-0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_im,-0.220446785024,-0.260647388225,-0.295261092211,-0.326029416578,-0.353917692682,-0.379525383604,-0.403253771417,-0.425386228695,-0.446131041984,-0.465646148281,-0.484054324111,-0.501452976059,-0.517920706135,-0.533521861596,-0.548309776835,-0.562329138986,-0.575617750099,-0.588207863713,-0.600127214914,-0.611399825502,-0.622046641386,-0.632086042983,-0.641534258140,-0.650405699367,-0.658713241614,-0.666468452867,-0.673681786980,-0.680362745972,-0.686520017483,-0.692161591835,-0.697294862250,-0.701926711061,-0.706063584208,-0.709711555870,-0.712876384760,-0.715563563320,-0.717778360863,-0.719525861501,-0.720810997597,-0.721638579321,-0.722013320832,-0.721939863512,-0.721422796613,-0.720466675632,-0.719076038683,-0.717255421096,-0.715009368429,-0.712342448089,-0.709259259685,-0.705764444264,-0.701862692525,-0.697558752130,-0.692857434181,-0.687763618953,-0.682282260945,-0.676418393309,-0.670177131716,-0.663563677701,-0.656583321526,-0.649241444616,-0.641543521578,-0.633495121853,-0.625101911024,-0.616369651791,-0.607304204663,-0.597911528356,-0.588197679945,-0.578168814761,-0.567831186068,-0.557191144527,-0.546255137452,-0.535029707888,-0.523521493504,-0.511737225321,-0.499683726288,-0.487367909695,-0.474796777464,-0.461977418289,-0.448917005665,-0.435622795786,-0.422102125337,-0.408362409180,-0.394411137930,-0.380255875446,-0.365904256220,-0.351363982692,-0.336642822473,-0.321748605494,-0.306689221085,-0.291472614980,-0.276106786260,-0.260599784238,-0.244959705274,-0.229194689552,-0.213312917793,-0.197322607928,-0.181232011723,-0.165049411364,-0.148783116001,-0.132441458264,-0.116032790738,-0.099565482414,-0.083047915111,-0.066488479873,-0.049895573349,-0.033277594147,-0.016642939183
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108
# constraint,power
# norm_sq,62.831853071796
# dEdt,5.000000000000
# lambda_max,4.998793844345
