A_re,0.410706562695,0.481691322182,0.539774197374,0.587939705098,0.627766465466,0.660190045511,0.685813324944,0.705054332857,0.718224655920,0.725574386417,0.727319423065,0.723658780128,0.714785900434,0.700896187962,0.682192051927,0.658886248512,0.631204016751,0.599384332794,0.563680500886,0.524360232452,0.481705321369,0.436010994783,0.387584999524,0.336746470948,0.283824621783,0.229157282126,0.173089317061,0.115970945040,0.058155977708
A_im,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_re,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_im,-0.410706562695,-0.481691322182,-0.539774197374,-0.587939705098,-0.627766465466,-0.660190045511,-0.685813324944,-0.705054332857,-0.718224655920,-0.725574386417,-0.727319423065,-0.723658780128,-0.714785900434,-0.700896187962,-0.682192051927,-0.658886248512,-0.631204016751,-0.599384332794,-0.563680500886,-0.524360232452,-0.481705321369,-0.436010994783,-0.387584999524,-0.336746470948,-0.283824621783,-0.229157282126,-0.173089317061,-0.115970945040,-0.058155977708
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
# constraint,power
# norm_sq,18.095573684677
# dEdt,1.000000000000
# lambda_max,0.997075696199
