A_re,0.272582938867,0.321282557059,0.362426779423,0.398096462316,0.429420826690,0.457084233856,0.481532874889,0.503073494638,0.521925935398,0.538253412439,0.552181054529,0.563807819436,0.573214457052,0.580469005004,0.585630683830,0.588752719567,0.589884426731,0.589072768284,0.586363537274,0.581802259164,0.575434883999,0.567308317662,0.557470827902,0.545972351402,0.532864721487,0.518201831353,0.502039744209,0.484436759208,0.465453440145,0.445152612486,0.423599333236,0.400860837289,0.377006463330,0.352107561823,0.326237387257,0.299470976511,0.271885014974,0.243557691851,0.214568545950,0.184998303103,0.154928706302,0.124442339531,0.093622446206,0.062552743108,0.031317230611
A_im,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_re,-0.000000000000,0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_im,-0.272582938867,-0.321282557059,-0.362426779423,-0.398096462316,-0.429420826690,-0.457084233856,-0.481532874889,-0.503073494638,-0.521925935398,-0.538253412439,-0.552181054529,-0.563807819436,-0.573214457052,-0.580469005004,-0.585630683830,-0.588752719567,-0.589884426731,-0.589072768284,-0.586363537274,-0.581802259164,-0.575434883999,-0.567308317662,-0.557470827902,-0.545972351402,-0.532864721487,-0.518201831353,-0.502039744209,-0.484436759208,-0.465453440145,-0.445152612486,-0.423599333236,-0.400860837289,-0.377006463330,-0.352107561823,-0.326237387257,-0.299470976511,-0.271885014974,-0.243557691851,-0.214568545950,-0.184998303103,-0.154928706302,-0.124442339531,-0.093622446206,-0.062552743108,-0.031317230611
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
# constraint,power
# norm_sq,18.095573684677
# dEdt,1.000000000000
# lambda_max,0.998716453296
