A_re,0.266969542207,0.314715986262,0.355094397733,0.390146193066,0.420980282610,0.448269433191,0.472452728606,0.493832282864,0.512624718814,0.528990833247,0.543053765948,0.554910678432,0.564640560658,0.572309620545,0.577975105868,0.581688075805,0.583495448444,0.583441536531,0.581569213296,0.577920805374,0.572538780630,0.565466279147,0.556747522343,0.546428125939,0.534555336004,0.521178202596,0.506347702171,0.490116817397,0.472540581203,0.453676090454,0.433582493620,0.412320955990,0.389954605355,0.366548460605,0.342169345308,0.316885788041,0.290767910999,0.263887308240,0.236316914753,0.208130867427,0.179404358910,0.150213485231,0.120635088058,0.090746592328,0.060625840029,0.030350920794
A_im,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_re,-0.000000000000,0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_im,-0.266969542207,-0.314715986262,-0.355094397733,-0.390146193066,-0.420980282610,-0.448269433191,-0.472452728606,-0.493832282864,-0.512624718814,-0.528990833247,-0.543053765948,-0.554910678432,-0.564640560658,-0.572309620545,-0.577975105868,-0.581688075805,-0.583495448444,-0.583441536531,-0.581569213296,-0.577920805374,-0.572538780630,-0.565466279147,-0.556747522343,-0.546428125939,-0.534555336004,-0.521178202597,-0.506347702171,-0.490116817397,-0.472540581203,-0.453676090454,-0.433582493620,-0.412320955990,-0.389954605355,-0.366548460605,-0.342169345308,-0.316885788041,-0.290767910999,-0.263887308240,-0.236316914753,-0.208130867427,-0.179404358910,-0.150213485231,-0.120635088058,-0.090746592328,-0.060625840029,-0.030350920794
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
# constraint,power
# norm_sq,18.095573684677
# dEdt,1.000000000000
# lambda_max,0.998768914013
