A_re,0.135642133330,0.160341224288,0.181579107937,0.200424603377,0.217469182308,0.233079415444,0.247500123752,0.260903747367,0.273416677499,0.285134463289,0.296131147075,0.306465280157,0.316183955786,0.325325603273,0.333921978317,0.341999614933,0.349580906676,0.356684926495,0.363328058354,0.369524490784,0.375286607453,0.380625299785,0.385550219758,0.390069986252,0.394192354912,0.397924359055,0.401272427394,0.404242483016,0.406840027108,0.409070210144,0.410937892721,0.412447697777,0.413604055595,0.414411242720,0.414873415736,0.414994640652,0.414778918534,0.414230207909,0.413352444376,0.412149557794,0.410625487356,0.408784194814,0.406629676073,0.404165971355,0.401397174080,0.398327438629,0.394960987081,0.391302115056,0.387355196739,0.383124689175,0.378615135890,0.373831169926,0.368777516309,0.363458994033,0.357880517574,0.352047097991,0.345963843637,0.339635960513,0.333068752292,0.326267620041,0.319238061654,0.311985671023,0.304516136968,0.296835241928,0.288948860448,0.280862957456,0.272583586358,0.264116886956,0.255469083198,0.246646480777,0.237655464575,0.228502495983,0.219194110080,0.209736912696,0.200137577362,0.190402842150,0.180539506417,0.170554427444,0.160454517004,0.150246737829,0.139938100015,0.129535657344,0.119046503549,0.108477768506,0.097836614381,0.087130231717,0.076365835474,0.065550661026,0.054691960123,0.043796996811,0.032873043323,0.021927375948,0.010967270872
A_im,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_re,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_im,-0.135642133330,-0.160341224288,-0.181579107937,-0.200424603377,-0.217469182308,-0.233079415444,-0.247500123752,-0.260903747367,-0.273416677499,-0.285134463289,-0.296131147075,-0.306465280157,-0.316183955786,-0.325325603273,-0.333921978317,-0.341999614933,-0.349580906676,-0.356684926495,-0.363328058354,-0.369524490784,-0.375286607453,-0.380625299785,-0.385550219758,-0.390069986252,-0.394192354912,-0.397924359055,-0.401272427394,-0.404242483016,-0.406840027108,-0.409070210144,-0.410937892721,-0.412447697777,-0.413604055595,-0.414411242720,-0.414873415736,-0.414994640652,-0.414778918534,-0.414230207909,-0.413352444376,-0.412149557794,-0.410625487356,-0.408784194814,-0.406629676073,-0.404165971355,-0.401397174080,-0.398327438629,-0.394960987081,-0.391302115056,-0.387355196739,-0.383124689175,-0.378615135890,-0.373831169926,-0.368777516309,-0.363458994033,-0.357880517574,-0.352047097991,-0.345963843637,-0.339635960513,-0.333068752292,-0.326267620041,-0.319238061654,-0.311985671023,-0.304516136968,-0.296835241928,-0.288948860448,-0.280862957456,-0.272583586358,-0.264116886956,-0.255469083198,-0.246646480777,-0.237655464575,-0.228502495983,-0.219194110080,-0.209736912696,-0.200137577362,-0.190402842150,-0.180539506417,-0.170554427444,-0.160454517004,-0.150246737829,-0.139938100015,-0.129535657344,-0.119046503549,-0.108477768506,-0.097836614381,-0.087130231717,-0.076365835474,-0.065550661026,-0.054691960123,-0.043796996811,-0.032873043323,-0.021927375948,-0.010967270872
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
# constraint,power
# norm_sq,18.095573684677
# dEdt,1.000000000000
# lambda_max,0.999682828605
