A_re,0.089037587522,0.105307518504,0.119342242151,0.131847656042,0.143215944692,0.153691330277,0.163437826612,0.172571681607,0.181178690026,0.189324197340,0.197059244678,0.204424531243,0.211453072531,0.218172043262,0.224604091104,0.230768295736,0.236680883594,0.242355770251,0.247804978619,0.253038966001,0.258066883138,0.262896781741,0.267535782495,0.271990212330,0.276265717580,0.280367357975,0.284299685297,0.288066809645,0.291672455603,0.295120010130,0.298412563606,0.301552945194,0.304543753449,0.307387382920,0.310086047376,0.312641800157,0.315056552069,0.317332087179,0.319470076797,0.321472091890,0.323339614143,0.325074045826,0.326676718637,0.328148901629,0.329491808349,0.330706603259,0.331794407550,0.332756304389,0.333593343683,0.334306546401,0.334896908504,0.335365404523,0.335712990823,0.335940608580,0.336049186498,0.336039643306,0.335912890029,0.335669832078,0.335311371160,0.334838407037,0.334251839131,0.333552568003,0.332741496707,0.331819532034,0.330787585653,0.329646575154,0.328397425013,0.327041067465,0.325578443308,0.324010502637,0.322338205514,0.320562522577,0.318684435595,0.316704937965,0.314625035170,0.312445745185,0.310168098837,0.307793140136,0.305321926560,0.302755529303,0.300095033498,0.297341538402,0.294496157552,0.291560018897,0.288534264898,0.285420052609,0.282218553726,0.278930954624,0.275558456363,0.272102274679,0.268563639954,0.264943797166,0.261244005826,0.257465539894,0.253609687677,0.249677751720,0.245671048675,0.241590909155,0.237438677584,0.233215712022,0.228923383987,0.224563078260,0.220136192682,0.215644137937,0.211088337328,0.206470226537,0.201791253386,0.197052877577,0.192256570431,0.187403814615,0.182496103861,0.177534942682,0.172521846072,0.167458339203,0.162345957120,0.157186244421,0.151980754933,0.146731051389,0.141438705085,0.136105295549,0.130732410186,0.125321643935,0.119874598909,0.114392884035,0.108878114690,0.103331912332,0.097755904127,0.092151722570,0.086521005107,0.080865393751,0.075186534691,0.069486077906,0.063765676769,0.058026987654,0.052271669533,0.046501383580,0.040717792766,0.034922561452,0.029117354988,0.023303839297,0.017483680474,0.011658544367,0.005830096167
A_im,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_re,-0.000000000000,-0.000000000000,0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_im,-0.089037587522,-0.105307518504,-0.119342242151,-0.131847656042,-0.143215944692,-0.153691330277,-0.163437826612,-0.172571681607,-0.181178690026,-0.189324197340,-0.197059244678,-0.204424531243,-0.211453072531,-0.218172043262,-0.224604091104,-0.230768295736,-0.236680883594,-0.242355770251,-0.247804978619,-0.253038966001,-0.258066883138,-0.262896781741,-0.267535782495,-0.271990212330,-0.276265717580,-0.280367357975,-0.284299685297,-0.288066809645,-0.291672455603,-0.295120010130,-0.298412563606,-0.301552945194,-0.304543753449,-0.307387382920,-0.310086047376,-0.312641800157,-0.315056552069,-0.317332087179,-0.319470076797,-0.321472091890,-0.323339614143,-0.325074045826,-0.326676718637,-0.328148901629,-0.329491808349,-0.330706603259,-0.331794407550,-0.332756304389,-0.333593343683,-0.334306546401,-0.334896908504,-0.335365404523,-0.335712990823,-0.335940608580,-0.336049186498,-0.336039643306,-0.335912890029,-0.335669832078,-0.335311371160,-0.334838407037,-0.334251839131,-0.333552568003,-0.332741496707,-0.331819532034,-0.330787585653,-0.329646575154,-0.328397425013,-0.327041067465,-0.325578443308,-0.324010502637,-0.322338205514,-0.320562522577,-0.318684435595,-0.316704937965,-0.314625035170,-0.312445745185,-0.310168098837,-0.307793140136,-0.305321926560,-0.302755529303,-0.300095033498,-0.297341538402,-0.294496157552,-0.291560018897,-0.288534264898,-0.285420052609,-0.282218553726,-0.278930954624,-0.275558456363,-0.272102274679,-0.268563639954,-0.264943797166,-0.261244005826,-0.257465539894,-0.253609687677,-0.249677751720,-0.245671048675,-0.241590909155,-0.237438677584,-0.233215712022,-0.228923383987,-0.224563078260,-0.220136192682,-0.215644137937,-0.211088337328,-0.206470226537,-0.201791253386,-0.197052877577,-0.192256570431,-0.187403814615,-0.182496103861,-0.177534942682,-0.172521846072,-0.167458339203,-0.162345957120,-0.157186244421,-0.151980754933,-0.146731051389,-0.141438705085,-0.136105295549,-0.130732410186,-0.125321643935,-0.119874598909,-0.114392884035,-0.108878114690,-0.103331912332,-0.097755904127,-0.092151722570,-0.086521005107,-0.080865393751,-0.075186534691,-0.069486077906,-0.063765676769,-0.058026987654,-0.052271669533,-0.046501383580,-0.040717792766,-0.034922561452,-0.029117354988,-0.023303839297,-0.017483680474,-0.011658544367,-0.005830096167
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144
# constraint,power
# norm_sq,18.095573684677
# dEdt,1.000000000000
# lambda_max,0.999863390267
