A_re,0.096318375076,0.113910778325,0.129080066895,0.142589256434,0.154862047056,0.166162121952,0.176666435480,0.186500303353,0.195756127057,0.204504212572,0.212799415321,0.220685424600,0.228197637560,0.235365151522,0.242212184045,0.248759109504,0.255023231530,0.261019369094,0.266760308361,0.272257156016,0.277519619085,0.282556229088,0.287374523467,0.291981193821,0.296382208068,0.300582911917,0.304588113762,0.308402156196,0.312028976618,0.315472158892,0.318734977624,0.321820436300,0.324731300272,0.327470125447,0.330039283301,0.332440982802,0.334677289684,0.336750143436,0.338661372349,0.340412706859,0.342005791427,0.343442195136,0.344723421171,0.345850915317,0.346826073592,0.347650249118,0.348324758320,0.348850886519,0.349229892999,0.349463015594,0.349551474847,0.349496477788,0.349299221372,0.348960895600,0.348482686361,0.347865778031,0.347111355820,0.346220607934,0.345194727528,0.344034914492,0.342742377078,0.341318333377,0.339764012666,0.338080656628,0.336269520459,0.334331873869,0.332269001990,0.330082206185,0.327772804780,0.325342133719,0.322791547140,0.320122417888,0.317336137963,0.314434118914,0.311417792164,0.308288609301,0.305048042304,0.301697583734,0.298238746877,0.294673065845,0.291002095640,0.287227412185,0.283350612312,0.279373313725,0.275297154929,0.271123795129,0.266854914101,0.262492212040,0.258037409374,0.253492246565,0.248858483876,0.244137901127,0.239332297420,0.234443490848,0.229473318191,0.224423634579,0.219296313153,0.214093244700,0.208816337276,0.203467515809,0.198048721694,0.192561912369,0.187009060880,0.181392155430,0.175713198919,0.169974208472,0.164177214956,0.158324262480,0.152417407895,0.146458720276,0.140450280401,0.134394180212,0.128292522278,0.122147419244,0.115960993272,0.109735375478,0.103472705357,0.097175130210,0.090844804552,0.084483889528,0.078094552314,0.071678965517,0.065239306569,0.058777757115,0.052296502400,0.045797730651,0.039283632456,0.032756400136,0.026218227119,0.019671307308,0.013117834452,0.006560001507
A_im,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_re,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_im,-0.096318375076,-0.113910778325,-0.129080066895,-0.142589256434,-0.154862047056,-0.166162121952,-0.176666435480,-0.186500303353,-0.195756127057,-0.204504212572,-0.212799415321,-0.220685424600,-0.228197637560,-0.235365151522,-0.242212184045,-0.248759109504,-0.255023231530,-0.261019369094,-0.266760308361,-0.272257156016,-0.277519619085,-0.282556229088,-0.287374523467,-0.291981193821,-0.296382208068,-0.300582911917,-0.304588113762,-0.308402156196,-0.312028976618,-0.315472158892,-0.318734977624,-0.321820436300,-0.324731300272,-0.327470125447,-0.330039283301,-0.332440982802,-0.334677289684,-0.336750143436,-0.338661372349,-0.340412706859,-0.342005791427,-0.343442195136,-0.344723421171,-0.345850915317,-0.346826073592,-0.347650249118,-0.348324758320,-0.348850886519,-0.349229892999,-0.349463015594,-0.349551474847,-0.349496477788,-0.349299221372,-0.348960895600,-0.348482686361,-0.347865778031,-0.347111355820,-0.346220607934,-0.345194727528,-0.344034914492,-0.342742377078,-0.341318333377,-0.339764012666,-0.338080656628,-0.336269520459,-0.334331873869,-0.332269001990,-0.330082206185,-0.327772804780,-0.325342133719,-0.322791547140,-0.320122417888,-0.317336137963,-0.314434118914,-0.311417792164,-0.308288609301,-0.305048042304,-0.301697583734,-0.298238746877,-0.294673065845,-0.291002095640,-0.287227412185,-0.283350612312,-0.279373313725,-0.275297154929,-0.271123795129,-0.266854914101,-0.262492212040,-0.258037409374,-0.253492246565,-0.248858483876,-0.244137901127,-0.239332297420,-0.234443490848,-0.229473318191,-0.224423634579,-0.219296313153,-0.214093244700,-0.208816337276,-0.203467515809,-0.198048721694,-0.192561912369,-0.187009060880,-0.181392155430,-0.175713198919,-0.169974208472,-0.164177214956,-0.158324262480,-0.152417407895,-0.146458720276,-0.140450280401,-0.134394180212,-0.128292522278,-0.122147419244,-0.115960993272,-0.109735375478,-0.103472705357,-0.097175130210,-0.090844804552,-0.084483889528,-0.078094552314,-0.071678965517,-0.065239306569,-0.058777757115,-0.052296502400,-0.045797730651,-0.039283632456,-0.032756400136,-0.026218227119,-0.019671307308,-0.013117834452,-0.006560001507
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133
# constraint,power
# norm_sq,18.095573684677
# dEdt,1.000000000000
# lambda_max,0.999840127024
