A_re,0.240755007362,0.284766788206,0.322746483299,0.356604217928,0.387401731065,0.415800574142,0.442245330411,0.467051350382,0.490451574424,0.512623590288,0.533706254704,0.553810412321,0.573026087219,0.591427469246,0.609076468854,0.626025312509,0.642318477146,0.657994158286,0.673085402135,0.687620991062,0.701626145012,0.715123083526,0.728131480741,0.740668837244,0.752750786597,0.764391350016,0.775603149508,0.786397587453,0.796784998852,0.806774781152,0.816375505537,0.825595012828,0.834440496496,0.842918574839,0.851035354004,0.858796483218,0.866207203378,0.873272389946,0.879996590931,0.886384060631,0.892438789702,0.898164532013,0.903564828700,0.908643029775,0.913402313563,0.917845704244,0.921976087702,0.925796225887,0.929308769844,0.932516271558,0.935421194739,0.938025924660,0.940332777142,0.942344006773,0.944061814433,0.945488354199,0.946625739681,0.947476049845,0.948041334372,0.948323618588,0.948324908010,0.948047192537,0.947492450317,0.946662651313,0.945559760607,0.944185741436,0.942542558014,0.940632178129,0.938456575545,0.936017732226,0.933317640385,0.930358304382,0.927141742469,0.923669988404,0.919945092939,0.915969125188,0.911744173882,0.907272348528,0.902555780464,0.897596623828,0.892397056439,0.886959280602,0.881285523832,0.875378039511,0.869239107476,0.862871034550,0.856276155001,0.849456830955,0.842415452753,0.835154439256,0.827676238100,0.819983325908,0.812078208459,0.803963420816,0.795641527406,0.787115122078,0.778386828109,0.769459298188,0.760335214360,0.751017287941,0.741508259404,0.731810898233,0.721928002756,0.711862399944,0.701616945186,0.691194522050,0.680598042003,0.669830444123,0.658894694787,0.647793787329,0.636530741691,0.625108604046,0.613530446406,0.601799366211,0.589918485903,0.577890952481,0.565719937039,0.553408634296,0.540960262102,0.528378060934,0.515665293381,0.502825243612,0.489861216830,0.476776538719,0.463574554876,0.450258630232,0.436832148461,0.423298511380,0.409661138342,0.395923465610,0.382088945733,0.368161046905,0.354143252316,0.340039059504,0.325851979683,0.311585537079,0.297243268249,0.282828721399,0.268345455689,0.253797040538,0.239187054920,0.224519086655,0.209796731695,0.195023593403,0.180203281829,0.165339412984,0.150435608102,0.135495492908,0.120522696874,0.105520852477,0.090493594451,0.075444559035,0.060377383224,0.045295704013,0.030203157639,0.015103378820
A_im,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_re,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_im,-0.240755007362,-0.284766788206,-0.322746483299,-0.356604217928,-0.387401731065,-0.415800574142,-0.442245330411,-0.467051350382,-0.490451574424,-0.512623590288,-0.533706254704,-0.553810412321,-0.573026087219,-0.591427469246,-0.609076468854,-0.626025312509,-0.642318477146,-0.657994158286,-0.673085402135,-0.687620991062,-0.701626145012,-0.715123083526,-0.728131480741,-0.740668837244,-0.752750786597,-0.764391350016,-0.775603149508,-0.786397587453,-0.796784998852,-0.806774781152,-0.816375505537,-0.825595012828,-0.834440496496,-0.842918574839,-0.851035354004,-0.858796483218,-0.866207203378,-0.873272389946,-0.879996590931,-0.886384060631,-0.892438789702,-0.898164532013,-0.903564828700,-0.908643029775,-0.913402313563,-0.917845704244,-0.921976087702,-0.925796225887,-0.929308769844,-0.932516271558,-0.935421194739,-0.938025924660,-0.940332777142,-0.942344006773,-0.944061814433,-0.945488354199,-0.946625739681,-0.947476049845,-0.948041334372,-0.948323618588,-0.948324908010,-0.948047192537,-0.947492450317,-0.946662651313,-0.945559760607,-0.944185741436,-0.942542558014,-0.940632178129,-0.938456575545,-0.936017732226,-0.933317640385,-0.930358304382,-0.927141742469,-0.923669988404,-0.919945092939,-0.915969125188,-0.911744173882,-0.907272348528,-0.902555780464,-0.897596623828,-0.892397056439,-0.886959280602,-0.881285523832,-0.875378039511,-0.869239107476,-0.862871034550,-0.856276155001,-0.849456830955,-0.842415452753,-0.835154439256,-0.827676238100,-0.819983325908,-0.812078208459,-0.803963420816,-0.795641527406,-0.787115122078,-0.778386828109,-0.769459298188,-0.760335214360,-0.751017287941,-0.741508259404,-0.731810898233,-0.721928002756,-0.711862399944,-0.701616945186,-0.691194522050,-0.680598042003,-0.669830444123,-0.658894694787,-0.647793787329,-0.636530741691,-0.625108604046,-0.613530446406,-0.601799366211,-0.589918485903,-0.577890952481,-0.565719937039,-0.553408634296,-0.540960262102,-0.528378060934,-0.515665293381,-0.502825243612,-0.489861216830,-0.476776538719,-0.463574554876,-0.450258630232,-0.436832148461,-0.423298511380,-0.409661138342,-0.395923465610,-0.382088945733,-0.368161046905,-0.354143252316,-0.340039059504,-0.325851979683,-0.311585537079,-0.297243268250,-0.282828721399,-0.268345455689,-0.253797040538,-0.239187054920,-0.224519086655,-0.209796731695,-0.195023593403,-0.180203281829,-0.165339412984,-0.150435608102,-0.135495492908,-0.120522696874,-0.105520852477,-0.090493594451,-0.075444559035,-0.060377383224,-0.045295704013,-0.030203157639,-0.015103378820
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157
# constraint,norm
# norm_sq,157.000000000000
# dEdt,19.521348488615
# lambda_max,19.519101257057
