A_re,0.320934985494,0.379314627142,0.429466628110,0.473915417708,0.514056411084,0.550753267222,0.584581905065,0.615947276503,0.645145640907,0.672400523663,0.697884787096,0.721734850861,0.744060223734,0.764950106188,0.784478092752,0.802705601690,0.819684428553,0.835458681993,0.850066274827,0.863540088843,0.875908896311,0.887198097301,0.897430315697,0.906625885440,0.914803250551,0.921979296736,0.928169628165,0.933388799936,0.937650514434,0.940967788019,0.943353093187,0.944818480302,0.945375682192,0.945036204306,0.943811402614,0.941712551062,0.938750900057,0.934937727228,0.930284381497,0.924802321324,0.918503147857,0.911398633618,0.903500747229,0.894821674662,0.885373837368,0.875169907637,0.864222821474,0.852545789234,0.840152304246,0.827056149603,0.813271403292,0.798812441817,0.783693942427,0.767930884086,0.751538547272,0.734532512703,0.716928659072,0.698743159858,0.679992479297,0.660693367550,0.640862855143,0.620518246715,0.599677114133,0.578357289004,0.556576854633,0.534354137451,0.511707697967,0.488656321253,0.465219007006,0.441414959207,0.417263575413,0.392784435694,0.367997291249,0.342922052717,0.317578778211,0.291987661085,0.266169017469,0.240143273575,0.213930952805,0.187552662672,0.161029081555,0.134380945300,0.107629033689,0.080794156793,0.053897141216,0.026958816258
A_im,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_re,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_im,-0.320934985494,-0.379314627142,-0.429466628110,-0.473915417708,-0.514056411084,-0.550753267222,-0.584581905065,-0.615947276503,-0.645145640907,-0.672400523663,-0.697884787096,-0.721734850861,-0.744060223734,-0.764950106188,-0.784478092752,-0.802705601690,-0.819684428553,-0.835458681993,-0.850066274827,-0.863540088843,-0.875908896311,-0.887198097301,-0.897430315697,-0.906625885440,-0.914803250551,-0.921979296736,-0.928169628165,-0.933388799936,-0.937650514434,-0.940967788019,-0.943353093187,-0.944818480302,-0.945375682192,-0.945036204306,-0.943811402614,-0.941712551062,-0.938750900057,-0.934937727228,-0.930284381497,-0.924802321324,-0.918503147857,-0.911398633618,-0.903500747229,-0.894821674662,-0.885373837368,-0.875169907637,-0.864222821474,-0.852545789234,-0.840152304246,-0.827056149603,-0.813271403292,-0.798812441817,-0.783693942427,-0.767930884086,-0.751538547272,-0.734532512703,-0.716928659071,-0.698743159858,-0.679992479297,-0.660693367550,-0.640862855142,-0.620518246715,-0.599677114133,-0.578357289004,-0.556576854633,-0.534354137451,-0.511707697967,-0.488656321253,-0.465219007006,-0.441414959207,-0.417263575413,-0.392784435694,-0.367997291249,-0.342922052717,-0.317578778211,-0.291987661085,-0.266169017469,-0.240143273575,-0.213930952805,-0.187552662672,-0.161029081555,-0.134380945300,-0.107629033689,-0.080794156793,-0.053897141216,-0.026958816258
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87
# constraint,norm
# norm_sq,87.000000000000
# dEdt,10.817562538277
# lambda_max,10.813567043759
