A_re,0.260170982785,0.307692984758,0.348671175833,0.385166745446,0.418324324900,0.448856302539,0.477240788029,0.503816397853,0.528832833972,0.552480107768,0.574906489729,0.596230082943,0.616546586582,0.635934677820,0.654459847951,0.672177202601,0.689133548394,0.705368976252,0.720918082053,0.735810921155,0.750073764346,0.763729703405,0.776799141256,0.789300192444,0.801249013178,0.812660075477,0.823546396542,0.833919731967,0.843790739485,0.853169118557,0.862063730001,0.870482699033,0.878433504420,0.885923055976,0.892957762177,0.899543589401,0.905686114005,0.911390568255,0.916661880985,0.921504713666,0.925923492522,0.929922437176,0.933505586281,0.936676820500,0.939439883149,0.941798398783,0.943755889960,0.945315792386,0.946481468618,0.947256220483,0.947643300343,0.947645921334,0.947267266667,0.946510498101,0.945378763652,0.943875204626,0.942002962023,0.939765182378,0.937165023088,0.934205657274,0.930890278199,0.927222103307,0.923204377890,0.918840378428,0.914133415616,0.909086837110,0.903704030016,0.897988423126,0.891943488935,0.885572745448,0.878879757791,0.871868139635,0.864541554462,0.856903716656,0.848958392461,0.840709400786,0.832160613887,0.823315957920,0.814179413384,0.804755015449,0.795046854183,0.785059074675,0.774795877080,0.764261516558,0.753460303144,0.742396601531,0.731074830781,0.719499463964,0.707675027731,0.695606101816,0.683297318487,0.670753361925,0.657978967561,0.644978921345,0.631758058976,0.618321265076,0.604673472319,0.590819660515,0.576764855652,0.562514128896,0.548072595551,0.533445413985,0.518637784514,0.503654948257,0.488502185955,0.473184816759,0.457708196991,0.442077718867,0.426298809205,0.410376928094,0.394317567549,0.378126250135,0.361808527565,0.345369979291,0.328816211052,0.312152853423,0.295385560334,0.278520007571,0.261561891266,0.244516926365,0.227390845087,0.210189395363,0.192918339263,0.175583451417,0.158190517416,0.140745332204,0.123253698468,0.105721425005,0.088154325095,0.070558214859,0.052938911607,0.035302232190,0.017653991339
A_im,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_re,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_im,-0.260170982785,-0.307692984758,-0.348671175833,-0.385166745446,-0.418324324900,-0.448856302539,-0.477240788029,-0.503816397853,-0.528832833972,-0.552480107768,-0.574906489729,-0.596230082943,-0.616546586582,-0.635934677820,-0.654459847951,-0.672177202601,-0.689133548394,-0.705368976252,-0.720918082053,-0.735810921155,-0.750073764346,-0.763729703405,-0.776799141256,-0.789300192444,-0.801249013178,-0.812660075477,-0.823546396542,-0.833919731967,-0.843790739485,-0.853169118557,-0.862063730001,-0.870482699033,-0.878433504420,-0.885923055976,-0.892957762177,-0.899543589401,-0.905686114005,-0.911390568255,-0.916661880985,-0.921504713666,-0.925923492522,-0.929922437176,-0.933505586281,-0.936676820500,-0.939439883149,-0.941798398783,-0.943755889960,-0.945315792386,-0.946481468618,-0.947256220483,-0.947643300343,-0.947645921334,-0.947267266667,-0.946510498101,-0.945378763652,-0.943875204626,-0.942002962023,-0.939765182378,-0.937165023088,-0.934205657274,-0.930890278199,-0.927222103307,-0.923204377890,-0.918840378428,-0.914133415616,-0.909086837110,-0.903704030016,-0.897988423126,-0.891943488935,-0.885572745448,-0.878879757791,-0.871868139635,-0.864541554462,-0.856903716656,-0.848958392461,-0.840709400786,-0.832160613887,-0.823315957920,-0.814179413384,-0.804755015449,-0.795046854183,-0.785059074675,-0.774795877080,-0.764261516558,-0.753460303144,-0.742396601531,-0.731074830781,-0.719499463964,-0.707675027731,-0.695606101816,-0.683297318487,-0.670753361925,-0.657978967561,-0.644978921345,-0.631758058976,-0.618321265076,-0.604673472319,-0.590819660515,-0.576764855652,-0.562514128896,-0.548072595551,-0.533445413985,-0.518637784514,-0.503654948257,-0.488502185955,-0.473184816759,-0.457708196991,-0.442077718867,-0.426298809205,-0.410376928094,-0.394317567549,-0.378126250135,-0.361808527565,-0.345369979291,-0.328816211052,-0.312152853423,-0.295385560334,-0.278520007571,-0.261561891266,-0.244516926365,-0.227390845087,-0.210189395363,-0.192918339263,-0.175583451417,-0.158190517416,-0.140745332204,-0.123253698468,-0.105721425005,-0.088154325095,-0.070558214859,-0.052938911607,-0.035302232190,-0.017653991339
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134
# constraint,norm
# norm_sq,134.000000000000
# dEdt,16.661533104933
# lambda_max,16.658908555323
