A_re,0.595709318155,0.693711563974,0.769906363704,0.828375072344,0.871243318589,0.899787102545,0.914881140357,0.917211038695,0.907384381297,0.885992800145,0.853647879306,0.811001941162,0.758759488242,0.697682518458,0.628591612786,0.552363977798,0.469929219159,0.382263383570,0.290381662327,0.195330060015,0.098176274853
A_im,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_re,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_im,-0.595709318155,-0.693711563974,-0.769906363704,-0.828375072344,-0.871243318589,-0.899787102545,-0.914881140357,-0.917211038695,-0.907384381297,-0.885992800145,-0.853647879306,-0.811001941162,-0.758759488242,-0.697682518458,-0.628591612786,-0.552363977798,-0.469929219159,-0.382263383570,-0.290381662327,-0.195330060015,-0.098176274853
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
# constraint,power
# norm_sq,21.237166338267
# dEdt,1.000000000000
# lambda_max,0.994731189625
