A_re,0.277775904638,0.327549394238,0.369716957875,0.406409167320,0.438785472954,0.467550703284,0.493165774071,0.515948359553,0.536126487752,0.553869431491,0.569306632653,0.582539869856,0.593651395175,0.602709554620,0.609772777050,0.614892470255,0.618115164115,0.619484122006,0.619040568224,0.616824632547,0.612876082578,0.607234894167,0.599941696347,0.591038117551,0.580567053137,0.568572869307,0.555101555021,0.540200830866,0.523920221913,0.506311100144,0.487426700922,0.467322117111,0.446054273835,0.423681886318,0.400265402879,0.375866934824,0.350550174737,0.324380304464,0.297423893939,0.269748791867,0.241424009160,0.212519595973,0.183106513078,0.153256498282,0.123041928554,0.092535678454,0.061810975465,0.030941252768
A_im,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_re,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_im,-0.277775904638,-0.327549394238,-0.369716957875,-0.406409167320,-0.438785472954,-0.467550703284,-0.493165774071,-0.515948359553,-0.536126487752,-0.553869431491,-0.569306632653,-0.582539869856,-0.593651395175,-0.602709554620,-0.609772777050,-0.614892470255,-0.618115164115,-0.619484122006,-0.619040568224,-0.616824632547,-0.612876082578,-0.607234894167,-0.599941696347,-0.591038117551,-0.580567053137,-0.568572869307,-0.555101555021,-0.540200830866,-0.523920221913,-0.506311100144,-0.487426700922,-0.467322117111,-0.446054273835,-0.423681886318,-0.400265402879,-0.375866934824,-0.350550174737,-0.324380304464,-0.297423893939,-0.269748791867,-0.241424009160,-0.212519595973,-0.183106513078,-0.153256498282,-0.123041928554,-0.092535678454,-0.061810975465,-0.030941252768
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
# constraint,power
# norm_sq,21.237166338267
# dEdt,1.000000000000
# lambda_max,0.998864623787
