A_re,0.846125550086,0.968841261227,1.050637132992,1.096903668174,1.110682961359,1.094235312519,1.049658998764,0.979165925235,0.885205741519,0.770512759942,0.638108673581,0.491277558688,0.333522376027,0.168508740772
A_im,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_re,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_im,-0.846125550086,-0.968841261227,-1.050637132992,-1.096903668174,-1.110682961359,-1.094235312519,-1.049658998764,-0.979165925235,-0.885205741519,-0.770512759942,-0.638108673581,-0.491277558688,-0.333522376027,-0.168508740772
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15
# constraint,power
# norm_sq,21.237166338267
# dEdt,1.000000000000
# lambda_max,0.989243032156
