A_re,0.246198527702,0.291195911186,0.330018685384,0.364619438987,0.396083251831,0.425086020429,0.452081812380,0.477392579300,0.501256033202,0.523853311963,0.545325973697,0.565786955627,0.585327926236,0.604024382729,0.621939284912,0.639125708171,0.655628820728,0.671487384149,0.686734910364,0.701400566572,0.715509892017,0.729085372257,0.742146904078,0.754712175410,0.766796978482,0.778415469991,0.789580388822,0.800303239481,0.810594447585,0.820463492452,0.829919020752,0.838968944431,0.847620525463,0.855880449543,0.863754890413,0.871249566240,0.878369789203,0.885120509261,0.891506352903,0.897531657571,0.903200502318,0.908516735192,0.913483997758,0.918105747111,0.922385275681,0.926325729094,0.929930122304,0.933201354204,0.936142220872,0.938755427612,0.941043599901,0.943009293377,0.944655002942,0.945983171092,0.946996195530,0.947696436142,0.948086221392,0.948167854194,0.947943617299,0.947415778249,0.946586593934,0.945458314785,0.944033188628,0.942313464237,0.940301394607,0.937999239961,0.935409270527,0.932533769087,0.929375033324,0.925935377983,0.922217136854,0.918222664590,0.913954338379,0.909414559468,0.904605754562,0.899530377093,0.894190908379,0.888589858672,0.882729768107,0.876613207555,0.870242779383,0.863621118137,0.856750891140,0.849634799017,0.842275576148,0.834675991056,0.826838846732,0.818766980896,0.810463266206,0.801930610410,0.793171956445,0.784190282495,0.774988601990,0.765569963573,0.755937451015,0.746094183094,0.736043313440,0.725788030332,0.715331556467,0.704677148698,0.693828097730,0.682787727797,0.671559396295,0.660146493403,0.648552441661,0.636780695532,0.624834740937,0.612718094760,0.600434304337,0.587986946918,0.575379629111,0.562615986300,0.549699682051,0.536634407487,0.523423880660,0.510071845891,0.496582073101,0.482958357124,0.469204517004,0.455324395272,0.441321857222,0.427200790154,0.412965102624,0.398618723659,0.384165601983,0.369609705211,0.354955019045,0.340205546451,0.325365306833,0.310438335189,0.295428681263,0.280340408687,0.265177594115,0.249944326345,0.234644705437,0.219282841826,0.203862855418,0.188388874695,0.172865035796,0.157295481610,0.141684360848,0.126035827122,0.110354038010,0.094643154128,0.078907338183,0.063150754037,0.047377565758,0.031591936676,0.015798028426
A_im,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_re,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_im,-0.246198527702,-0.291195911186,-0.330018685384,-0.364619438987,-0.396083251831,-0.425086020429,-0.452081812380,-0.477392579300,-0.501256033202,-0.523853311963,-0.545325973697,-0.565786955627,-0.585327926236,-0.604024382729,-0.621939284912,-0.639125708171,-0.655628820728,-0.671487384149,-0.686734910364,-0.701400566573,-0.715509892017,-0.729085372257,-0.742146904078,-0.754712175410,-0.766796978482,-0.778415469991,-0.789580388822,-0.800303239481,-0.810594447585,-0.820463492452,-0.829919020752,-0.838968944431,-0.847620525463,-0.855880449543,-0.863754890413,-0.871249566240,-0.878369789203,-0.885120509261,-0.891506352903,-0.897531657571,-0.903200502318,-0.908516735192,-0.913483997758,-0.918105747111,-0.922385275681,-0.926325729094,-0.929930122304,-0.933201354204,-0.936142220872,-0.938755427612,-0.941043599901,-0.943009293377,-0.944655002942,-0.945983171093,-0.946996195530,-0.947696436142,-0.948086221392,-0.948167854194,-0.947943617299,-0.947415778249,-0.946586593934,-0.945458314785,-0.944033188628,-0.942313464237,-0.940301394607,-0.937999239961,-0.935409270527,-0.932533769087,-0.929375033324,-0.925935377983,-0.922217136854,-0.918222664590,-0.913954338379,-0.909414559468,-0.904605754562,-0.899530377093,-0.894190908379,-0.888589858672,-0.882729768107,-0.876613207555,-0.870242779383,-0.863621118137,-0.856750891140,-0.849634799017,-0.842275576148,-0.834675991056,-0.826838846732,-0.818766980896,-0.810463266206,-0.801930610410,-0.793171956445,-0.784190282495,-0.774988601991,-0.765569963573,-0.755937451015,-0.746094183094,-0.736043313440,-0.725788030332,-0.715331556467,-0.704677148698,-0.693828097731,-0.682787727797,-0.671559396295,-0.660146493403,-0.648552441661,-0.636780695532,-0.624834740937,-0.612718094760,-0.600434304337,-0.587986946918,-0.575379629111,-0.562615986300,-0.549699682051,-0.536634407487,-0.523423880660,-0.510071845891,-0.496582073101,-0.482958357124,-0.469204517004,-0.455324395272,-0.441321857222,-0.427200790154,-0.412965102624,-0.398618723659,-0.384165601983,-0.369609705211,-0.354955019045,-0.340205546451,-0.325365306833,-0.310438335189,-0.295428681263,-0.280340408687,-0.265177594115,-0.249944326345,-0.234644705437,-0.219282841826,-0.203862855418,-0.188388874695,-0.172865035796,-0.157295481610,-0.141684360848,-0.126035827122,-0.110354038010,-0.094643154128,-0.078907338183,-0.063150754037,-0.047377565758,-0.031591936676,-0.015798028426
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150
# constraint,norm
# norm_sq,150.000000000000
# dEdt,9.864975811481
# lambda_max,9.863732806361
