A_re,0.521064497969,0.611451846386,0.685677928201,0.747548341980,0.799080542892,0.841471725671,0.875492708878,0.901675612938,0.920413447254,0.932017247411,0.936750831889,0.934852896423,0.926551519000,0.912073888915,0.891652900247,0.865531607631,0.833966174096,0.797227721663,0.755603360605,0.709396588055,0.658927191330,0.604530754729,0.546557843828,0.485372924323,0.421353060653,0.354886431274,0.286370691519,0.216211210631,0.144819206410,0.072609798555
A_im,0.000000000000,0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_re,-0.000000000000,0.000000000000,-0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_im,-0.521064497969,-0.611451846386,-0.685677928201,-0.747548341980,-0.799080542892,-0.841471725671,-0.875492708878,-0.901675612938,-0.920413447254,-0.932017247411,-0.936750831889,-0.934852896423,-0.926551519000,-0.912073888915,-0.891652900247,-0.865531607631,-0.833966174096,-0.797227721663,-0.755603360605,-0.709396588055,-0.658927191330,-0.604530754729,-0.546557843828,-0.485372924323,-0.421353060653,-0.354886431274,-0.286370691519,-0.216211210631,-0.144819206410,-0.072609798555
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
# constraint,norm
# norm_sq,31.000000000000
# dEdt,2.038761667706
# lambda_max,2.033162133788
