A_re,0.380457854590,0.449163226198,0.507792455614,0.559301388926,0.605311218230,0.646816194707,0.684472554239,0.718736666029,0.749938640358,0.778324790793,0.804083671210,0.827362834312,0.848280052574,0.866931081869,0.883395183646,0.897739146585,0.910020275591,0.920288652757,0.928588874007,0.934961400905,0.939443625127,0.942070715069,0.942876294872,0.941892992874,0.939152887074,0.934687868432,0.928529937916,0.920711449599,0.911265309385,0.900225136904,0.887625396602,0.873501502793,0.857889902593,0.840828139860,0.822354902756,0.802510057055,0.781334666988,0.758871005109,0.735162552445,0.710253990001,0.684191182537,0.657021155404,0.628792065134,0.599553164379,0.569354761728,0.538248176887,0.506285691628,0.473520496898,0.440006636436,0.405798947209,0.370952996962,0.335525019161,0.299571845572,0.263150836724,0.226319810473,0.189136968892,0.151660823683,0.113950120310,0.076063761040,0.038060727085
A_im,0.000000000000,0.000000000000,-0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_re,-0.000000000000,0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_im,-0.380457854590,-0.449163226198,-0.507792455614,-0.559301388926,-0.605311218230,-0.646816194707,-0.684472554239,-0.718736666029,-0.749938640358,-0.778324790793,-0.804083671210,-0.827362834312,-0.848280052574,-0.866931081869,-0.883395183646,-0.897739146585,-0.910020275591,-0.920288652757,-0.928588874007,-0.934961400905,-0.939443625127,-0.942070715069,-0.942876294872,-0.941892992874,-0.939152887074,-0.934687868432,-0.928529937916,-0.920711449599,-0.911265309385,-0.900225136904,-0.887625396602,-0.873501502793,-0.857889902593,-0.840828139860,-0.822354902756,-0.802510057055,-0.781334666988,-0.758871005109,-0.735162552445,-0.710253990001,-0.684191182537,-0.657021155404,-0.628792065134,-0.599553164379,-0.569354761728,-0.538248176887,-0.506285691628,-0.473520496898,-0.440006636436,-0.405798947209,-0.370952996962,-0.335525019161,-0.299571845572,-0.263150836724,-0.226319810473,-0.189136968892,-0.151660823683,-0.113950120310,-0.076063761040,-0.038060727085
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
# constraint,norm
# norm_sq,61.000000000000
# dEdt,4.011756830002
# lambda_max,4.008784522080
