A_re,0.079434315525,0.093951464582,0.106475799676,0.117637237658,0.127785805441,0.137139514975,0.145844811131,0.154005516361,0.161698277202,0.168981489969,0.175900783573,0.182492555085,0.188786341662,0.194806465046,0.200573203882,0.206103649567,0.211412344111,0.216511764181,0.221412694340,0.226124518954,0.230655453395,0.235012729293,0.239202744490,0.243231185586,0.247103128948,0.250823124626,0.254395266572,0.257823251805,0.261110430556,0.264259849037,0.267274286087,0.270156284754,0.272908179629,0.275532120608,0.278030093632,0.280403938874,0.282655366720,0.284785971882,0.286797245897,0.288690588217,0.290467316094,0.292128673411,0.293675838578,0.295109931634,0.296432020622,0.297643127348,0.298744232577,0.299736280735,0.300620184181,0.301396827079,0.302067068922,0.302631747748,0.303091683066,0.303447678537,0.303700524419,0.303850999810,0.303899874701,0.303847911862,0.303695868570,0.303444498195,0.303094551663,0.302646778797,0.302101929549,0.301460755137,0.300724009088,0.299892448197,0.298966833411,0.297947930641,0.296836511504,0.295633354010,0.294339243187,0.292954971656,0.291481340157,0.289919158024,0.288269243625,0.286532424759,0.284709539011,0.282801434078,0.280808968059,0.278733009716,0.276574438702,0.274334145767,0.272013032935,0.269612013655,0.267132012932,0.264573967436,0.261938825587,0.259227547625,0.256441105657,0.253580483692,0.250646677651,0.247640695369,0.244563556576,0.241416292869,0.238199947663,0.234915576135,0.231564245154,0.228147033196,0.224665030250,0.221119337713,0.217511068272,0.213841345780,0.210111305118,0.206322092049,0.202474863067,0.198570785227,0.194611035980,0.190596802992,0.186529283954,0.182409686392,0.178239227460,0.174019133738,0.169750641012,0.165434994056,0.161073446403,0.156667260114,0.152217705537,0.147726061065,0.143193612889,0.138621654738,0.134011487626,0.129364419586,0.124681765405,0.119964846349,0.115214989889,0.110433529420,0.105621803983,0.100781157969,0.095912940839,0.091018506822,0.086099214626,0.081156427133,0.076191511103,0.071205836863,0.066200778006,0.061177711078,0.056138015269,0.051083072100,0.046014265104,0.040932979515,0.035840601943,0.030738520059,0.025628122272,0.020510797406,0.015387934376,0.010260921864,0.005131147993
A_im,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_re,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_im,-0.079434315525,-0.093951464582,-0.106475799676,-0.117637237658,-0.127785805441,-0.137139514975,-0.145844811131,-0.154005516361,-0.161698277202,-0.168981489969,-0.175900783573,-0.182492555085,-0.188786341662,-0.194806465046,-0.200573203882,-0.206103649567,-0.211412344111,-0.216511764181,-0.221412694340,-0.226124518954,-0.230655453395,-0.235012729293,-0.239202744490,-0.243231185586,-0.247103128948,-0.250823124626,-0.254395266572,-0.257823251805,-0.261110430556,-0.264259849037,-0.267274286087,-0.270156284754,-0.272908179629,-0.275532120608,-0.278030093632,-0.280403938874,-0.282655366720,-0.284785971882,-0.286797245897,-0.288690588217,-0.290467316094,-0.292128673411,-0.293675838578,-0.295109931634,-0.296432020622,-0.297643127348,-0.298744232577,-0.299736280735,-0.300620184181,-0.301396827079,-0.302067068922,-0.302631747748,-0.303091683066,-0.303447678537,-0.303700524419,-0.303850999810,-0.303899874701,-0.303847911862,-0.303695868570,-0.303444498195,-0.303094551663,-0.302646778797,-0.302101929549,-0.301460755138,-0.300724009088,-0.299892448197,-0.298966833411,-0.297947930641,-0.296836511504,-0.295633354010,-0.294339243187,-0.292954971656,-0.291481340157,-0.289919158024,-0.288269243625,-0.286532424759,-0.284709539011,-0.282801434078,-0.280808968059,-0.278733009716,-0.276574438702,-0.274334145767,-0.272013032935,-0.269612013655,-0.267132012932,-0.264573967436,-0.261938825587,-0.259227547625,-0.256441105657,-0.253580483692,-0.250646677651,-0.247640695369,-0.244563556576,-0.241416292869,-0.238199947663,-0.234915576135,-0.231564245154,-0.228147033196,-0.224665030250,-0.221119337713,-0.217511068272,-0.213841345780,-0.210111305118,-0.206322092049,-0.202474863067,-0.198570785227,-0.194611035980,-0.190596802992,-0.186529283954,-0.182409686392,-0.178239227460,-0.174019133738,-0.169750641012,-0.165434994056,-0.161073446403,-0.156667260114,-0.152217705537,-0.147726061065,-0.143193612889,-0.138621654738,-0.134011487626,-0.129364419586,-0.124681765405,-0.119964846349,-0.115214989889,-0.110433529420,-0.105621803983,-0.100781157969,-0.095912940839,-0.091018506822,-0.086099214626,-0.081156427133,-0.076191511103,-0.071205836863,-0.066200778006,-0.061177711078,-0.056138015269,-0.051083072100,-0.046014265104,-0.040932979515,-0.035840601943,-0.030738520059,-0.025628122272,-0.020510797406,-0.015387934376,-0.010260921864,-0.005131147993
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148
# constraint,power
# norm_sq,15.205308443375
# dEdt,1.000000000000
# lambda_max,0.999870603800
