A_re,0.091700230278,0.108445039585,0.122880272510,0.135732049693,0.147403471498,0.158145316851,0.168125814190,0.177464046562,0.186247776195,0.194543742895,0.202403989101,0.209869937897,0.216975128362,0.223747111704,0.230208802683,0.236379466044,0.242275451525,0.247910751525,0.253297431018,0.258445963696,0.263365498178,0.268064071232,0.272548780356,0.276825924761,0.280901121567,0.284779402290,0.288465293581,0.291962885217,0.295275887723,0.298407681485,0.301361358838,0.304139760302,0.306745505941,0.309181022611,0.311448567725,0.313550250072,0.315488048114,0.317263826115,0.318879348414,0.320336292084,0.321636258188,0.322780781826,0.323771341104,0.324609365182,0.325296241486,0.325833322201,0.326221930118,0.326463363909,0.326558902892,0.326509811344,0.326317342405,0.325982741613,0.325507250119,0.324892107591,0.324138554867,0.323247836348,0.322221202182,0.321059910241,0.319765227913,0.318338433733,0.316780818854,0.315093688377,0.313278362558,0.311336177885,0.309268488056,0.307076664843,0.304762098872,0.302326200309,0.299770399466,0.297096147331,0.294304916027,0.291398199206,0.288377512379,0.285244393187,0.282000401623,0.278647120196,0.275186154053,0.271619131047,0.267947701775,0.264173539560,0.260298340411,0.256323822931,0.252251728205,0.248083819643,0.243821882802,0.239467725171,0.235023175936,0.230490085709,0.225870326238,0.221165790094,0.216378390329,0.211510060116,0.206562752369,0.201538439342,0.196439112204,0.191266780604,0.186023472213,0.180711232254,0.175332123006,0.169888223308,0.164381628033,0.158814447563,0.153188807234,0.147506846787,0.141770719789,0.135982593056,0.130144646060,0.124259070323,0.118328068805,0.112353855279,0.106338653705,0.100284697585,0.094194229313,0.088069499527,0.081912766438,0.075726295166,0.069512357063,0.063273229028,0.057011192828,0.050728534396,0.044427543143,0.038110511252,0.031779732976,0.025437503928,0.019086120371,0.012727878502,0.006365073740
A_im,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_re,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_im,-0.091700230278,-0.108445039585,-0.122880272510,-0.135732049693,-0.147403471498,-0.158145316851,-0.168125814190,-0.177464046562,-0.186247776195,-0.194543742895,-0.202403989101,-0.209869937897,-0.216975128362,-0.223747111704,-0.230208802683,-0.236379466044,-0.242275451525,-0.247910751525,-0.253297431018,-0.258445963696,-0.263365498178,-0.268064071232,-0.272548780356,-0.276825924761,-0.280901121567,-0.284779402290,-0.288465293581,-0.291962885217,-0.295275887723,-0.298407681485,-0.301361358838,-0.304139760302,-0.306745505941,-0.309181022611,-0.311448567725,-0.313550250072,-0.315488048114,-0.317263826115,-0.318879348414,-0.320336292084,-0.321636258188,-0.322780781826,-0.323771341104,-0.324609365182,-0.325296241486,-0.325833322201,-0.326221930118,-0.326463363909,-0.326558902892,-0.326509811344,-0.326317342405,-0.325982741613,-0.325507250119,-0.324892107591,-0.324138554867,-0.323247836348,-0.322221202182,-0.321059910241,-0.319765227913,-0.318338433733,-0.316780818854,-0.315093688377,-0.313278362558,-0.311336177885,-0.309268488056,-0.307076664843,-0.304762098872,-0.302326200309,-0.299770399466,-0.297096147331,-0.294304916027,-0.291398199206,-0.288377512379,-0.285244393187,-0.282000401623,-0.278647120196,-0.275186154053,-0.271619131047,-0.267947701775,-0.264173539560,-0.260298340411,-0.256323822931,-0.252251728205,-0.248083819643,-0.243821882802,-0.239467725171,-0.235023175936,-0.230490085709,-0.225870326238,-0.221165790094,-0.216378390329,-0.211510060116,-0.206562752369,-0.201538439342,-0.196439112204,-0.191266780604,-0.186023472213,-0.180711232254,-0.175332123006,-0.169888223308,-0.164381628033,-0.158814447563,-0.153188807234,-0.147506846787,-0.141770719789,-0.135982593056,-0.130144646060,-0.124259070323,-0.118328068805,-0.112353855279,-0.106338653705,-0.100284697585,-0.094194229313,-0.088069499527,-0.081912766438,-0.075726295166,-0.069512357063,-0.063273229028,-0.057011192828,-0.050728534396,-0.044427543143,-0.038110511252,-0.031779732976,-0.025437503928,-0.019086120371,-0.012727878502,-0.006365073740
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128
# constraint,power
# norm_sq,15.205308443375
# dEdt,1.000000000000
# lambda_max,0.999827540714
