A_re,0.069245544037,0.081908264851,0.092838710518,0.102586582937,0.111457546858,0.119642143157,0.127268489374,0.134427516745,0.141186439372,0.147596538140,0.153697942713,0.159522715570,0.165096921270,0.170442061329,0.175576097237,0.180514197439,0.185269294137,0.189852505896,0.194273463562,0.198540565198,0.202661178054,0.206641800409,0.210488192608,0.214205484171,0.217798262082,0.221270644166,0.224626340492,0.227868705123,0.231000779989,0.234025332303,0.236944886645,0.239761752606,0.242478048719,0.245095723280,0.247616572516,0.250042256524,0.252374313281,0.254614171030,0.256763159238,0.258822518337,0.260793408409,0.262676916939,0.264474065770,0.266185817347,0.267813080336,0.269356714701,0.270817536289,0.272196320992,0.273493808523,0.274710705845,0.275847690311,0.276905412514,0.277884498901,0.278785554169,0.279609163457,0.280355894357,0.281026298774,0.281620914623,0.282140267406,0.282584871659,0.282955232294,0.283251845834,0.283475201558,0.283625782565,0.283704066753,0.283710527731,0.283645635665,0.283509858064,0.283303660505,0.283027507314,0.282681862193,0.282267188806,0.281783951322,0.281232614922,0.280613646265,0.279927513930,0.279174688820,0.278355644536,0.277470857735,0.276520808445,0.275505980374,0.274426861186,0.273283942761,0.272077721432,0.270808698206,0.269477378967,0.268084274665,0.266629901484,0.265114780999,0.263539440321,0.261904412228,0.260210235276,0.258457453912,0.256646618564,0.254778285729,0.252853018043,0.250871384345,0.248833959738,0.246741325629,0.244594069770,0.242392786290,0.240138075713,0.237830544978,0.235470807446,0.233059482901,0.230597197546,0.228084583992,0.225522281244,0.222910934675,0.220251196002,0.217543723249,0.214789180715,0.211988238927,0.209141574595,0.206249870560,0.203313815738,0.200334105059,0.197311439406,0.194246525544,0.191140076049,0.187992809235,0.184805449073,0.181578725111,0.178313372387,0.175010131342,0.171669747730,0.168292972520,0.164880561802,0.161433276687,0.157951883205,0.154437152199,0.150889859218,0.147310784408,0.143700712399,0.140060432194,0.136390737047,0.132692424352,0.128966295514,0.125213155836,0.121433814389,0.117629083887,0.113799780561,0.109946724030,0.106070737167,0.102172645972,0.098253279432,0.094313469392,0.090354050415,0.086375859642,0.082379736660,0.078366523355,0.074337063773,0.070292203978,0.066232791910,0.062159677237,0.058073711210,0.053975746522,0.049866637153,0.045747238229,0.041618405869,0.037480997038,0.033335869395,0.029183881146,0.025025890890,0.020862757465,0.016695339804,0.012524496773,0.008351087027,0.004175968848
A_im,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_re,-0.000000000000,-0.000000000000,0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_im,-0.069245544037,-0.081908264851,-0.092838710518,-0.102586582937,-0.111457546858,-0.119642143157,-0.127268489374,-0.134427516745,-0.141186439373,-0.147596538140,-0.153697942713,-0.159522715570,-0.165096921270,-0.170442061329,-0.175576097237,-0.180514197439,-0.185269294137,-0.189852505896,-0.194273463562,-0.198540565198,-0.202661178054,-0.206641800409,-0.210488192608,-0.214205484171,-0.217798262082,-0.221270644166,-0.224626340492,-0.227868705123,-0.231000779989,-0.234025332303,-0.236944886645,-0.239761752606,-0.242478048719,-0.245095723280,-0.247616572516,-0.250042256524,-0.252374313281,-0.254614171030,-0.256763159238,-0.258822518337,-0.260793408409,-0.262676916939,-0.264474065770,-0.266185817347,-0.267813080336,-0.269356714701,-0.270817536289,-0.272196320992,-0.273493808523,-0.274710705845,-0.275847690311,-0.276905412514,-0.277884498901,-0.278785554169,-0.279609163457,-0.280355894357,-0.281026298774,-0.281620914623,-0.282140267406,-0.282584871659,-0.282955232294,-0.283251845834,-0.283475201558,-0.283625782565,-0.283704066753,-0.283710527731,-0.283645635665,-0.283509858064,-0.283303660505,-0.283027507314,-0.282681862193,-0.282267188806,-0.281783951323,-0.281232614922,-0.280613646265,-0.279927513930,-0.279174688820,-0.278355644536,-0.277470857735,-0.276520808445,-0.275505980374,-0.274426861186,-0.273283942761,-0.272077721432,-0.270808698206,-0.269477378967,-0.268084274665,-0.266629901484,-0.265114780999,-0.263539440321,-0.261904412228,-0.260210235276,-0.258457453912,-0.256646618564,-0.254778285729,-0.252853018043,-0.250871384345,-0.248833959738,-0.246741325629,-0.244594069770,-0.242392786290,-0.240138075713,-0.237830544978,-0.235470807446,-0.233059482901,-0.230597197546,-0.228084583992,-0.225522281244,-0.222910934675,-0.220251196002,-0.217543723249,-0.214789180715,-0.211988238927,-0.209141574595,-0.206249870560,-0.203313815738,-0.200334105059,-0.197311439406,-0.194246525544,-0.191140076049,-0.187992809235,-0.184805449073,-0.181578725111,-0.178313372387,-0.175010131342,-0.171669747730,-0.168292972520,-0.164880561802,-0.161433276687,-0.157951883205,-0.154437152199,-0.150889859218,-0.147310784408,-0.143700712399,-0.140060432194,-0.136390737047,-0.132692424352,-0.128966295514,-0.125213155836,-0.121433814389,-0.117629083887,-0.113799780561,-0.109946724030,-0.106070737167,-0.102172645972,-0.098253279432,-0.094313469392,-0.090354050415,-0.086375859642,-0.082379736660,-0.078366523355,-0.074337063773,-0.070292203978,-0.066232791910,-0.062159677237,-0.058073711210,-0.053975746522,-0.049866637153,-0.045747238229,-0.041618405869,-0.037480997038,-0.033335869395,-0.029183881146,-0.025025890890,-0.020862757465,-0.016695339804,-0.012524496773,-0.008351087027,-0.004175968848
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170
# constraint,power
# norm_sq,15.205308443375
# dEdt,1.000000000000
# lambda_max,0.999901675978
