A_re,0.213886782264,0.252360735558,0.285073213408,0.313675158408,0.339068443174,0.361803649854,0.382242403711,0.400634960848,0.417161530537,0.431956102294,0.445121049325,0.456736523115,0.466866740012,0.475564327707,0.482873413954,0.488831873187,0.493472993415,0.496826734135,0.498920689430,0.499780834356,0.499432109220,0.497898880624,0.495205307419,0.491375632268,0.486434414257,0.480406714202,0.473318241576,0.465195469938,0.456065726247,0.445957258309,0.434899283748,0.422922023211,0.410056720029,0.396335648136,0.381792109752,0.366460424067,0.350375907989,0.333574849842,0.316094476784,0.297972916608,0.279249154509,0.259962985328,0.240154961728,0.219866338721,0.199139014909,0.178015470799,0.156538704479,0.134752164986,0.112699683613,0.090425403426,0.067973707246,0.045389144318,0.022716355900
A_im,0.000000000000,0.000000000000,-0.000000000000,0.000000000000,-0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_re,-0.000000000000,0.000000000000,-0.000000000000,0.000000000000,-0.000000000000,0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_im,-0.213886782264,-0.252360735558,-0.285073213408,-0.313675158408,-0.339068443174,-0.361803649854,-0.382242403711,-0.400634960848,-0.417161530537,-0.431956102294,-0.445121049325,-0.456736523115,-0.466866740012,-0.475564327707,-0.482873413954,-0.488831873187,-0.493472993415,-0.496826734135,-0.498920689430,-0.499780834356,-0.499432109220,-0.497898880624,-0.495205307419,-0.491375632268,-0.486434414257,-0.480406714202,-0.473318241576,-0.465195469938,-0.456065726247,-0.445957258309,-0.434899283748,-0.422922023211,-0.410056720029,-0.396335648136,-0.381792109752,-0.366460424067,-0.350375907989,-0.333574849842,-0.316094476784,-0.297972916608,-0.279249154509,-0.259962985328,-0.240154961728,-0.219866338721,-0.199139014909,-0.178015470799,-0.156538704479,-0.134752164986,-0.112699683613,-0.090425403426,-0.067973707246,-0.045389144318,-0.022716355900
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
# constraint,power
# norm_sq,15.205308443375
# dEdt,1.000000000000
# lambda_max,0.999060199242
