A_re,0.196224525817,0.231625216906,0.261806770715,0.288291195123,0.311912418389,0.333181278436,0.352434516351,0.369906009629,0.385764722185,0.400136594130,0.413117962556,0.424784198616,0.435195489803,0.444400839965,0.452440913886,0.459350108362,0.465158090924,0.469890963215,0.473572153992,0.476223113621,0.477863860316,0.478513413886,0.478190142911,0.476912044404,0.474696970160,0.471562810530,0.467527643812,0.462609857584,0.456828246938,0.450202093485,0.442751228244,0.434496080875,0.425457717278,0.415657867184,0.405118943078,0.393864051571,0.381916998139,0.369302286012,0.356045109876,0.342171344941,0.327707531864,0.312680857952,0.297119135001,0.281050774098,0.264504757681,0.247510609098,0.230098359914,0.212298515165,0.194142016755,0.175660205179,0.156884779735,0.137847757376,0.118581430362,0.099118322828,0.079491146427,0.059732755152,0.039876099469,0.019954179876
A_im,0.000000000000,0.000000000000,-0.000000000000,0.000000000000,-0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_re,-0.000000000000,0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_im,-0.196224525817,-0.231625216906,-0.261806770715,-0.288291195123,-0.311912418389,-0.333181278436,-0.352434516351,-0.369906009629,-0.385764722185,-0.400136594130,-0.413117962556,-0.424784198616,-0.435195489803,-0.444400839965,-0.452440913886,-0.459350108362,-0.465158090924,-0.469890963215,-0.473572153992,-0.476223113621,-0.477863860316,-0.478513413886,-0.478190142911,-0.476912044404,-0.474696970160,-0.471562810530,-0.467527643812,-0.462609857584,-0.456828246938,-0.450202093485,-0.442751228244,-0.434496080875,-0.425457717278,-0.415657867184,-0.405118943078,-0.393864051571,-0.381916998139,-0.369302286012,-0.356045109876,-0.342171344941,-0.327707531864,-0.312680857952,-0.297119135001,-0.281050774098,-0.264504757681,-0.247510609098,-0.230098359914,-0.212298515165,-0.194142016755,-0.175660205179,-0.156884779735,-0.137847757376,-0.118581430362,-0.099118322828,-0.079491146427,-0.059732755152,-0.039876099469,-0.019954179876
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
# constraint,power
# norm_sq,15.205308443375
# dEdt,1.000000000000
# lambda_max,0.999209259148
