A_re,0.073751594978,0.087193374908,0.098761172623,0.109037054847,0.118343460685,0.126880470910,0.134781902842,0.142142160895,0.149030559722,0.155499597087,0.161590033225,0.167334164551,0.172758018736,0.177882875726,0.182726351412,0.187303188281,0.191625844323,0.195704939651,0.199549600654,0.203167728977,0.206566214426,0.209751105429,0.212727746915,0.215500892907,0.218074799232,0.220453300481,0.222639874333,0.224637695684,0.226449682467,0.228078534661,0.229526767658,0.230796740962,0.231890682950,0.232810712348,0.233558856910,0.234137069719,0.234547243456,0.234791222933,0.234870816108,0.234787803805,0.234543948289,0.234141000858,0.233580708558,0.232864820132,0.231995091294,0.230973289402,0.229801197593,0.228480618445,0.227013377212,0.225401324670,0.223646339623,0.221750331090,0.219715240218,0.217543041925,0.215235746319,0.212795399895,0.210224086541,0.207523928359,0.204697086323,0.201745760780,0.198672191811,0.195478659464,0.192167483857,0.188741025174,0.185201683551,0.181551898869,0.177794150443,0.173930956638,0.169964874395,0.165898498681,0.161734461872,0.157475433064,0.153124117321,0.148683254864,0.144155620204,0.139544021222,0.134851298192,0.130080322768,0.125233996914,0.120315251799,0.115327046650,0.110272367569,0.105154226304,0.099975659006,0.094739724932,0.089449505133,0.084108101112,0.078718633448,0.073284240404,0.067808076507,0.062293311111,0.056743126930,0.051160718569,0.045549291024,0.039912058168,0.034252241234,0.028573067270,0.022877767595,0.017169576237,0.011451728365,0.005727458713
A_im,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_re,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_im,-0.073751594978,-0.087193374908,-0.098761172623,-0.109037054847,-0.118343460685,-0.126880470910,-0.134781902842,-0.142142160895,-0.149030559722,-0.155499597087,-0.161590033225,-0.167334164551,-0.172758018736,-0.177882875726,-0.182726351412,-0.187303188281,-0.191625844323,-0.195704939651,-0.199549600654,-0.203167728977,-0.206566214426,-0.209751105429,-0.212727746915,-0.215500892907,-0.218074799232,-0.220453300481,-0.222639874333,-0.224637695684,-0.226449682467,-0.228078534661,-0.229526767658,-0.230796740962,-0.231890682950,-0.232810712348,-0.233558856910,-0.234137069719,-0.234547243456,-0.234791222933,-0.234870816108,-0.234787803805,-0.234543948289,-0.234141000858,-0.233580708558,-0.232864820132,-0.231995091294,-0.230973289402,-0.229801197593,-0.228480618445,-0.227013377212,-0.225401324670,-0.223646339623,-0.221750331090,-0.219715240218,-0.217543041925,-0.215235746319,-0.212795399895,-0.210224086541,-0.207523928359,-0.204697086323,-0.201745760780,-0.198672191811,-0.195478659464,-0.192167483857,-0.188741025174,-0.185201683551,-0.181551898869,-0.177794150443,-0.173930956638,-0.169964874395,-0.165898498681,-0.161734461872,-0.157475433064,-0.153124117321,-0.148683254864,-0.144155620204,-0.139544021222,-0.134851298192,-0.130080322768,-0.125233996914,-0.120315251799,-0.115327046650,-0.110272367569,-0.105154226304,-0.099975659006,-0.094739724932,-0.089449505133,-0.084108101112,-0.078718633448,-0.073284240404,-0.067808076507,-0.062293311111,-0.056743126930,-0.051160718569,-0.045549291024,-0.039912058168,-0.034252241234,-0.028573067270,-0.022877767595,-0.017169576237,-0.011451728365,-0.005727458713
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102
# constraint,power
# norm_sq,6.283185307180
# dEdt,0.500000000000
# lambda_max,0.499864990060
