A_re,0.082519304384,0.097539127190,0.110449342980,0.121899720596,0.132249671590,0.141721824393,0.150464772888,0.158583106774,0.166153427968,0.173233599622,0.179868423590,0.186093298812,0.191936673739,0.197421745285,0.202567668947,0.207390441515,0.211903558358,0.216118511777,0.220045174904,0.223692101657,0.227066764081,0.230175742286,0.233024878032,0.235619400059,0.237964027235,0.240063054103,0.241920422327,0.243539780735,0.244924536089,0.246077896222,0.247002906879,0.247702483309,0.248179437468,0.248436501508,0.248476348141,0.248301608314,0.247914886605,0.247318774638,0.246515862797,0.245508750453,0.244300054901,0.242892419160,0.241288518771,0.239491067721,0.237502823574,0.235326591910,0.232965230135,0.230421650742,0.227698824052,0.224799780515,0.221727612589,0.218485476246,0.215076592141,0.211504246459,0.207771791484,0.203882645898,0.199840294842,0.195648289752,0.191310247979,0.186829852231,0.182210849821,0.177457051757,0.172572331676,0.167560624629,0.162425925731,0.157172288690,0.151803824206,0.146324698265,0.140739130334,0.135051391444,0.129265802192,0.123386730652,0.117418590206,0.111365837300,0.105232969124,0.099024521236,0.092745065109,0.086399205634,0.079991578562,0.073526847896,0.067009703237,0.060444857092,0.053837042136,0.047191008441,0.040511520674,0.033803355265,0.027071297548,0.020320138879,0.013554673734,0.006779696792
A_im,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_re,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_im,-0.082519304384,-0.097539127190,-0.110449342980,-0.121899720596,-0.132249671590,-0.141721824393,-0.150464772888,-0.158583106774,-0.166153427968,-0.173233599622,-0.179868423590,-0.186093298812,-0.191936673739,-0.197421745285,-0.202567668947,-0.207390441515,-0.211903558358,-0.216118511777,-0.220045174904,-0.223692101657,-0.227066764081,-0.230175742286,-0.233024878032,-0.235619400059,-0.237964027235,-0.240063054103,-0.241920422327,-0.243539780735,-0.244924536089,-0.246077896222,-0.247002906879,-0.247702483309,-0.248179437468,-0.248436501508,-0.248476348141,-0.248301608314,-0.247914886605,-0.247318774638,-0.246515862797,-0.245508750453,-0.244300054901,-0.242892419160,-0.241288518771,-0.239491067721,-0.237502823574,-0.235326591910,-0.232965230135,-0.230421650742,-0.227698824052,-0.224799780515,-0.221727612589,-0.218485476246,-0.215076592141,-0.211504246459,-0.207771791484,-0.203882645898,-0.199840294842,-0.195648289752,-0.191310247979,-0.186829852231,-0.182210849821,-0.177457051757,-0.172572331676,-0.167560624629,-0.162425925731,-0.157172288690,-0.151803824206,-0.146324698265,-0.140739130334,-0.135051391444,-0.129265802192,-0.123386730652,-0.117418590206,-0.111365837300,-0.105232969124,-0.099024521236,-0.092745065109,-0.086399205634,-0.079991578562,-0.073526847896,-0.067009703237,-0.060444857092,-0.053837042136,-0.047191008441,-0.040511520674,-0.033803355265,-0.027071297548,-0.020320138879,-0.013554673734,-0.006779696792
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91
# constraint,power
# norm_sq,6.283185307180
# dEdt,0.500000000000
# lambda_max,0.499830956654
