A_re,0.096007399647,0.113441485643,0.128394890743,0.141620558585,0.153533902906,0.164391456595,0.174363847057,0.183570710980,0.192099309968,0.200015276949,0.207369210498,0.214200922466,0.220542284339,0.226419198329,0.231853000770,0.236861485375,0.241459664832,0.245660347954,0.249474584027,0.252912009758,0.255981123583,0.258689504984,0.261043991593,0.263050823521,0.264715761909,0.266044187024,0.267041179944,0.267711590973,0.268060097219,0.268091251269,0.267809522477,0.267219332095,0.266325083223,0.265131186383,0.263642081369,0.261862255904,0.259796261559,0.257448727285,0.254824370885,0.251928008675,0.248764563552,0.245339071656,0.241656687795,0.237722689744,0.233542481561,0.229121596006,0.224465696150,0.219580576260,0.214472162016,0.209146510124,0.203609807378,0.197868369216,0.191928637806,0.185797179708,0.179480683136,0.172985954858,0.166319916754,0.159489602063,0.152502151335,0.145364808115,0.138084914376,0.130669905720,0.123127306360,0.115464723900,0.107689843937,0.099810424485,0.091834290239,0.083769326699,0.075623474159,0.067404721570,0.059121100295,0.050780677767,0.042391551051,0.033961840333,0.025499682333,0.017013223662,0.008510614128
A_im,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_re,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_im,-0.096007399647,-0.113441485643,-0.128394890743,-0.141620558585,-0.153533902906,-0.164391456595,-0.174363847057,-0.183570710980,-0.192099309968,-0.200015276949,-0.207369210498,-0.214200922466,-0.220542284339,-0.226419198329,-0.231853000770,-0.236861485375,-0.241459664832,-0.245660347954,-0.249474584027,-0.252912009758,-0.255981123583,-0.258689504984,-0.261043991593,-0.263050823521,-0.264715761909,-0.266044187024,-0.267041179944,-0.267711590973,-0.268060097219,-0.268091251269,-0.267809522477,-0.267219332095,-0.266325083223,-0.265131186383,-0.263642081369,-0.261862255904,-0.259796261559,-0.257448727285,-0.254824370885,-0.251928008675,-0.248764563552,-0.245339071656,-0.241656687795,-0.237722689744,-0.233542481561,-0.229121596006,-0.224465696150,-0.219580576260,-0.214472162016,-0.209146510124,-0.203609807378,-0.197868369216,-0.191928637806,-0.185797179708,-0.179480683136,-0.172985954858,-0.166319916754,-0.159489602063,-0.152502151335,-0.145364808115,-0.138084914376,-0.130669905720,-0.123127306360,-0.115464723900,-0.107689843937,-0.099810424485,-0.091834290239,-0.083769326699,-0.075623474159,-0.067404721570,-0.059121100295,-0.050780677767,-0.042391551051,-0.033961840333,-0.025499682333,-0.017013223662,-0.008510614128
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
# constraint,power
# norm_sq,6.283185307180
# dEdt,0.500000000000
# lambda_max,0.499771119390
