A_re,0.097229864545,0.114881886177,0.130019033002,0.143403536335,0.155455829111,0.166435467035,0.176515030254,0.185815480340,0.194425011157,0.202409930702,0.209821338335,0.216699425647,0.223076358408,0.228978272219,0.234426693350,0.239439574663,0.244032066609,0.248217101459,0.252005843084,0.255408038113,0.258432293546,0.261086298672,0.263377004271,0.265310768597,0.266893477273,0.268130642464,0.269027485424,0.269589005601,0.269820038762,0.269725306087,0.269309455782,0.268577098443,0.267532837158,0.266181293182,0.264527127814,0.262575061037,0.260329887375,0.257796489321,0.254979848664,0.251885055974,0.248517318466,0.244881966422,0.240984458355,0.236830385020,0.232425472422,0.227775583899,0.222886721385,0.217765025921,0.212416777487,0.206848394208,0.201066431003,0.195077577699,0.188888656680,0.182506620082,0.175938546589,0.169191637851,0.162273214550,0.155190712147,0.147951676327,0.140563758169,0.133034709052,0.125372375332,0.117584692787,0.109679680867,0.101665436745,0.093550129206,0.085341992358,0.077049319217,0.068680455138,0.060243791140,0.051747757109,0.043200814909,0.034611451409,0.025988171423,0.017339490592,0.008673928210
A_im,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_re,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_im,-0.097229864545,-0.114881886177,-0.130019033002,-0.143403536335,-0.155455829111,-0.166435467035,-0.176515030254,-0.185815480340,-0.194425011157,-0.202409930702,-0.209821338335,-0.216699425647,-0.223076358408,-0.228978272219,-0.234426693350,-0.239439574663,-0.244032066609,-0.248217101459,-0.252005843084,-0.255408038113,-0.258432293546,-0.261086298672,-0.263377004271,-0.265310768597,-0.266893477273,-0.268130642464,-0.269027485424,-0.269589005601,-0.269820038762,-0.269725306087,-0.269309455782,-0.268577098443,-0.267532837158,-0.266181293182,-0.264527127814,-0.262575061037,-0.260329887375,-0.257796489321,-0.254979848664,-0.251885055974,-0.248517318466,-0.244881966422,-0.240984458355,-0.236830385020,-0.232425472422,-0.227775583899,-0.222886721385,-0.217765025921,-0.212416777487,-0.206848394208,-0.201066431003,-0.195077577699,-0.188888656680,-0.182506620082,-0.175938546589,-0.169191637851,-0.162273214550,-0.155190712147,-0.147951676327,-0.140563758169,-0.133034709052,-0.125372375332,-0.117584692787,-0.109679680867,-0.101665436745,-0.093550129206,-0.085341992358,-0.077049319217,-0.068680455138,-0.060243791140,-0.051747757109,-0.043200814909,-0.034611451409,-0.025988171423,-0.017339490592,-0.008673928210
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
# constraint,power
# norm_sq,6.283185307180
# dEdt,0.500000000000
# lambda_max,0.499765247621
