A_re,0.120182932014,0.141896175056,0.160432808045,0.176727267115,0.191292305451,0.204442558755,0.216385820502,0.227266686976,0.237189813231,0.246233329526,0.254457068478,0.261907860732,0.268623080983,0.274633101622,0.279963038130,0.284634020358,0.288664137522,0.292069153155,0.294863054433,0.297058479908,0.298667056512,0.299699667737,0.300166668935,0.300078061402,0.299443633971,0.298273078710,0.296576085742,0.294362421084,0.291641990515,0.288424891887,0.284721457749,0.280542289816,0.275898286505,0.270800664528,0.265260975373,0.259291117336,0.252903343667,0.246110267301,0.238924862572,0.231360464242,0.223430764126,0.215149805578,0.206531976031,0.197591997798,0.188344917278,0.178806092728,0.168991180732,0.158916121466,0.148597122890,0.138050643940,0.127293376827,0.116342228512,0.105214301445,0.093926873632,0.082497378091,0.070943381779,0.059282564040,0.047532694621,0.035711611339,0.023837197424,0.011927358606
A_im,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_re,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_im,-0.120182932014,-0.141896175056,-0.160432808045,-0.176727267115,-0.191292305451,-0.204442558755,-0.216385820502,-0.227266686976,-0.237189813231,-0.246233329526,-0.254457068478,-0.261907860732,-0.268623080983,-0.274633101622,-0.279963038130,-0.284634020358,-0.288664137522,-0.292069153155,-0.294863054433,-0.297058479908,-0.298667056512,-0.299699667737,-0.300166668935,-0.300078061402,-0.299443633971,-0.298273078710,-0.296576085742,-0.294362421084,-0.291641990515,-0.288424891887,-0.284721457749,-0.280542289816,-0.275898286505,-0.270800664528,-0.265260975373,-0.259291117336,-0.252903343667,-0.246110267301,-0.238924862572,-0.231360464242,-0.223430764126,-0.215149805578,-0.206531976031,-0.197591997798,-0.188344917278,-0.178806092728,-0.168991180732,-0.158916121466,-0.148597122890,-0.138050643940,-0.127293376827,-0.116342228512,-0.105214301445,-0.093926873632,-0.082497378091,-0.070943381779,-0.059282564040,-0.047532694621,-0.035711611339,-0.023837197424,-0.011927358606
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
# constraint,power
# norm_sq,6.283185307180
# dEdt,0.500000000000
# lambda_max,0.499641136043
