A_re,0.038074964390,0.045041183085,0.051057204157,0.056425556216,0.061314560974,0.065829219472,0.070040192577,0.073997680030,0.077738828396,0.081292012544,0.084679466214,0.087918978715,0.091025033485,0.094009597679,0.096882685209,0.099652767903,0.102327082034,0.104911861009,0.107412514846,0.109833770583,0.112179783538,0.114454226474,0.116660361809,0.118801100644,0.120879051434,0.122896560443,0.124855745602,0.126758525052,0.128606641345,0.130401682092,0.132145097659,0.133838216436,0.135482258041,0.137078344820,0.138627511881,0.140130715896,0.141588842849,0.143002714875,0.144373096319,0.145700699127,0.146986187645,0.148230182915,0.149433266518,0.150595984037,0.151718848167,0.152802341531,0.153846919223,0.154853011113,0.155821023948,0.156751343260,0.157644335102,0.158500347643,0.159319712623,0.160102746685,0.160849752603,0.161561020404,0.162236828410,0.162877444189,0.163483125444,0.164054120822,0.164590670676,0.165093007757,0.165561357872,0.165995940479,0.166396969253,0.166764652601,0.167099194153,0.167400793214,0.167669645179,0.167905941936,0.168109872229,0.168281622002,0.168421374722,0.168529311680,0.168605612272,0.168650454267,0.168664014047,0.168646466849,0.168597986976,0.168518748005,0.168408922977,0.168268684580,0.168098205317,0.167897657664,0.167667214222,0.167407047857,0.167117331831,0.166798239926,0.166449946561,0.166072626903,0.165666456968,0.165231613717,0.164768275148,0.164276620379,0.163756829730,0.163209084797,0.162633568519,0.162030465245,0.161399960796,0.160742242520,0.160057499346,0.159345921833,0.158607702213,0.157843034437,0.157052114213,0.156235139040,0.155392308244,0.154523823006,0.153629886390,0.152710703370,0.151766480849,0.150797427683,0.149803754698,0.148785674702,0.147743402506,0.146677154929,0.145587150811,0.144473611024,0.143336758470,0.142176818095,0.140994016886,0.139788583875,0.138560750136,0.137310748787,0.136038814986,0.134745185926,0.133430100827,0.132093800934,0.130736529505,0.129358531805,0.127960055089,0.126541348600,0.125102663547,0.123644253098,0.122166372360,0.120669278368,0.119153230065,0.117618488285,0.116065315737,0.114493976982,0.112904738413,0.111297868239,0.109673636456,0.108032314831,0.106374176873,0.104699497814,0.103008554579,0.101301625768,0.099578991620,0.097840933996,0.096087736344,0.094319683677,0.092537062541,0.090740160986,0.088929268536,0.087104676164,0.085266676252,0.083415562569,0.081551630232,0.079675175680,0.077786496634,0.075885892074,0.073973662193,0.072050108376,0.070115533155,0.068170240180,0.066214534182,0.064248720939,0.062273107236,0.060288000836,0.058293710435,0.056290545633,0.054278816889,0.052258835491,0.050230913513,0.048195363779,0.046152499825,0.044102635859,0.042046086722,0.039983167853,0.037914195244,0.035839485402,0.033759355313,0.031674122397,0.029584104473,0.027489619712,0.025390986604,0.023288523911,0.021182550632,0.019073385955,0.016961349225,0.014846759895,0.012729937486,0.010611201551,0.008490871627,0.006369267197,0.004246707647,0.002123512225
A_im,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_re,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_im,-0.038074964390,-0.045041183085,-0.051057204157,-0.056425556216,-0.061314560974,-0.065829219472,-0.070040192577,-0.073997680030,-0.077738828396,-0.081292012544,-0.084679466214,-0.087918978715,-0.091025033485,-0.094009597679,-0.096882685209,-0.099652767903,-0.102327082034,-0.104911861009,-0.107412514846,-0.109833770583,-0.112179783538,-0.114454226474,-0.116660361809,-0.118801100644,-0.120879051434,-0.122896560443,-0.124855745602,-0.126758525052,-0.128606641345,-0.130401682092,-0.132145097659,-0.133838216436,-0.135482258041,-0.137078344820,-0.138627511881,-0.140130715896,-0.141588842849,-0.143002714875,-0.144373096319,-0.145700699127,-0.146986187645,-0.148230182915,-0.149433266518,-0.150595984037,-0.151718848167,-0.152802341531,-0.153846919223,-0.154853011113,-0.155821023948,-0.156751343260,-0.157644335102,-0.158500347643,-0.159319712623,-0.160102746685,-0.160849752603,-0.161561020404,-0.162236828410,-0.162877444189,-0.163483125444,-0.164054120822,-0.164590670676,-0.165093007757,-0.165561357872,-0.165995940479,-0.166396969253,-0.166764652601,-0.167099194153,-0.167400793214,-0.167669645179,-0.167905941936,-0.168109872229,-0.168281622002,-0.168421374722,-0.168529311680,-0.168605612272,-0.168650454267,-0.168664014047,-0.168646466849,-0.168597986976,-0.168518748005,-0.168408922977,-0.168268684580,-0.168098205317,-0.167897657664,-0.167667214222,-0.167407047857,-0.167117331831,-0.166798239926,-0.166449946561,-0.166072626903,-0.165666456968,-0.165231613717,-0.164768275148,-0.164276620379,-0.163756829730,-0.163209084797,-0.162633568519,-0.162030465245,-0.161399960796,-0.160742242520,-0.160057499346,-0.159345921833,-0.158607702213,-0.157843034437,-0.157052114213,-0.156235139040,-0.155392308244,-0.154523823006,-0.153629886390,-0.152710703370,-0.151766480849,-0.150797427683,-0.149803754698,-0.148785674702,-0.147743402506,-0.146677154929,-0.145587150811,-0.144473611024,-0.143336758470,-0.142176818095,-0.140994016886,-0.139788583875,-0.138560750136,-0.137310748787,-0.136038814986,-0.134745185926,-0.133430100827,-0.132093800934,-0.130736529505,-0.129358531805,-0.127960055089,-0.126541348600,-0.125102663547,-0.123644253098,-0.122166372360,-0.120669278368,-0.119153230065,-0.117618488285,-0.116065315737,-0.114493976982,-0.112904738413,-0.111297868239,-0.109673636456,-0.108032314831,-0.106374176873,-0.104699497814,-0.103008554579,-0.101301625768,-0.099578991620,-0.097840933996,-0.096087736344,-0.094319683677,-0.092537062541,-0.090740160986,-0.088929268536,-0.087104676164,-0.085266676252,-0.083415562569,-0.081551630232,-0.079675175680,-0.077786496634,-0.075885892074,-0.073973662193,-0.072050108376,-0.070115533155,-0.068170240180,-0.066214534182,-0.064248720939,-0.062273107236,-0.060288000836,-0.058293710435,-0.056290545633,-0.054278816889,-0.052258835491,-0.050230913513,-0.048195363779,-0.046152499825,-0.044102635859,-0.042046086722,-0.039983167853,-0.037914195244,-0.035839485402,-0.033759355313,-0.031674122397,-0.029584104473,-0.027489619712,-0.025390986604,-0.023288523911,-0.021182550632,-0.019073385955,-0.016961349225,-0.014846759895,-0.012729937486,-0.010611201551,-0.008490871627,-0.006369267197,-0.004246707647,-0.002123512225
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
# constraint,power
# norm_sq,6.283185307180
# dEdt,0.500000000000
# lambda_max,0.499964032064
