A_re,0.049731860040,0.058821863107,0.066664972713,0.073655653724,0.080013131456,0.085873973406,0.091329935123,0.096446082502,0.101270463065,0.105839694587,0.110182398129,0.114321411862,0.118275276318,0.122059264165,0.125686114330,0.129166567965,0.132509767906,0.135723561823,0.138814735980,0.141789198057,0.144652121970,0.147408063899,0.150061056224,0.152614684288,0.155072149673,0.157436322767,0.159709786760,0.161894874711,0.163993700964,0.166008187948,0.167940089137,0.169791008844,0.171562419347,0.173255675785,0.174872029153,0.176412637703,0.177878576963,0.179270848584,0.180590388175,0.181838072261,0.183014724480,0.184121121119,0.185157996076,0.186126045308,0.187025930836,0.187858284362,0.188623710527,0.189322789871,0.189956081512,0.190524125581,0.191027445444,0.191466549717,0.191841934119,0.192154083148,0.192403471635,0.192590566153,0.192715826313,0.192779705961,0.192782654266,0.192725116731,0.192607536116,0.192430353292,0.192194008029,0.191898939714,0.191545588024,0.191134393537,0.190665798302,0.190140246356,0.189558184212,0.188920061299,0.188226330368,0.187477447871,0.186673874305,0.185816074526,0.184904518040,0.183939679270,0.182922037797,0.181852078578,0.180730292151,0.179557174809,0.178333228773,0.177058962327,0.175734889957,0.174361532462,0.172939417058,0.171469077464,0.169951053975,0.168385893531,0.166774149764,0.165116383042,0.163413160497,0.161665056049,0.159872650415,0.158036531114,0.156157292462,0.154235535554,0.152271868250,0.150266905140,0.148221267512,0.146135583307,0.144010487075,0.141846619913,0.139644629412,0.137405169585,0.135128900796,0.132816489686,0.130468609085,0.128085937934,0.125669161182,0.123218969700,0.120736060176,0.118221135010,0.115674902207,0.113098075266,0.110491373060,0.107855519723,0.105191244518,0.102499281722,0.099780370488,0.097035254716,0.094264682916,0.091469408076,0.088650187513,0.085807782735,0.082942959294,0.080056486637,0.077149137958,0.074221690041,0.071274923112,0.068309620674,0.065326569357,0.062326558748,0.059310381239,0.056278831856,0.053232708094,0.050172809754,0.047099938770,0.044014899044,0.040918496268,0.037811537759,0.034694832283,0.031569189876,0.028435421677,0.025294339743,0.022146756877,0.018993486451,0.015835342220,0.012673138151,0.009507688238,0.006339806323,0.003170305912
A_im,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_re,-0.000000000000,-0.000000000000,0.000000000000,-0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_im,-0.049731860040,-0.058821863107,-0.066664972713,-0.073655653724,-0.080013131456,-0.085873973406,-0.091329935123,-0.096446082502,-0.101270463065,-0.105839694587,-0.110182398129,-0.114321411862,-0.118275276318,-0.122059264165,-0.125686114330,-0.129166567965,-0.132509767906,-0.135723561823,-0.138814735980,-0.141789198057,-0.144652121970,-0.147408063899,-0.150061056224,-0.152614684288,-0.155072149673,-0.157436322767,-0.159709786760,-0.161894874711,-0.163993700964,-0.166008187948,-0.167940089137,-0.169791008844,-0.171562419347,-0.173255675785,-0.174872029153,-0.176412637703,-0.177878576963,-0.179270848584,-0.180590388175,-0.181838072261,-0.183014724480,-0.184121121119,-0.185157996076,-0.186126045308,-0.187025930836,-0.187858284362,-0.188623710527,-0.189322789871,-0.189956081512,-0.190524125581,-0.191027445444,-0.191466549717,-0.191841934119,-0.192154083148,-0.192403471635,-0.192590566153,-0.192715826313,-0.192779705961,-0.192782654266,-0.192725116731,-0.192607536116,-0.192430353292,-0.192194008029,-0.191898939714,-0.191545588024,-0.191134393537,-0.190665798302,-0.190140246356,-0.189558184212,-0.188920061299,-0.188226330368,-0.187477447871,-0.186673874305,-0.185816074526,-0.184904518040,-0.183939679270,-0.182922037797,-0.181852078578,-0.180730292151,-0.179557174809,-0.178333228773,-0.177058962327,-0.175734889957,-0.174361532462,-0.172939417058,-0.171469077464,-0.169951053975,-0.168385893531,-0.166774149764,-0.165116383042,-0.163413160497,-0.161665056049,-0.159872650415,-0.158036531114,-0.156157292462,-0.154235535554,-0.152271868250,-0.150266905140,-0.148221267512,-0.146135583307,-0.144010487075,-0.141846619913,-0.139644629412,-0.137405169585,-0.135128900796,-0.132816489686,-0.130468609085,-0.128085937934,-0.125669161182,-0.123218969700,-0.120736060176,-0.118221135010,-0.115674902207,-0.113098075266,-0.110491373060,-0.107855519723,-0.105191244518,-0.102499281722,-0.099780370488,-0.097035254716,-0.094264682916,-0.091469408076,-0.088650187513,-0.085807782735,-0.082942959294,-0.080056486637,-0.077149137958,-0.074221690041,-0.071274923112,-0.068309620674,-0.065326569357,-0.062326558748,-0.059310381239,-0.056278831856,-0.053232708094,-0.050172809754,-0.047099938770,-0.044014899044,-0.040918496268,-0.037811537759,-0.034694832283,-0.031569189876,-0.028435421677,-0.025294339743,-0.022146756877,-0.018993486451,-0.015835342220,-0.012673138151,-0.009507688238,-0.006339806323,-0.003170305912
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152
# constraint,power
# norm_sq,6.283185307180
# dEdt,0.500000000000
# lambda_max,0.499938630340
