A_re,0.050057931017,0.059207246423,0.067101307864,0.074137144683,0.080535399499,0.086433516751,0.091923836473,0.097071835227,0.101925860642,0.106522756569,0.110891318531,0.115054521994,0.119031017284,0.122836166082,0.126482780307,0.129981661568,0.133342003214,0.136571695450,0.139677560600,0.142665537121,0.145540825350,0.148308004285,0.150971126120,0.153533793504,0.155999223221,0.158370299096,0.160649616273,0.162839518513,0.164942129818,0.166959381393,0.168893034762,0.170744701678,0.172515861361,0.174207875490,0.175822001276,0.177359402937,0.178821161779,0.180208285099,0.181521714067,0.182762330726,0.183930964229,0.185028396413,0.186055366781,0.187012576985,0.187900694852,0.188720358022,0.189472177227,0.190156739265,0.190774609696,0.191326335294,0.191812446272,0.192233458319,0.192589874451,0.192882186708,0.193110877705,0.193276422052,0.193379287659,0.193419936930,0.193398827864,0.193316415065,0.193173150667,0.192969485196,0.192705868354,0.192382749743,0.192000579538,0.191559809096,0.191060891531,0.190504282229,0.189890439335,0.189219824190,0.188492901745,0.187710140926,0.186872014988,0.185979001819,0.185031584235,0.184030250241,0.182975493269,0.181867812397,0.180707712547,0.179495704660,0.178232305860,0.176918039593,0.175553435754,0.174139030802,0.172675367854,0.171162996768,0.169602474217,0.167994363746,0.166339235818,0.164637667854,0.162890244254,0.161097556417,0.159260202746,0.157378788646,0.155453926512,0.153486235712,0.151476342559,0.149424880277,0.147332488959,0.145199815519,0.143027513639,0.140816243705,0.138566672742,0.136279474341,0.133955328581,0.131594921944,0.129198947229,0.126768103455,0.124303095766,0.121804635326,0.119273439213,0.116710230309,0.114115737180,0.111490693962,0.108835840237,0.106151920903,0.103439686050,0.100699890820,0.097933295277,0.095140664263,0.092322767258,0.089480378233,0.086614275504,0.083725241579,0.080814063008,0.077881530224,0.074928437388,0.071955582228,0.068963765876,0.065953792705,0.062926470163,0.059882608605,0.056823021120,0.053748523367,0.050659933395,0.047558071471,0.044443759904,0.041317822870,0.038181086231,0.035034377355,0.031878524935,0.028714358811,0.025542709783,0.022364409427,0.019180289916,0.015991183826,0.012797923958,0.009601343147,0.006402274076,0.003201549089
A_im,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_re,-0.000000000000,-0.000000000000,0.000000000000,-0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_im,-0.050057931017,-0.059207246423,-0.067101307864,-0.074137144683,-0.080535399499,-0.086433516751,-0.091923836473,-0.097071835227,-0.101925860642,-0.106522756569,-0.110891318531,-0.115054521994,-0.119031017284,-0.122836166082,-0.126482780307,-0.129981661568,-0.133342003214,-0.136571695450,-0.139677560600,-0.142665537121,-0.145540825350,-0.148308004285,-0.150971126120,-0.153533793504,-0.155999223221,-0.158370299096,-0.160649616273,-0.162839518513,-0.164942129818,-0.166959381393,-0.168893034762,-0.170744701678,-0.172515861361,-0.174207875490,-0.175822001276,-0.177359402937,-0.178821161779,-0.180208285099,-0.181521714067,-0.182762330726,-0.183930964229,-0.185028396413,-0.186055366781,-0.187012576985,-0.187900694852,-0.188720358022,-0.189472177227,-0.190156739265,-0.190774609696,-0.191326335294,-0.191812446272,-0.192233458319,-0.192589874451,-0.192882186708,-0.193110877705,-0.193276422052,-0.193379287659,-0.193419936930,-0.193398827864,-0.193316415065,-0.193173150667,-0.192969485196,-0.192705868354,-0.192382749743,-0.192000579538,-0.191559809096,-0.191060891531,-0.190504282229,-0.189890439335,-0.189219824190,-0.188492901745,-0.187710140926,-0.186872014988,-0.185979001819,-0.185031584235,-0.184030250241,-0.182975493269,-0.181867812397,-0.180707712547,-0.179495704660,-0.178232305860,-0.176918039593,-0.175553435754,-0.174139030802,-0.172675367854,-0.171162996768,-0.169602474217,-0.167994363746,-0.166339235818,-0.164637667854,-0.162890244254,-0.161097556417,-0.159260202746,-0.157378788646,-0.155453926512,-0.153486235712,-0.151476342559,-0.149424880277,-0.147332488959,-0.145199815519,-0.143027513639,-0.140816243705,-0.138566672742,-0.136279474341,-0.133955328581,-0.131594921944,-0.129198947229,-0.126768103455,-0.124303095766,-0.121804635326,-0.119273439213,-0.116710230309,-0.114115737180,-0.111490693962,-0.108835840237,-0.106151920903,-0.103439686050,-0.100699890820,-0.097933295277,-0.095140664263,-0.092322767258,-0.089480378233,-0.086614275504,-0.083725241579,-0.080814063008,-0.077881530224,-0.074928437388,-0.071955582228,-0.068963765876,-0.065953792705,-0.062926470163,-0.059882608605,-0.056823021120,-0.053748523367,-0.050659933395,-0.047558071471,-0.044443759904,-0.041317822870,-0.038181086231,-0.035034377355,-0.031878524935,-0.028714358811,-0.025542709783,-0.022364409427,-0.019180289916,-0.015991183826,-0.012797923958,-0.009601343147,-0.006402274076,-0.003201549089
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151
# constraint,power
# norm_sq,6.283185307180
# dEdt,0.500000000000
# lambda_max,0.499937822733
