A_re,0.111415970719,0.131585257196,0.148835317247,0.164035321881,0.177663208136,0.190012960223,0.201279253209,0.211597935873,0.221067606734,0.229762064343,0.237737943910,0.245039634159,0.251702570630,0.257755515159,0.263222178004,0.268122399857,0.272473030992,0.276288596919,0.279581810319,0.282363970219,0.284645277029,0.286435083846,0.287742098799,0.288574549312,0.288940316395,0.288847045072,0.288302235645,0.287313319386,0.285887721494,0.284032913514,0.281756457000,0.279066039809,0.275969506183,0.272474881524,0.268590392634,0.264324484022,0.259685830814,0.254683348680,0.249326201145,0.243623804589,0.237585831190,0.231222210034,0.224543126585,0.217559020667,0.210280583118,0.202718751224,0.194884703052,0.186789850778,0.178445833102,0.169864506806,0.161057937562,0.152038390019,0.142818317245,0.133410349575,0.123827282917,0.114082066554,0.104187790495,0.094157672407,0.084005044175,0.073743338117,0.063386072903,0.052946839194,0.042439285044,0.031877101093,0.021274005589,0.010643729248
A_im,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_re,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_im,-0.111415970719,-0.131585257196,-0.148835317247,-0.164035321881,-0.177663208136,-0.190012960223,-0.201279253209,-0.211597935873,-0.221067606734,-0.229762064343,-0.237737943910,-0.245039634159,-0.251702570630,-0.257755515159,-0.263222178004,-0.268122399857,-0.272473030992,-0.276288596919,-0.279581810319,-0.282363970219,-0.284645277029,-0.286435083846,-0.287742098799,-0.288574549312,-0.288940316395,-0.288847045072,-0.288302235645,-0.287313319386,-0.285887721494,-0.284032913514,-0.281756457000,-0.279066039809,-0.275969506183,-0.272474881524,-0.268590392634,-0.264324484022,-0.259685830814,-0.254683348680,-0.249326201145,-0.243623804589,-0.237585831190,-0.231222210034,-0.224543126585,-0.217559020667,-0.210280583118,-0.202718751224,-0.194884703052,-0.186789850778,-0.178445833102,-0.169864506806,-0.161057937562,-0.152038390019,-0.142818317245,-0.133410349575,-0.123827282917,-0.114082066554,-0.104187790495,-0.094157672407,-0.084005044175,-0.073743338117,-0.063386072903,-0.052946839194,-0.042439285044,-0.031877101093,-0.021274005589,-0.010643729248
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
# constraint,power
# norm_sq,6.283185307180
# dEdt,0.500000000000
# lambda_max,0.499691649920
