A_re,0.101091417340,0.119430838382,0.135146716940,0.149030549259,0.161518558175,0.172879790810,0.183292945651,0.192883125911,0.201741433017,0.209936276019,0.217520310429,0.224534907131,0.231013146581,0.236981891956,0.242463264979,0.247475721788,0.252034853532,0.256153992934,0.259844681142,0.263117032130,0.265980020663,0.268441712409,0.270509449629,0.272190002351,0.273489692413,0.274414495938,0.274970128518,0.275162116392,0.274995856175,0.274476665182,0.273609823924,0.272400612072,0.270854338933,0.268976369254,0.266772145060,0.264247204080,0.261407195232,0.258257891550,0.254805200885,0.251055174645,0.247014014814,0.242688079437,0.238083886742,0.233208118050,0.228067619582,0.222669403286,0.217020646765,0.211128692401,0.205001045733,0.198645373159,0.192069499029,0.185281402155,0.178289211812,0.171101203246,0.163725792743,0.156171532288,0.148447103839,0.140561313253,0.132523083887,0.124341449896,0.116025549261,0.107584616550,0.099027975452,0.090365031095,0.081605262161,0.072758212828,0.063833484541,0.054840727641,0.045789632866,0.036689922725,0.027551342779,0.018383652831,0.009196618045
A_im,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_re,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_im,-0.101091417340,-0.119430838382,-0.135146716940,-0.149030549259,-0.161518558175,-0.172879790810,-0.183292945651,-0.192883125911,-0.201741433017,-0.209936276019,-0.217520310429,-0.224534907131,-0.231013146581,-0.236981891956,-0.242463264979,-0.247475721788,-0.252034853532,-0.256153992934,-0.259844681142,-0.263117032130,-0.265980020663,-0.268441712409,-0.270509449629,-0.272190002351,-0.273489692413,-0.274414495938,-0.274970128518,-0.275162116392,-0.274995856175,-0.274476665183,-0.273609823924,-0.272400612072,-0.270854338933,-0.268976369254,-0.266772145060,-0.264247204080,-0.261407195232,-0.258257891550,-0.254805200885,-0.251055174645,-0.247014014814,-0.242688079437,-0.238083886742,-0.233208118050,-0.228067619582,-0.222669403286,-0.217020646765,-0.211128692401,-0.205001045733,-0.198645373159,-0.192069499029,-0.185281402155,-0.178289211812,-0.171101203246,-0.163725792743,-0.156171532288,-0.148447103839,-0.140561313253,-0.132523083887,-0.124341449896,-0.116025549261,-0.107584616550,-0.099027975452,-0.090365031095,-0.081605262161,-0.072758212828,-0.063833484541,-0.054840727641,-0.045789632866,-0.036689922725,-0.027551342779,-0.018383652831,-0.009196618045
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
# constraint,power
# norm_sq,6.283185307180
# dEdt,0.500000000000
# lambda_max,0.499746209685
