A_re,0.338343553108,0.393426740166,0.435767054071,0.467658996750,0.490298051087,0.504408894526,0.510499778677,0.508982644248,0.500235702580,0.484638052363,0.462589303558,0.434520484480,0.400899515859,0.362233088354,0.319066034329,0.271978880432,0.221584038981,0.168520962430,0.113450504594,0.057048682378
A_im,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_re,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_im,-0.338343553108,-0.393426740166,-0.435767054071,-0.467658996750,-0.490298051087,-0.504408894526,-0.510499778677,-0.508982644248,-0.500235702580,-0.484638052363,-0.462589303558,-0.434520484480,-0.400899515859,-0.362233088354,-0.319066034329,-0.271978880432,-0.221584038981,-0.168520962430,-0.113450504594,-0.057048682378
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
# constraint,power
# norm_sq,6.283185307180
# dEdt,0.500000000000
# lambda_max,0.497124584524
