A_re,0.879183852512,0.909098872959,0.847103211536,0.707085776801,0.505640403893,0.262566718107
A_im,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_re,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_im,-0.879183852512,-0.909098872959,-0.847103211536,-0.707085776801,-0.505640403893,-0.262566718107
M,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7
# constraint,power
# norm_sq,6.283185307180
# dEdt,0.500000000000
# lambda_max,0.478985231256
