A_re,0.077494263739,0.091610438175,0.103752548331,0.114531618055,0.124285920319,0.133225207060,0.141489644865,0.149178023328,0.156362801334,0.163098796875,0.169428521925,0.175385620507,0.180997173746,0.186285296937,0.191268277269,0.195961403838,0.200377585798,0.204527821101,0.208421557668,0.212066975613,0.215471210623,0.218640532756,0.221580491054,0.224296031603,0.226791594730,0.229071195654,0.231138491879,0.232996839886,0.234649343091,0.236098892653,0.237348202366,0.238399838619,0.239256246253,0.239919770931,0.240392678580,0.240677172331,0.240775407317,0.240689503627,0.240421557686,0.239973652235,0.239347865131,0.238546277078,0.237570978450,0.236424075290,0.235107694592,0.233623988944,0.231975140601,0.230163365046,0.228190914089,0.226060078566,0.223773190654,0.221332625850,0.218740804651,0.216000193944,0.213113308153,0.210082710138,0.206911011891,0.203600875028,0.200155011100,0.196576181734,0.192867198621,0.189030923353,0.185070267126,0.180988190322,0.176787701966,0.172471859079,0.168043765919,0.163506573137,0.158863476830,0.154117717518,0.149272579038,0.144331387356,0.139297509319,0.134174351330,0.128965357967,0.123674010539,0.118303825585,0.112858353325,0.107341176054,0.101755906499,0.096106186124,0.090395683399,0.084628092024,0.078807129131,0.072936533431,0.067020063355,0.061061495142,0.055064620921,0.049033246752,0.042971190658,0.036882280623,0.030770352587,0.024639248410,0.018492813832,0.012334896415,0.006169343474
A_im,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_re,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_im,-0.077494263739,-0.091610438175,-0.103752548331,-0.114531618055,-0.124285920319,-0.133225207060,-0.141489644865,-0.149178023328,-0.156362801334,-0.163098796875,-0.169428521925,-0.175385620507,-0.180997173746,-0.186285296937,-0.191268277269,-0.195961403838,-0.200377585798,-0.204527821101,-0.208421557668,-0.212066975613,-0.215471210623,-0.218640532756,-0.221580491054,-0.224296031603,-0.226791594730,-0.229071195654,-0.231138491879,-0.232996839886,-0.234649343091,-0.236098892653,-0.237348202366,-0.238399838619,-0.239256246253,-0.239919770931,-0.240392678580,-0.240677172331,-0.240775407317,-0.240689503627,-0.240421557686,-0.239973652235,-0.239347865131,-0.238546277078,-0.237570978450,-0.236424075290,-0.235107694592,-0.233623988944,-0.231975140601,-0.230163365046,-0.228190914089,-0.226060078566,-0.223773190654,-0.221332625850,-0.218740804651,-0.216000193944,-0.213113308153,-0.210082710138,-0.206911011891,-0.203600875028,-0.200155011100,-0.196576181734,-0.192867198621,-0.189030923353,-0.185070267126,-0.180988190322,-0.176787701966,-0.172471859079,-0.168043765919,-0.163506573137,-0.158863476830,-0.154117717518,-0.149272579038,-0.144331387356,-0.139297509319,-0.134174351330,-0.128965357967,-0.123674010539,-0.118303825585,-0.112858353325,-0.107341176054,-0.101755906499,-0.096106186124,-0.090395683399,-0.084628092024,-0.078807129131,-0.072936533431,-0.067020063355,-0.061061495142,-0.055064620921,-0.049033246752,-0.042971190658,-0.036882280623,-0.030770352587,-0.024639248410,-0.018492813832,-0.012334896415,-0.006169343474
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97
# constraint,power
# norm_sq,6.283185307180
# dEdt,0.500000000000
# lambda_max,0.499850930607
