A_re,0.277087671077,0.324076639829,0.361795092987,0.392207337006,0.416342730825,0.434810235063,0.448007485590,0.456220192547,0.459674681879,0.458567825459,0.453085009106,0.443411289832,0.429738429649,0.412269296571,0.391220503486,0.366823816892,0.339326674127,0.308992033144,0.276097708819,0.240935305781,0.203808829446,0.165033038394,0.124931588829,0.083835013437,0.042078571122
A_im,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_re,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_im,-0.277087671077,-0.324076639829,-0.361795092987,-0.392207337006,-0.416342730825,-0.434810235063,-0.448007485590,-0.456220192547,-0.459674681879,-0.458567825459,-0.453085009106,-0.443411289832,-0.429738429649,-0.412269296571,-0.391220503486,-0.366823816892,-0.339326674127,-0.308992033144,-0.276097708819,-0.240935305781,-0.203808829446,-0.165033038394,-0.124931588829,-0.083835013437,-0.042078571122
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
# constraint,power
# norm_sq,6.283185307180
# dEdt,0.500000000000
# lambda_max,0.498079476642
