A_re,0.046126311942,0.054560100912,0.061839208105,0.068329713958,0.074235146615,0.079682353622,0.084756606211,0.089518409580,0.094012474457,0.098272901685,0.102326367264,0.106194176390,0.109893641611,0.113439038422,0.116842286560,0.120113447446,0.123261094962,0.126292596861,0.129214331779,0.132031858983,0.134750052840,0.137373210569,0.139905139474,0.142349228255,0.144708505774,0.146985689903,0.149183228392,0.151303333316,0.153348010274,0.155319083291,0.157218216168,0.159046930877,0.160806623492,0.162498578032,0.164123978559,0.165683919774,0.167179416344,0.168611411136,0.169980782507,0.171288350785,0.172534884039,0.173721103241,0.174847686885,0.175915275138,0.176924473576,0.177875856558,0.178769970273,0.179607335501,0.180388450124,0.181113791401,0.181783818050,0.182398972145,0.182959680844,0.183466357976,0.183919405500,0.184319214831,0.184666168074,0.184960639144,0.185202994813,0.185393595659,0.185532796955,0.185620949485,0.185658400296,0.185645493395,0.185582570397,0.185469971122,0.185308034145,0.185097097315,0.184837498227,0.184529574664,0.184173665003,0.183770108600,0.183319246135,0.182821419944,0.182276974316,0.181686255774,0.181049613337,0.180367398752,0.179639966726,0.178867675119,0.178050885141,0.177189961520,0.176285272662,0.175337190799,0.174346092122,0.173312356901,0.172236369595,0.171118518954,0.169959198111,0.168758804656,0.167517740714,0.166236413006,0.164915232905,0.163554616482,0.162154984546,0.160716762683,0.159240381275,0.157726275525,0.156174885472,0.154586655997,0.152962036831,0.151301482546,0.149605452556,0.147874411099,0.146108827226,0.144309174776,0.142475932353,0.140609583296,0.138710615649,0.136779522120,0.134816800044,0.132822951338,0.130798482453,0.128743904327,0.126659732327,0.124546486196,0.122404689992,0.120234872027,0.118037564802,0.115813304938,0.113562633109,0.111286093968,0.108984236072,0.106657611807,0.104306777307,0.101932292376,0.099534720399,0.097114628265,0.094672586275,0.092209168051,0.089724950454,0.087220513483,0.084696440187,0.082153316568,0.079591731482,0.077012276546,0.074415546031,0.071802136769,0.069172648045,0.066527681497,0.063867841007,0.061193732601,0.058505964337,0.055805146201,0.053091889995,0.050366809228,0.047630519006,0.044883635920,0.042126777935,0.039360564271,0.036585615298,0.033802552412,0.031011997929,0.028214574959,0.025410907299,0.022601619309,0.019787335799,0.016968681907,0.014146282984,0.011320764474,0.008492751794,0.005662870215,0.002831744744
A_im,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_re,-0.000000000000,-0.000000000000,0.000000000000,-0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_im,-0.046126311942,-0.054560100912,-0.061839208105,-0.068329713958,-0.074235146615,-0.079682353622,-0.084756606211,-0.089518409580,-0.094012474457,-0.098272901685,-0.102326367264,-0.106194176390,-0.109893641611,-0.113439038422,-0.116842286560,-0.120113447446,-0.123261094962,-0.126292596861,-0.129214331779,-0.132031858983,-0.134750052840,-0.137373210569,-0.139905139474,-0.142349228255,-0.144708505774,-0.146985689903,-0.149183228392,-0.151303333316,-0.153348010274,-0.155319083291,-0.157218216168,-0.159046930877,-0.160806623492,-0.162498578032,-0.164123978559,-0.165683919774,-0.167179416344,-0.168611411136,-0.169980782507,-0.171288350785,-0.172534884039,-0.173721103241,-0.174847686885,-0.175915275138,-0.176924473576,-0.177875856558,-0.178769970273,-0.179607335501,-0.180388450124,-0.181113791401,-0.181783818050,-0.182398972145,-0.182959680844,-0.183466357976,-0.183919405500,-0.184319214831,-0.184666168074,-0.184960639144,-0.185202994813,-0.185393595659,-0.185532796955,-0.185620949485,-0.185658400296,-0.185645493395,-0.185582570397,-0.185469971122,-0.185308034145,-0.185097097315,-0.184837498227,-0.184529574664,-0.184173665003,-0.183770108600,-0.183319246135,-0.182821419944,-0.182276974316,-0.181686255774,-0.181049613337,-0.180367398752,-0.179639966726,-0.178867675119,-0.178050885141,-0.177189961520,-0.176285272662,-0.175337190799,-0.174346092122,-0.173312356901,-0.172236369595,-0.171118518954,-0.169959198111,-0.168758804656,-0.167517740714,-0.166236413006,-0.164915232905,-0.163554616482,-0.162154984546,-0.160716762683,-0.159240381275,-0.157726275525,-0.156174885472,-0.154586655997,-0.152962036831,-0.151301482546,-0.149605452556,-0.147874411099,-0.146108827226,-0.144309174776,-0.142475932353,-0.140609583296,-0.138710615649,-0.136779522120,-0.134816800044,-0.132822951338,-0.130798482453,-0.128743904327,-0.126659732327,-0.124546486196,-0.122404689992,-0.120234872027,-0.118037564802,-0.115813304938,-0.113562633109,-0.111286093968,-0.108984236072,-0.106657611807,-0.104306777307,-0.101932292376,-0.099534720399,-0.097114628265,-0.094672586275,-0.092209168051,-0.089724950454,-0.087220513483,-0.084696440187,-0.082153316568,-0.079591731482,-0.077012276546,-0.074415546031,-0.071802136769,-0.069172648045,-0.066527681497,-0.063867841007,-0.061193732601,-0.058505964337,-0.055805146201,-0.053091889995,-0.050366809228,-0.047630519006,-0.044883635920,-0.042126777935,-0.039360564271,-0.036585615298,-0.033802552412,-0.031011997929,-0.028214574959,-0.025410907299,-0.022601619309,-0.019787335799,-0.016968681907,-0.014146282984,-0.011320764474,-0.008492751794,-0.005662870215,-0.002831744744
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164
# constraint,power
# norm_sq,6.283185307180
# dEdt,0.500000000000
# lambda_max,0.499947208302
