A_re,0.132713497190,0.156616294646,0.176963601230,0.194781951256,0.210632836278,0.224859537673,0.237687870891,0.249274342565,0.259731801896,0.269144233689,0.277575826276,0.285076805987,0.291687342201,0.297440247919,0.302362899516,0.306478633734,0.309807784857,0.312368468111,0.314177180196,0.315249265472,0.315599281733,0.315241289702,0.314189083751,0.312456376709,0.310056948338,0.307004764721,0.303314074105,0.298999483472,0.294076019164,0.288559174218,0.282464944484,0.275809855224,0.268610979543,0.260885949779,0.252652962749,0.243930779643,0.234738721173,0.225096658541,0.215025000680,0.204544678157,0.193677124088,0.182444252375,0.170868433509,0.158972468201,0.146779559031,0.134313280335,0.121597546476,0.108656578690,0.095514870646,0.082197152856,0.068728356086,0.055133573875,0.041438024301,0.027667011093,0.013845884211
A_im,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_re,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_im,-0.132713497190,-0.156616294646,-0.176963601230,-0.194781951256,-0.210632836278,-0.224859537673,-0.237687870891,-0.249274342565,-0.259731801896,-0.269144233689,-0.277575826276,-0.285076805987,-0.291687342201,-0.297440247919,-0.302362899516,-0.306478633734,-0.309807784857,-0.312368468111,-0.314177180196,-0.315249265472,-0.315599281733,-0.315241289702,-0.314189083751,-0.312456376709,-0.310056948338,-0.307004764721,-0.303314074105,-0.298999483472,-0.294076019164,-0.288559174218,-0.282464944484,-0.275809855224,-0.268610979543,-0.260885949779,-0.252652962749,-0.243930779643,-0.234738721173,-0.225096658541,-0.215025000680,-0.204544678157,-0.193677124088,-0.182444252375,-0.170868433509,-0.158972468201,-0.146779559031,-0.134313280335,-0.121597546476,-0.108656578690,-0.095514870646,-0.082197152856,-0.068728356086,-0.055133573875,-0.041438024301,-0.027667011093,-0.013845884211
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
# constraint,power
# norm_sq,6.283185307180
# dEdt,0.500000000000
# lambda_max,0.499562253254
