A_re,0.282726210929,0.334304757134,0.378731357390,0.418241097160,0.454073453056,0.486998549017,0.517532233551,0.546039042142,0.572787129118,0.597980000456,0.621776000181,0.644300871772,0.665656182273,0.685925160692,0.705176858375,0.723469185094,0.740851170856,0.757364681591,0.773045741508,0.787925566826,0.802031384203,0.815387086152,0.828013761352,0.839930127802,0.851152889657,0.861697033503,0.871576076145,0.880802273218,0.889386795893,0.897339881419,0.904670962041,0.911388775948,0.917501463186,0.923016648920,0.927941515994,0.932282868407,0.936047187007,0.939240678523,0.941869318849,0.943938891352,0.945455020860,0.946423203874,0.946848835487,0.946737233394,0.946093659345,0.944923338345,0.943231475833,0.941023273089,0.938303941033,0.935078712602,0.931352853846,0.927131673865,0.922420533709,0.917224854325,0.911550123662,0.905401902979,0.898785832462,0.891707636175,0.884173126422,0.876188207569,0.867758879352,0.858891239724,0.849591487280,0.839865923279,0.829720953292,0.819163088523,0.808198946794,0.796835253242,0.785078840737,0.772936650034,0.760415729690,0.747523235739,0.734266431165,0.720652685162,0.706689472208,0.692384370955,0.677745062950,0.662779331196,0.647495058559,0.631900226030,0.616002910849,0.599811284504,0.583333610600,0.566578242614,0.549553621542,0.532268273434,0.514730806837,0.496949910131,0.478934348787,0.460692962532,0.442234662434,0.423568427911,0.404703303662,0.385648396539,0.366412872340,0.347005952550,0.327436911020,0.307715070590,0.287849799661,0.267850508717,0.247726646806,0.227487697970,0.207143177645,0.186702629016,0.166175619342,0.145571736252,0.124900584005,0.104171779731,0.083394949648,0.062579725254,0.041735739505,0.020872622974
A_im,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_re,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_im,-0.282726210929,-0.334304757134,-0.378731357390,-0.418241097160,-0.454073453057,-0.486998549017,-0.517532233551,-0.546039042142,-0.572787129118,-0.597980000456,-0.621776000181,-0.644300871772,-0.665656182273,-0.685925160692,-0.705176858375,-0.723469185094,-0.740851170856,-0.757364681591,-0.773045741508,-0.787925566826,-0.802031384203,-0.815387086152,-0.828013761352,-0.839930127802,-0.851152889657,-0.861697033503,-0.871576076145,-0.880802273218,-0.889386795893,-0.897339881419,-0.904670962041,-0.911388775948,-0.917501463186,-0.923016648920,-0.927941515994,-0.932282868407,-0.936047187007,-0.939240678523,-0.941869318849,-0.943938891352,-0.945455020860,-0.946423203874,-0.946848835487,-0.946737233394,-0.946093659345,-0.944923338345,-0.943231475833,-0.941023273089,-0.938303941033,-0.935078712602,-0.931352853846,-0.927131673865,-0.922420533709,-0.917224854325,-0.911550123662,-0.905401902979,-0.898785832462,-0.891707636175,-0.884173126422,-0.876188207569,-0.867758879352,-0.858891239724,-0.849591487280,-0.839865923279,-0.829720953292,-0.819163088523,-0.808198946794,-0.796835253242,-0.785078840737,-0.772936650034,-0.760415729690,-0.747523235739,-0.734266431165,-0.720652685162,-0.706689472208,-0.692384370955,-0.677745062950,-0.662779331196,-0.647495058559,-0.631900226030,-0.616002910849,-0.599811284504,-0.583333610600,-0.566578242614,-0.549553621542,-0.532268273434,-0.514730806837,-0.496949910131,-0.478934348787,-0.460692962532,-0.442234662434,-0.423568427911,-0.404703303662,-0.385648396539,-0.366412872340,-0.347005952550,-0.327436911020,-0.307715070590,-0.287849799661,-0.267850508717,-0.247726646806,-0.227487697970,-0.207143177645,-0.186702629016,-0.166175619342,-0.145571736252,-0.124900584005,-0.104171779731,-0.083394949648,-0.062579725254,-0.041735739505,-0.020872622974
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113
# constraint,norm
# norm_sq,113.000000000000
# dEdt,5.320860523486
# lambda_max,5.319686648466
