A_re,0.045101254083,0.053351898995,0.060476283347,0.066832679099,0.072620391802,0.077963727213,0.082946318904,0.087627567794,0.092051416568,0.096251420794,0.100253864570,0.104079770037,0.107746245805,0.111267422061,0.114655117344,0.117919325440,0.121068578369,0.124110221909,0.127050628105,0.129895361526,0.132649310982,0.135316795092,0.137901647767,0.140407288091,0.142836777934,0.145192869834,0.147478047078,0.149694557481,0.151844442028,0.153929559309,0.155951606466,0.157912137254,0.159812577670,0.161654239554,0.163438332467,0.165165974102,0.166838199448,0.168455968880,0.170020175330,0.171531650658,0.172991171333,0.174399463506,0.175757207563,0.177065042211,0.178323568165,0.179533351465,0.180694926492,0.181808798689,0.182875447040,0.183895326327,0.184868869186,0.185796487982,0.186678576532,0.187515511679,0.188307654738,0.189055352822,0.189758940070,0.190418738774,0.191035060417,0.191608206635,0.192138470109,0.192626135390,0.193071479656,0.193474773430,0.193836281231,0.194156262191,0.194434970623,0.194672656552,0.194869566208,0.195025942490,0.195142025394,0.195218052415,0.195254258926,0.195250878525,0.195208143365,0.195126284461,0.195005531977,0.194846115497,0.194648264277,0.194412207476,0.194138174386,0.193826394631,0.193477098366,0.193090516458,0.192666880654,0.192206423744,0.191709379707,0.191175983853,0.190606472953,0.190001085360,0.189360061125,0.188683642104,0.187972072052,0.187225596725,0.186444463956,0.185628923741,0.184779228313,0.183895632208,0.182978392330,0.182027768010,0.181044021060,0.180027415818,0.178978219199,0.177896700733,0.176783132602,0.175637789670,0.174460949520,0.173252892474,0.172013901617,0.170744262818,0.169444264747,0.168114198888,0.166754359548,0.165365043870,0.163946551836,0.162499186269,0.161023252838,0.159519060054,0.157986919265,0.156427144657,0.154840053238,0.153225964833,0.151585202074,0.149918090384,0.148224957962,0.146506135766,0.144761957499,0.142992759582,0.141198881137,0.139380663965,0.137538452518,0.135672593874,0.133783437712,0.131871336280,0.129936644371,0.127979719283,0.126000920797,0.124000611135,0.121979154931,0.119936919193,0.117874273268,0.115791588800,0.113689239699,0.111567602094,0.109427054298,0.107267976762,0.105090752036,0.102895764725,0.100683401444,0.098454050774,0.096208103218,0.093945951151,0.091667988778,0.089374612080,0.087066218773,0.084743208253,0.082405981548,0.080054941270,0.077690491560,0.075313038041,0.072922987762,0.070520749148,0.068106731947,0.065681347175,0.063245007062,0.060798124997,0.058341115478,0.055874394048,0.053398377248,0.050913482553,0.048420128321,0.045918733734,0.043409718742,0.040893504001,0.038370510822,0.035841161107,0.033305877293,0.030765082293,0.028219199437,0.025668652412,0.023113865203,0.020555262033,0.017993267306,0.015428305541,0.012860801317,0.010291179209,0.007719863732,0.005147279276,0.002573850045
A_im,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_re,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_im,-0.045101254083,-0.053351898995,-0.060476283347,-0.066832679099,-0.072620391802,-0.077963727213,-0.082946318904,-0.087627567794,-0.092051416568,-0.096251420794,-0.100253864570,-0.104079770037,-0.107746245805,-0.111267422061,-0.114655117344,-0.117919325440,-0.121068578369,-0.124110221909,-0.127050628105,-0.129895361526,-0.132649310982,-0.135316795092,-0.137901647767,-0.140407288091,-0.142836777934,-0.145192869834,-0.147478047078,-0.149694557481,-0.151844442028,-0.153929559309,-0.155951606466,-0.157912137254,-0.159812577670,-0.161654239554,-0.163438332467,-0.165165974102,-0.166838199448,-0.168455968880,-0.170020175330,-0.171531650658,-0.172991171333,-0.174399463506,-0.175757207563,-0.177065042211,-0.178323568165,-0.179533351465,-0.180694926492,-0.181808798689,-0.182875447040,-0.183895326327,-0.184868869186,-0.185796487982,-0.186678576532,-0.187515511679,-0.188307654738,-0.189055352822,-0.189758940070,-0.190418738774,-0.191035060417,-0.191608206635,-0.192138470109,-0.192626135390,-0.193071479656,-0.193474773430,-0.193836281231,-0.194156262191,-0.194434970623,-0.194672656552,-0.194869566208,-0.195025942490,-0.195142025394,-0.195218052415,-0.195254258926,-0.195250878525,-0.195208143365,-0.195126284461,-0.195005531977,-0.194846115497,-0.194648264277,-0.194412207476,-0.194138174386,-0.193826394631,-0.193477098366,-0.193090516458,-0.192666880654,-0.192206423744,-0.191709379707,-0.191175983853,-0.190606472953,-0.190001085360,-0.189360061125,-0.188683642104,-0.187972072052,-0.187225596725,-0.186444463956,-0.185628923741,-0.184779228313,-0.183895632208,-0.182978392330,-0.182027768010,-0.181044021060,-0.180027415818,-0.178978219199,-0.177896700733,-0.176783132602,-0.175637789670,-0.174460949520,-0.173252892474,-0.172013901617,-0.170744262818,-0.169444264747,-0.168114198888,-0.166754359548,-0.165365043870,-0.163946551836,-0.162499186269,-0.161023252838,-0.159519060054,-0.157986919265,-0.156427144657,-0.154840053238,-0.153225964833,-0.151585202074,-0.149918090384,-0.148224957962,-0.146506135766,-0.144761957499,-0.142992759582,-0.141198881137,-0.139380663965,-0.137538452518,-0.135672593874,-0.133783437712,-0.131871336280,-0.129936644371,-0.127979719283,-0.126000920797,-0.124000611135,-0.121979154931,-0.119936919193,-0.117874273268,-0.115791588800,-0.113689239699,-0.111567602094,-0.109427054298,-0.107267976762,-0.105090752036,-0.102895764725,-0.100683401444,-0.098454050774,-0.096208103218,-0.093945951151,-0.091667988778,-0.089374612080,-0.087066218773,-0.084743208253,-0.082405981548,-0.080054941270,-0.077690491560,-0.075313038041,-0.072922987762,-0.070520749148,-0.068106731947,-0.065681347175,-0.063245007062,-0.060798124997,-0.058341115478,-0.055874394048,-0.053398377248,-0.050913482553,-0.048420128321,-0.045918733734,-0.043409718742,-0.040893504001,-0.038370510822,-0.035841161107,-0.033305877293,-0.030765082293,-0.028219199437,-0.025668652412,-0.023113865203,-0.020555262033,-0.017993267306,-0.015428305541,-0.012860801317,-0.010291179209,-0.007719863732,-0.005147279276,-0.002573850045
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190
# constraint,power
# norm_sq,8.042477193190
# dEdt,1.000000000000
# lambda_max,0.999921142994
