A_re,0.213080171800,0.250783676183,0.282348086303,0.309375597986,0.332728211405,0.352923732905,0.370297159051,0.385077697191,0.397429721077,0.407476344271,0.415313836056,0.421020867376,0.424664670878,0.426305272107,0.425998466994,0.423797956347,0.419756896306,0.413929033096,0.406369534595,0.397135595679,0.386286871235,0.373885775278,0.359997674143,0.344690994481,0.328037261653,0.310111080502,0.290990067837,0.270754744045,0.249488389806,0.227276872853,0.204208448899,0.180373540240,0.155864495116,0.130775330495,0.105201460736,0.079239414304,0.052986540584,0.026540708685
A_im,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_re,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_im,-0.213080171800,-0.250783676183,-0.282348086303,-0.309375597986,-0.332728211405,-0.352923732905,-0.370297159051,-0.385077697191,-0.397429721077,-0.407476344271,-0.415313836056,-0.421020867376,-0.424664670878,-0.426305272107,-0.425998466994,-0.423797956347,-0.419756896306,-0.413929033096,-0.406369534595,-0.397135595679,-0.386286871235,-0.373885775278,-0.359997674143,-0.344690994481,-0.328037261653,-0.310111080502,-0.290990067837,-0.270754744045,-0.249488389806,-0.227276872853,-0.204208448899,-0.180373540240,-0.155864495116,-0.130775330495,-0.105201460736,-0.079239414304,-0.052986540584,-0.026540708685
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
# constraint,power
# norm_sq,8.042477193190
# dEdt,1.000000000000
# lambda_max,0.998233402247
