A_re,0.193955823211,0.228484555749,0.257558486106,0.282649870641,0.304555031971,0.323754900165,0.340562016245,0.355190725481,0.367794523675,0.378487567854,0.387357843071,0.394475618974,0.399899096057,0.403678296914,0.405857818525,0.406478820504,0.405580485755,0.403201107292,0.399378903957,0.394152635289,0.387562064657,0.379648305643,0.370454077045,0.360023885190,0.348404147574,0.335643268451,0.321791674596,0.306901817620,0.291028147965,0.274227064642,0.256556844065,0.238077550749,0.218850932204,0.198940300004,0.178410398765,0.157327264539,0.135758073978,0.113770985488,0.091434973492,0.068819656829,0.045995122259,0.023031743977
A_im,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_re,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_im,-0.193955823211,-0.228484555749,-0.257558486106,-0.282649870641,-0.304555031971,-0.323754900165,-0.340562016245,-0.355190725481,-0.367794523675,-0.378487567854,-0.387357843071,-0.394475618974,-0.399899096057,-0.403678296914,-0.405857818525,-0.406478820504,-0.405580485755,-0.403201107292,-0.399378903957,-0.394152635289,-0.387562064657,-0.379648305643,-0.370454077045,-0.360023885190,-0.348404147574,-0.335643268451,-0.321791674596,-0.306901817620,-0.291028147965,-0.274227064642,-0.256556844065,-0.238077550749,-0.218850932204,-0.198940300004,-0.178410398765,-0.157327264539,-0.135758073978,-0.113770985488,-0.091434973492,-0.068819656829,-0.045995122259,-0.023031743977
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
# constraint,power
# norm_sq,8.042477193190
# dEdt,1.000000000000
# lambda_max,0.998537246324
