A_re,0.382792033237,0.445111545394,0.493014142322,0.529095756616,0.554708922762,0.570673519696,0.577564568475,0.575848126806,0.565952091978,0.548305365196,0.523360053521,0.491603809825,0.453566025982,0.409819957033,0.360982010432,0.307708977109,0.250693722506,0.190659704491,0.128354593804,0.064543216267
A_im,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_re,-0.000000000000,0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_im,-0.382792033237,-0.445111545394,-0.493014142322,-0.529095756616,-0.554708922762,-0.570673519696,-0.577564568475,-0.575848126806,-0.565952091978,-0.548305365196,-0.523360053521,-0.491603809825,-0.453566025982,-0.409819957033,-0.360982010432,-0.307708977109,-0.250693722506,-0.190659704491,-0.128354593804,-0.064543216267
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
# constraint,power
# norm_sq,8.042477193190
# dEdt,1.000000000000
# lambda_max,0.994249169049
