A_re,0.066180119157,0.078265478173,0.088684413258,0.097961013109,0.106386238503,0.114141116219,0.121347093261,0.128090145739,0.134433643189,0.140425781172,0.146104146267,0.151498659322,0.156633549686,0.161528723746,0.166200740339,0.170663522720,0.174928889086,0.179006955087,0.182906444136,0.186634930046,0.190199029174,0.193604554340,0.196856639392,0.199959840985,0.202918222446,0.205735423434,0.208414718218,0.210959064765,0.213371146332,0.215653406925,0.217808081682,0.219837223039,0.221742723366,0.223526334640,0.225189685609,0.226734296822,0.228161593840,0.229472918891,0.230669541170,0.231752665987,0.232723442898,0.233582972963,0.234332315228,0.234972492537,0.235504496750,0.235929293433,0.236247826089,0.236461019972,0.236569785536,0.236575021553,0.236477617946,0.236278458342,0.235978422409,0.235578387957,0.235079232864,0.234481836817,0.233787082893,0.232995858999,0.232109059181,0.231127584808,0.230052345643,0.228884260826,0.227624259743,0.226273282829,0.224832282277,0.223302222683,0.221684081617,0.219978850134,0.218187533226,0.216311150217,0.214350735115,0.212307336901,0.210182019794,0.207975863453,0.205689963160,0.203325429949,0.200883390713,0.198364988272,0.195771381411,0.193103744893,0.190363269437,0.187551161680,0.184668644104,0.181716954949,0.178697348097,0.175611092940,0.172459474223,0.169243791872,0.165965360805,0.162625510717,0.159225585864,0.155766944814,0.152250960194,0.148679018423,0.145052519422,0.141372876325,0.137641515163,0.133859874544,0.130029405325,0.126151570263,0.122227843663,0.118259711015,0.114248668622,0.110196223211,0.106103891551,0.101973200047,0.097805684334,0.093602888865,0.089366366485,0.085097678007,0.080798391773,0.076470083212,0.072114334399,0.067732733594,0.063326874793,0.058898357257,0.054448785051,0.049979766571,0.045492914065,0.040989843160,0.036472172374,0.031941522632,0.027399516779,0.022847779086,0.018287934757,0.013721609434,0.009150428696,0.004576017565
A_im,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_re,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_im,-0.066180119157,-0.078265478173,-0.088684413258,-0.097961013109,-0.106386238503,-0.114141116219,-0.121347093261,-0.128090145739,-0.134433643189,-0.140425781172,-0.146104146267,-0.151498659322,-0.156633549686,-0.161528723746,-0.166200740339,-0.170663522720,-0.174928889086,-0.179006955087,-0.182906444136,-0.186634930046,-0.190199029174,-0.193604554340,-0.196856639392,-0.199959840985,-0.202918222446,-0.205735423434,-0.208414718218,-0.210959064765,-0.213371146332,-0.215653406925,-0.217808081682,-0.219837223039,-0.221742723366,-0.223526334640,-0.225189685609,-0.226734296822,-0.228161593840,-0.229472918891,-0.230669541170,-0.231752665987,-0.232723442898,-0.233582972963,-0.234332315228,-0.234972492537,-0.235504496750,-0.235929293433,-0.236247826089,-0.236461019972,-0.236569785536,-0.236575021553,-0.236477617946,-0.236278458342,-0.235978422409,-0.235578387957,-0.235079232864,-0.234481836817,-0.233787082893,-0.232995858999,-0.232109059181,-0.231127584808,-0.230052345643,-0.228884260826,-0.227624259743,-0.226273282829,-0.224832282277,-0.223302222683,-0.221684081617,-0.219978850134,-0.218187533226,-0.216311150217,-0.214350735115,-0.212307336901,-0.210182019794,-0.207975863453,-0.205689963160,-0.203325429949,-0.200883390713,-0.198364988272,-0.195771381411,-0.193103744893,-0.190363269437,-0.187551161680,-0.184668644104,-0.181716954949,-0.178697348097,-0.175611092940,-0.172459474223,-0.169243791872,-0.165965360805,-0.162625510717,-0.159225585864,-0.155766944814,-0.152250960194,-0.148679018423,-0.145052519422,-0.141372876325,-0.137641515163,-0.133859874544,-0.130029405325,-0.126151570263,-0.122227843663,-0.118259711015,-0.114248668622,-0.110196223211,-0.106103891551,-0.101973200047,-0.097805684334,-0.093602888865,-0.089366366485,-0.085097678007,-0.080798391773,-0.076470083212,-0.072114334399,-0.067732733594,-0.063326874793,-0.058898357257,-0.054448785051,-0.049979766571,-0.045492914065,-0.040989843160,-0.036472172374,-0.031941522632,-0.027399516779,-0.022847779086,-0.018287934757,-0.013721609434,-0.009150428696,-0.004576017565
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129
# constraint,power
# norm_sq,8.042477193190
# dEdt,1.000000000000
# lambda_max,0.999830174172
