A_re,0.072270855533,0.085460071242,0.096824086763,0.106934588287,0.116108732856,0.124543674033,0.132371543820,0.139685774987,0.146555145122,0.153031890008,0.159156686158,0.164961862901,0.170473556652,0.175713204061,0.180698606088,0.185444704585,0.189964160872,0.194267794655,0.198364922339,0.202263621525,0.205970940436,0.209493065642,0.212835457791,0.216002962470,0.218999901560,0.221830149083,0.224497194650,0.227004196889,0.229354028705,0.231549315847,0.233592469947,0.235485716959,0.237231121755,0.238830609482,0.240285984183,0.241598945101,0.242771100986,0.243803982707,0.244699054387,0.245457723277,0.246081348522,0.246571248962,0.246928710096,0.247154990307,0.247251326430,0.247218938751,0.247059035492,0.246772816842,0.246361478582,0.245826215355,0.245168223600,0.244388704205,0.243488864889,0.242469922346,0.241333104181,0.240079650642,0.238710816176,0.237227870822,0.235632101458,0.233924812907,0.232107328920,0.230180993042,0.228147169376,0.226007243241,0.223762621742,0.221414734262,0.218965032864,0.216414992627,0.213766111911,0.211019912562,0.208177940049,0.205241763553,0.202212976003,0.199093194055,0.195884058032,0.192587231818,0.189204402710,0.185737281229,0.182187600899,0.178557117987,0.174847611210,0.171060881413,0.167198751213,0.163263064621,0.159255686628,0.155178502777,0.151033418697,0.146822359628,0.142547269913,0.138210112472,0.133812868260,0.129357535703,0.124846130112,0.120280683088,0.115663241903,0.110995868869,0.106280640697,0.101519647828,0.096714993765,0.091868794389,0.086983177254,0.082060280884,0.077102254048,0.072111255035,0.067089450909,0.062039016766,0.056962134973,0.051860994406,0.046737789679,0.041594720364,0.036433990207,0.031257806341,0.026068378489,0.020867918164,0.015658637866,0.010442750279,0.005222467453
A_im,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_re,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_im,-0.072270855533,-0.085460071242,-0.096824086763,-0.106934588287,-0.116108732856,-0.124543674033,-0.132371543820,-0.139685774987,-0.146555145122,-0.153031890007,-0.159156686158,-0.164961862901,-0.170473556652,-0.175713204061,-0.180698606088,-0.185444704585,-0.189964160872,-0.194267794655,-0.198364922339,-0.202263621525,-0.205970940436,-0.209493065642,-0.212835457791,-0.216002962470,-0.218999901560,-0.221830149083,-0.224497194650,-0.227004196889,-0.229354028705,-0.231549315847,-0.233592469947,-0.235485716959,-0.237231121755,-0.238830609482,-0.240285984183,-0.241598945101,-0.242771100986,-0.243803982707,-0.244699054387,-0.245457723277,-0.246081348522,-0.246571248962,-0.246928710096,-0.247154990307,-0.247251326430,-0.247218938751,-0.247059035492,-0.246772816842,-0.246361478582,-0.245826215355,-0.245168223600,-0.244388704205,-0.243488864889,-0.242469922346,-0.241333104181,-0.240079650642,-0.238710816176,-0.237227870822,-0.235632101458,-0.233924812907,-0.232107328920,-0.230180993042,-0.228147169376,-0.226007243241,-0.223762621742,-0.221414734262,-0.218965032864,-0.216414992627,-0.213766111911,-0.211019912562,-0.208177940049,-0.205241763553,-0.202212976003,-0.199093194055,-0.195884058032,-0.192587231818,-0.189204402710,-0.185737281229,-0.182187600899,-0.178557117987,-0.174847611210,-0.171060881413,-0.167198751213,-0.163263064621,-0.159255686628,-0.155178502776,-0.151033418697,-0.146822359628,-0.142547269913,-0.138210112472,-0.133812868260,-0.129357535703,-0.124846130112,-0.120280683088,-0.115663241903,-0.110995868869,-0.106280640697,-0.101519647828,-0.096714993765,-0.091868794389,-0.086983177254,-0.082060280884,-0.077102254048,-0.072111255035,-0.067089450909,-0.062039016766,-0.056962134973,-0.051860994406,-0.046737789679,-0.041594720364,-0.036433990207,-0.031257806341,-0.026068378489,-0.020867918164,-0.015658637866,-0.010442750279,-0.005222467453
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118
# constraint,power
# norm_sq,8.042477193190
# dEdt,1.000000000000
# lambda_max,0.999797462323
