A_re,0.119102009060,0.140690669170,0.159176710555,0.175491310794,0.190147212474,0.203460321078,0.215640207028,0.226833396803,0.237146449335,0.246659274277,0.255433302440,0.263516747268,0.270948129634,0.277758718039,0.283974265499,0.289616275510,0.294702943943,0.299249872480,0.303270617590,0.306777118859,0.309780037333,0.312289025719,0.314312946266,0.315860047965,0.316938111774,0.317554570402,0.317716607684,0.317431241408,0.316705392616,0.315545943759,0.313959787582,0.311953868261,0.309535215998,0.306710976066,0.303488433110,0.299875031373,0.295878391388,0.291506323600,0.286766839303,0.281668159201,0.276218719890,0.270427178466,0.264302415483,0.257853536414,0.251089871772,0.244020976019,0.236656625370,0.229006814604,0.221081752946,0.212891859130,0.204447755680,0.195760262495,0.186840389781,0.177699330386,0.168348451590,0.158799286377,0.149063524253,0.139153001620,0.129079691766,0.118855694479,0.108493225340,0.098004604703,0.087402246401,0.076698646205,0.065906370050,0.055038042066,0.044106332431,0.033123945066,0.022103605198,0.011058046809
A_im,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_re,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_im,-0.119102009060,-0.140690669170,-0.159176710555,-0.175491310794,-0.190147212474,-0.203460321078,-0.215640207028,-0.226833396803,-0.237146449335,-0.246659274277,-0.255433302440,-0.263516747268,-0.270948129634,-0.277758718039,-0.283974265499,-0.289616275510,-0.294702943943,-0.299249872480,-0.303270617590,-0.306777118859,-0.309780037333,-0.312289025719,-0.314312946266,-0.315860047965,-0.316938111774,-0.317554570402,-0.317716607684,-0.317431241408,-0.316705392616,-0.315545943759,-0.313959787582,-0.311953868261,-0.309535215998,-0.306710976066,-0.303488433110,-0.299875031373,-0.295878391388,-0.291506323600,-0.286766839303,-0.281668159201,-0.276218719890,-0.270427178466,-0.264302415483,-0.257853536414,-0.251089871772,-0.244020976019,-0.236656625370,-0.229006814604,-0.221081752946,-0.212891859130,-0.204447755680,-0.195760262495,-0.186840389781,-0.177699330386,-0.168348451590,-0.158799286377,-0.149063524253,-0.139153001620,-0.129079691766,-0.118855694479,-0.108493225340,-0.098004604703,-0.087402246401,-0.076698646205,-0.065906370050,-0.055038042066,-0.044106332431,-0.033123945066,-0.022103605198,-0.011058046809
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
# constraint,power
# norm_sq,8.042477193190
# dEdt,1.000000000000
# lambda_max,0.999449515555
