A_re,0.282754345908,0.331428049883,0.371095695135,0.403800812123,0.430621799735,0.452197079422,0.468938697905,0.481134035893,0.488999719735,0.492712494065,0.492427937617,0.488292289512,0.480450134676,0.469049472528,0.454245057755,0.436200554308,0.415089844729,0.391097718656,0.364420091695,0.335263859996,0.303846466227,0.270395233030,0.235146506883,0.198344646273,0.160240881865,0.121092071899,0.081159372981,0.040706844090
A_im,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_re,-0.000000000000,0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_im,-0.282754345908,-0.331428049883,-0.371095695135,-0.403800812123,-0.430621799735,-0.452197079422,-0.468938697905,-0.481134035893,-0.488999719735,-0.492712494065,-0.492427937617,-0.488292289512,-0.480450134676,-0.469049472528,-0.454245057755,-0.436200554308,-0.415089844729,-0.391097718656,-0.364420091695,-0.335263859996,-0.303846466227,-0.270395233030,-0.235146506883,-0.198344646273,-0.160240881865,-0.121092071899,-0.081159372981,-0.040706844090
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
# constraint,power
# norm_sq,8.042477193190
# dEdt,1.000000000000
# lambda_max,0.996880072224
