A_re,0.085601837502,0.101217237237,0.114666456527,0.126626129069,0.137471452959,0.147435525940,0.156674464060,0.165298575147,0.173388990103,0.181007270288,0.188201307115,0.195009125016,0.201461431815,0.207583386247,0.213395857461,0.218916344134,0.224159659187,0.229138449159,0.233863594506,0.238344522524,0.242589455090,0.246605607058,0.250399346782,0.253976327224,0.257341593959,0.260499674854,0.263454655060,0.266210240147,0.268769809586,0.271136462304,0.273313055692,0.275302239184,0.277106483267,0.278728104676,0.280169288344,0.281432106594,0.282518535990,0.283430472153,0.284169742852,0.284738119580,0.285137327820,0.285369056172,0.285434964480,0.285336691077,0.285075859256,0.284654083060,0.284072972453,0.283334137964,0.282439194829,0.281389766719,0.280187489063,0.278834012030,0.277331003191,0.275680149895,0.273883161382,0.271941770667,0.269857736199,0.267632843329,0.265268905589,0.262767765819,0.260131297123,0.257361403698,0.254460021521,0.251429118930,0.248270697072,0.244986790268,0.241579466261,0.238050826391,0.234403005669,0.230638172783,0.226758530025,0.222766313145,0.218663791145,0.214453266006,0.210137072359,0.205717577102,0.201197178958,0.196578307992,0.191863425080,0.187055021324,0.182155617441,0.177167763097,0.172094036214,0.166937042235,0.161699413359,0.156383807741,0.150992908661,0.145529423667,0.139996083688,0.134395642121,0.128730873894,0.123004574504,0.117219559035,0.111378661153,0.105484732082,0.099540639561,0.093549266781,0.087513511312,0.081436284007,0.075320507893,0.069169117053,0.062985055489,0.056771275980,0.050530738920,0.044266411155,0.037981264806,0.031678276084,0.025360424102,0.019030689671,0.012692054100,0.006347497986
A_im,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_re,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_im,-0.085601837502,-0.101217237237,-0.114666456527,-0.126626129069,-0.137471452959,-0.147435525940,-0.156674464060,-0.165298575147,-0.173388990103,-0.181007270288,-0.188201307115,-0.195009125016,-0.201461431815,-0.207583386247,-0.213395857461,-0.218916344134,-0.224159659187,-0.229138449159,-0.233863594506,-0.238344522524,-0.242589455090,-0.246605607058,-0.250399346782,-0.253976327224,-0.257341593959,-0.260499674854,-0.263454655060,-0.266210240147,-0.268769809586,-0.271136462304,-0.273313055692,-0.275302239184,-0.277106483267,-0.278728104676,-0.280169288344,-0.281432106594,-0.282518535990,-0.283430472153,-0.284169742852,-0.284738119580,-0.285137327820,-0.285369056172,-0.285434964480,-0.285336691077,-0.285075859256,-0.284654083060,-0.284072972453,-0.283334137964,-0.282439194829,-0.281389766719,-0.280187489063,-0.278834012030,-0.277331003191,-0.275680149895,-0.273883161382,-0.271941770667,-0.269857736199,-0.267632843329,-0.265268905589,-0.262767765819,-0.260131297123,-0.257361403698,-0.254460021521,-0.251429118930,-0.248270697072,-0.244986790268,-0.241579466261,-0.238050826391,-0.234403005669,-0.230638172783,-0.226758530025,-0.222766313145,-0.218663791145,-0.214453266006,-0.210137072359,-0.205717577102,-0.201197178958,-0.196578307992,-0.191863425080,-0.187055021324,-0.182155617441,-0.177167763097,-0.172094036214,-0.166937042235,-0.161699413359,-0.156383807741,-0.150992908661,-0.145529423667,-0.139996083688,-0.134395642121,-0.128730873894,-0.123004574504,-0.117219559035,-0.111378661153,-0.105484732082,-0.099540639561,-0.093549266781,-0.087513511312,-0.081436284007,-0.075320507893,-0.069169117053,-0.062985055489,-0.056771275980,-0.050530738920,-0.044266411155,-0.037981264806,-0.031678276084,-0.025360424102,-0.019030689671,-0.012692054100,-0.006347497986
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112
# constraint,power
# norm_sq,10.178760197631
# dEdt,1.000000000000
# lambda_max,0.999775476786
