A_re,0.067708770012,0.080080342245,0.090751553093,0.100259133320,0.108901255941,0.116863580920,0.124270778064,0.131211197338,0.137750033906,0.143936935211,0.149810673620,0.155402159419,0.160736462068,0.165834211510,0.170712597067,0.175386096653,0.179867020219,0.184165922127,0.188291919110,0.192252938925,0.196055917293,0.199706955685,0.203211449030,0.206574190089,0.209799455463,0.212891077053,0.215852501849,0.218686842302,0.221396919020,0.223985297165,0.226454317656,0.228806124047,0.231042685784,0.233165818432,0.235177201317,0.237078392997,0.238870844860,0.240555913121,0.242134869452,0.243608910405,0.244979165822,0.246246706325,0.247412550034,0.248477668585,0.249442992550,0.250309416315,0.251077802486,0.251748985874,0.252323777110,0.252802965920,0.253187324106,0.253477608256,0.253674562216,0.253778919345,0.253791404576,0.253712736292,0.253543628054,0.253284790175,0.252936931162,0.252500759041,0.251976982567,0.251366312338,0.250669461808,0.249887148226,0.249020093487,0.248069024915,0.247034675980,0.245917786949,0.244719105486,0.243439387194,0.242079396109,0.240639905151,0.239121696524,0.237525562091,0.235852303692,0.234102733445,0.232277674006,0.230377958794,0.228404432199,0.226357949752,0.224239378274,0.222049596000,0.219789492683,0.217459969670,0.215061939966,0.212596328270,0.210064070999,0.207466116292,0.204803423999,0.202076965651,0.199287724419,0.196436695055,0.193524883824,0.190553308417,0.187522997858,0.184434992393,0.181290343374,0.178090113126,0.174835374805,0.171527212255,0.168166719838,0.164755002272,0.161293174449,0.157782361253,0.154223697360,0.150618327040,0.146967403945,0.143272090895,0.139533559653,0.135752990693,0.131931572966,0.128070503659,0.124170987942,0.120234238719,0.116261476365,0.112253928467,0.108212829548,0.104139420800,0.100034949799,0.095900670230,0.091737841595,0.087547728922,0.083331602476,0.079090737456,0.074826413696,0.070539915362,0.066232530641,0.061905551434,0.057560273044,0.053197993855,0.048820015021,0.044427640142,0.040022174941,0.035604926944,0.031177205150,0.026740319706,0.022295581577,0.017844302217,0.013387793235,0.008927366063,0.004464331626
A_im,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_re,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_im,-0.067708770012,-0.080080342245,-0.090751553093,-0.100259133320,-0.108901255941,-0.116863580920,-0.124270778064,-0.131211197338,-0.137750033906,-0.143936935211,-0.149810673620,-0.155402159419,-0.160736462068,-0.165834211510,-0.170712597067,-0.175386096653,-0.179867020219,-0.184165922127,-0.188291919110,-0.192252938925,-0.196055917293,-0.199706955685,-0.203211449030,-0.206574190089,-0.209799455463,-0.212891077053,-0.215852501849,-0.218686842302,-0.221396919020,-0.223985297165,-0.226454317656,-0.228806124047,-0.231042685784,-0.233165818432,-0.235177201317,-0.237078392997,-0.238870844860,-0.240555913121,-0.242134869452,-0.243608910405,-0.244979165822,-0.246246706325,-0.247412550034,-0.248477668585,-0.249442992550,-0.250309416315,-0.251077802486,-0.251748985874,-0.252323777110,-0.252802965920,-0.253187324106,-0.253477608256,-0.253674562216,-0.253778919345,-0.253791404576,-0.253712736292,-0.253543628054,-0.253284790175,-0.252936931162,-0.252500759041,-0.251976982567,-0.251366312338,-0.250669461808,-0.249887148226,-0.249020093487,-0.248069024915,-0.247034675980,-0.245917786949,-0.244719105486,-0.243439387194,-0.242079396109,-0.240639905151,-0.239121696524,-0.237525562091,-0.235852303692,-0.234102733445,-0.232277674006,-0.230377958794,-0.228404432199,-0.226357949752,-0.224239378274,-0.222049596000,-0.219789492683,-0.217459969670,-0.215061939966,-0.212596328270,-0.210064070999,-0.207466116292,-0.204803423999,-0.202076965651,-0.199287724419,-0.196436695055,-0.193524883824,-0.190553308417,-0.187522997858,-0.184434992393,-0.181290343374,-0.178090113126,-0.174835374805,-0.171527212255,-0.168166719838,-0.164755002272,-0.161293174449,-0.157782361253,-0.154223697360,-0.150618327040,-0.146967403945,-0.143272090895,-0.139533559653,-0.135752990693,-0.131931572966,-0.128070503659,-0.124170987942,-0.120234238719,-0.116261476365,-0.112253928467,-0.108212829548,-0.104139420800,-0.100034949799,-0.095900670230,-0.091737841595,-0.087547728922,-0.083331602476,-0.079090737456,-0.074826413696,-0.070539915362,-0.066232530641,-0.061905551434,-0.057560273044,-0.053197993855,-0.048820015021,-0.044427640142,-0.040022174941,-0.035604926944,-0.031177205150,-0.026740319706,-0.022295581577,-0.017844302217,-0.013387793235,-0.008927366063,-0.004464331626
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142
# constraint,power
# norm_sq,10.178760197631
# dEdt,1.000000000000
# lambda_max,0.999859555154
