A_re,0.103906978907,0.122822351962,0.139083051037,0.153507453057,0.166548303487,0.178486096289,0.189508087878,0.199746112487,0.209296751013,0.218232978188,0.226611312310,0.234476422410,0.241864216775,0.248803982613,0.255319910136,0.261432204292,0.267157912635,0.272511553006,0.277505597100,0.282150848282,0.286456740569,0.290431577898,0.294082727609,0.297416778350,0.300439670037,0.303156801660,0.305573121311,0.307693201876,0.309521305028,0.311061435627,0.312317388183,0.313292786715,0.313991119080,0.314415766640,0.314570029981,0.314457151265,0.314080333701,0.313442758537,0.312547599908,0.311398037813,0.309997269479,0.308348519289,0.306455047463,0.304320157625,0.301947203397,0.299339594109,0.296500799732,0.293434355110,0.290143863562,0.286632999913,0.282905513009,0.278965227768,0.274816046797,0.270461951626,0.265907003579,0.261155344320,0.256211196096,0.251078861698,0.245762724166,0.240267246255,0.234596969675,0.228756514125,0.222750576137,0.216583927735,0.210261414927,0.203787956040,0.197168539907,0.190408223911,0.183512131909,0.176485452019,0.169333434309,0.162061388365,0.154674680764,0.147178732452,0.139579016033,0.131881052973,0.124090410725,0.116212699789,0.108253570691,0.100218710915,0.092113841757,0.083944715144,0.075717110390,0.067436830910,0.059109700891,0.050741561929,0.042338269626,0.033905690158,0.025449696819,0.016976166537,0.008490976373
A_im,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_re,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_im,-0.103906978907,-0.122822351962,-0.139083051037,-0.153507453057,-0.166548303487,-0.178486096289,-0.189508087878,-0.199746112487,-0.209296751013,-0.218232978188,-0.226611312311,-0.234476422410,-0.241864216775,-0.248803982613,-0.255319910136,-0.261432204292,-0.267157912635,-0.272511553006,-0.277505597100,-0.282150848282,-0.286456740569,-0.290431577898,-0.294082727609,-0.297416778350,-0.300439670037,-0.303156801660,-0.305573121311,-0.307693201876,-0.309521305028,-0.311061435627,-0.312317388183,-0.313292786715,-0.313991119080,-0.314415766640,-0.314570029981,-0.314457151265,-0.314080333701,-0.313442758537,-0.312547599908,-0.311398037813,-0.309997269479,-0.308348519289,-0.306455047463,-0.304320157625,-0.301947203397,-0.299339594109,-0.296500799732,-0.293434355110,-0.290143863562,-0.286632999913,-0.282905513009,-0.278965227768,-0.274816046797,-0.270461951626,-0.265907003579,-0.261155344320,-0.256211196096,-0.251078861698,-0.245762724166,-0.240267246255,-0.234596969675,-0.228756514125,-0.222750576137,-0.216583927735,-0.210261414927,-0.203787956040,-0.197168539907,-0.190408223911,-0.183512131909,-0.176485452019,-0.169333434309,-0.162061388365,-0.154674680764,-0.147178732452,-0.139579016033,-0.131881052973,-0.124090410725,-0.116212699789,-0.108253570691,-0.100218710915,-0.092113841757,-0.083944715144,-0.075717110390,-0.067436830910,-0.059109700891,-0.050741561929,-0.042338269626,-0.033905690158,-0.025449696819,-0.016976166537,-0.008490976373
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
# constraint,power
# norm_sq,10.178760197631
# dEdt,1.000000000000
# lambda_max,0.999669109263
