A_re,0.079966622266,0.094562170030,0.107139371509,0.118330931026,0.128487908017,0.137828569034,0.146499225877,0.154603362048,0.162217173223,0.169398545301,0.176192568091,0.182635089874,0.188755101454,0.194576388587,0.200118709617,0.205398654952,0.210430287418,0.215225628057,0.219795030588,0.224147474172,0.228290795225,0.232231873088,0.235976780270,0.239530905184,0.242899053272,0.246085530987,0.249094216038,0.251928616540,0.254591921141,0.257087041722,0.259416649992,0.261583208984,0.263589000296,0.265436147758,0.267126638062,0.268662338828,0.270045014462,0.271276340142,0.272357914164,0.273291268898,0.274077880513,0.274719177643,0.275216549117,0.275571350883,0.275784912195,0.275858541182,0.275793529839,0.275591158526,0.275252700014,0.274779423132,0.274172596063,0.273433489308,0.272563378364,0.271563546144,0.270435285149,0.269179899435,0.267798706378,0.266293038261,0.264664243698,0.262913688907,0.261042758847,0.259052858225,0.256945412393,0.254721868128,0.252383694319,0.249932382560,0.247369447654,0.244696428044,0.241914886158,0.239026408697,0.236032606851,0.232935116451,0.229735598074,0.226435737083,0.223037243623,0.219541852567,0.215951323422,0.212267440181,0.208492011149,0.204626868720,0.200673869126,0.196634892142,0.192511840773,0.188306640895,0.184021240879,0.179657611178,0.175217743894,0.170703652319,0.166117370446,0.161460952466,0.156736472239,0.151946022742,0.147091715501,0.142175680002,0.137200063088,0.132167028334,0.127078755406,0.121937439411,0.116745290224,0.111504531806,0.106217401509,0.100886149366,0.095513037370,0.090100338744,0.084650337197,0.079165326172,0.073647608084,0.068099493550,0.062523300610,0.056921353942,0.051295984067,0.045649526548,0.039984321187,0.034302711209,0.028607042451,0.022899662534,0.017182920045,0.011459163702,0.005730741525
A_im,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_re,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_im,-0.079966622266,-0.094562170030,-0.107139371509,-0.118330931026,-0.128487908017,-0.137828569034,-0.146499225877,-0.154603362048,-0.162217173223,-0.169398545301,-0.176192568091,-0.182635089874,-0.188755101454,-0.194576388587,-0.200118709617,-0.205398654952,-0.210430287418,-0.215225628057,-0.219795030588,-0.224147474172,-0.228290795225,-0.232231873088,-0.235976780270,-0.239530905184,-0.242899053272,-0.246085530987,-0.249094216038,-0.251928616540,-0.254591921141,-0.257087041722,-0.259416649992,-0.261583208984,-0.263589000296,-0.265436147758,-0.267126638062,-0.268662338828,-0.270045014462,-0.271276340142,-0.272357914164,-0.273291268898,-0.274077880513,-0.274719177643,-0.275216549117,-0.275571350883,-0.275784912195,-0.275858541182,-0.275793529839,-0.275591158526,-0.275252700014,-0.274779423132,-0.274172596063,-0.273433489308,-0.272563378364,-0.271563546144,-0.270435285149,-0.269179899435,-0.267798706378,-0.266293038261,-0.264664243698,-0.262913688907,-0.261042758847,-0.259052858225,-0.256945412393,-0.254721868128,-0.252383694319,-0.249932382560,-0.247369447655,-0.244696428044,-0.241914886158,-0.239026408697,-0.236032606851,-0.232935116451,-0.229735598074,-0.226435737083,-0.223037243623,-0.219541852567,-0.215951323422,-0.212267440181,-0.208492011149,-0.204626868720,-0.200673869126,-0.196634892142,-0.192511840773,-0.188306640895,-0.184021240879,-0.179657611178,-0.175217743894,-0.170703652319,-0.166117370446,-0.161460952466,-0.156736472239,-0.151946022742,-0.147091715501,-0.142175680002,-0.137200063088,-0.132167028334,-0.127078755406,-0.121937439411,-0.116745290224,-0.111504531806,-0.106217401509,-0.100886149366,-0.095513037370,-0.090100338744,-0.084650337197,-0.079165326172,-0.073647608084,-0.068099493550,-0.062523300610,-0.056921353942,-0.051295984067,-0.045649526548,-0.039984321187,-0.034302711209,-0.028607042451,-0.022899662534,-0.017182920045,-0.011459163702,-0.005730741525
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
# constraint,power
# norm_sq,10.178760197631
# dEdt,1.000000000000
# lambda_max,0.999804076889
