A_re,0.380217773858,0.443846147895,0.494223661419,0.534003638255,0.564570914956,0.586747851190,0.601080916915,0.607976709238,0.607773603681,0.600782293254,0.587309812975,0.567674108956,0.542212835473,0.511288425900,0.475290636251,0.434637298248,0.389773755905,0.341171304344,0.289324855046,0.234749992682,0.177979550909,0.119559809891,0.060046401879
A_im,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_re,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_im,-0.380217773858,-0.443846147895,-0.494223661419,-0.534003638255,-0.564570914956,-0.586747851190,-0.601080916915,-0.607976709238,-0.607773603681,-0.600782293254,-0.587309812975,-0.567674108956,-0.542212835473,-0.511288425900,-0.475290636251,-0.434637298248,-0.389773755905,-0.341171304344,-0.289324855046,-0.234749992682,-0.177979550909,-0.119559809891,-0.060046401879
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
# constraint,power
# norm_sq,10.178760197631
# dEdt,1.000000000000
# lambda_max,0.995529479972
