A_re,0.228452720865,0.269008232964,0.303065753792,0.332351747154,0.357797685445,0.379964670198,0.399216523305,0.415802417178,0.429900826571,0.441644836079,0.451137624677,0.458462404985,0.463689053544,0.466878673916,0.468086817408,0.467365802404,0.464766410409,0.460339139599,0.454135136677,0.446206889675,0.436608739480,0.425397251269,0.412631475775,0.398373122440,0.382686661066,0.365639364574,0.347301302682,0.327745294201,0.307046824103,0.285283930366,0.262537064724,0.238888930784,0.214424302474,0.189229825375,0.163393803199,0.137005971437,0.110157260000,0.082939546527,0.055445401939,0.027767829673
A_im,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_re,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_im,-0.228452720865,-0.269008232964,-0.303065753792,-0.332351747154,-0.357797685445,-0.379964670198,-0.399216523305,-0.415802417178,-0.429900826571,-0.441644836079,-0.451137624677,-0.458462404985,-0.463689053544,-0.466878673916,-0.468086817408,-0.467365802404,-0.464766410409,-0.460339139599,-0.454135136677,-0.446206889675,-0.436608739480,-0.425397251269,-0.412631475775,-0.398373122440,-0.382686661066,-0.365639364574,-0.347301302682,-0.327745294201,-0.307046824103,-0.285283930366,-0.262537064724,-0.238888930784,-0.214424302474,-0.189229825375,-0.163393803199,-0.137005971437,-0.110157260000,-0.082939546527,-0.055445401939,-0.027767829673
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
# constraint,power
# norm_sq,10.178760197631
# dEdt,1.000000000000
# lambda_max,0.998396067519
