A_re,0.234955058009,0.277915571057,0.314995125410,0.348058517075,0.378142537739,0.405893382904,0.431745464562,0.456007038943,0.478905905778,0.500615817644,0.521272704021,0.540985134320,0.559841338034,0.577914072482,0.595264093288,0.611942688332,0.627993566509,0.643454291238,0.658357385949,0.672731198794,0.686600587651,0.699987469035,0.712911262505,0.725389253896,0.737436894748,0.749068051104,0.760295211749,0.771129663669,0.781581640817,0.791660450978,0.801374584534,0.810731808188,0.819739246107,0.828403450478,0.836730463115,0.844725869467,0.852394846127,0.859742202783,0.866772419367,0.873489679068,0.879897897747,0.886000750218,0.891801693802,0.897303989470,0.902510720891,0.907424811607,0.912049040573,0.916386056233,0.920438389299,0.924208464373,0.927698610540,0.930911071031,0.933848012052,0.936511530876,0.938903663251,0.941026390205,0.942881644293,0.944471315359,0.945797255823,0.946861285576,0.947665196481,0.948210756541,0.948499713748,0.948533799645,0.948314732620,0.947844220960,0.947123965681,0.946155663149,0.944941007515,0.943481692964,0.941779415814,0.939835876456,0.937652781151,0.935231843701,0.932574787001,0.929683344471,0.926559261383,0.923204296097,0.919620221197,0.915808824541,0.911771910233,0.907511299518,0.903028831605,0.898326364420,0.893405775302,0.888268961631,0.882917841409,0.877354353779,0.871580459496,0.865598141358,0.859409404579,0.853016277126,0.846420810019,0.839625077584,0.832631177674,0.825441231855,0.818057385559,0.810481808201,0.802716693269,0.794764258387,0.786626745347,0.778306420113,0.769805572808,0.761126517661,0.752271592951,0.743243160910,0.734043607618,0.724675342868,0.715140800019,0.705442435825,0.695582730244,0.685564186237,0.675389329544,0.665060708444,0.654580893503,0.643952477302,0.633178074155,0.622260319808,0.611201871132,0.600005405794,0.588673621920,0.577209237750,0.565614991271,0.553893639848,0.542047959839,0.530080746200,0.517994812085,0.505792988427,0.493478123518,0.481053082572,0.468520747290,0.455884015404,0.443145800219,0.430309030154,0.417376648257,0.404351611734,0.391236891454,0.378035471456,0.364750348450,0.351384531305,0.337941040537,0.324422907788,0.310833175304,0.297174895400,0.283451129927,0.269664949729,0.255819434101,0.241917670236,0.227962752674,0.213957782741,0.199905867989,0.185810121629,0.171673661966,0.157499611822,0.143291097964,0.129051250526,0.114783202427,0.100490088791,0.086175046357,0.071841212897,0.057491726625,0.043129725603,0.028758347156,0.014380727269
A_im,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_re,-0.000000000000,0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_im,-0.234955058009,-0.277915571057,-0.314995125410,-0.348058517075,-0.378142537739,-0.405893382904,-0.431745464562,-0.456007038943,-0.478905905778,-0.500615817644,-0.521272704021,-0.540985134320,-0.559841338034,-0.577914072482,-0.595264093288,-0.611942688332,-0.627993566509,-0.643454291238,-0.658357385949,-0.672731198794,-0.686600587651,-0.699987469035,-0.712911262505,-0.725389253896,-0.737436894748,-0.749068051104,-0.760295211749,-0.771129663669,-0.781581640817,-0.791660450978,-0.801374584534,-0.810731808188,-0.819739246107,-0.828403450478,-0.836730463115,-0.844725869467,-0.852394846127,-0.859742202783,-0.866772419367,-0.873489679068,-0.879897897747,-0.886000750218,-0.891801693802,-0.897303989470,-0.902510720891,-0.907424811607,-0.912049040573,-0.916386056233,-0.920438389299,-0.924208464373,-0.927698610540,-0.930911071031,-0.933848012052,-0.936511530876,-0.938903663251,-0.941026390205,-0.942881644293,-0.944471315359,-0.945797255823,-0.946861285576,-0.947665196481,-0.948210756541,-0.948499713748,-0.948533799645,-0.948314732620,-0.947844220960,-0.947123965681,-0.946155663149,-0.944941007514,-0.943481692963,-0.941779415814,-0.939835876456,-0.937652781151,-0.935231843701,-0.932574787001,-0.929683344471,-0.926559261383,-0.923204296097,-0.919620221197,-0.915808824541,-0.911771910233,-0.907511299518,-0.903028831605,-0.898326364420,-0.893405775302,-0.888268961631,-0.882917841409,-0.877354353779,-0.871580459496,-0.865598141358,-0.859409404579,-0.853016277126,-0.846420810019,-0.839625077584,-0.832631177674,-0.825441231855,-0.818057385559,-0.810481808201,-0.802716693268,-0.794764258387,-0.786626745346,-0.778306420113,-0.769805572808,-0.761126517661,-0.752271592951,-0.743243160910,-0.734043607617,-0.724675342868,-0.715140800019,-0.705442435825,-0.695582730244,-0.685564186237,-0.675389329544,-0.665060708444,-0.654580893503,-0.643952477302,-0.633178074155,-0.622260319808,-0.611201871132,-0.600005405794,-0.588673621920,-0.577209237750,-0.565614991271,-0.553893639848,-0.542047959839,-0.530080746200,-0.517994812085,-0.505792988427,-0.493478123518,-0.481053082572,-0.468520747290,-0.455884015403,-0.443145800219,-0.430309030154,-0.417376648257,-0.404351611734,-0.391236891454,-0.378035471456,-0.364750348450,-0.351384531305,-0.337941040537,-0.324422907788,-0.310833175304,-0.297174895400,-0.283451129927,-0.269664949729,-0.255819434101,-0.241917670236,-0.227962752674,-0.213957782741,-0.199905867989,-0.185810121629,-0.171673661966,-0.157499611822,-0.143291097964,-0.129051250526,-0.114783202427,-0.100490088791,-0.086175046357,-0.071841212897,-0.057491726625,-0.043129725603,-0.028758347156,-0.014380727269
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165
# constraint,norm
# norm_sq,165.000000000000
# dEdt,26.796495520574
# lambda_max,26.793700142859
