A_re,0.236365682186,0.279581980268,0.316880629864,0.350137459447,0.380395335330,0.408304194308,0.434300928171,0.458695524142,0.481717037396,0.503540158092,0.524301532150,0.544110286545,0.563055091152,0.581209055353,0.598633219045,0.615379101549,0.631490601492,0.647005438743,0.661956266377,0.676371540439,0.690276208952,0.703692264013,0.716639188783,0.729134322819,0.741193163230,0.752829614910,0.764056199967,0.774884234192,0.785323976670,0.795384757363,0.805075086500,0.814402748825,0.823374885195,0.831998063536,0.840278340794,0.848221317240,0.855832184244,0.863115766456,0.870076559161,0.876718761468,0.883046305884,0.889062884741,0.894771973867,0.900176853848,0.905280629169,0.910086245478,0.914596505208,0.918814081720,0.922741532143,0.926381309056,0.929735771125,0.932807192810,0.935597773241,0.938109644330,0.940344878221,0.942305494112,0.943993464534,0.945410721120,0.946559159920,0.947440646301,0.948057019464,0.948410096619,0.948501676838,0.948333544625,0.947907473210,0.947225227604,0.946288567427,0.945099249528,0.943659030414,0.941969668494,0.940032926170,0.937850571766,0.935424381322,0.932756140248,0.929847644864,0.926700703821,0.923317139414,0.919698788801,0.915847505119,0.911765158526,0.907453637146,0.902914847947,0.898150717547,0.893163192943,0.887954242185,0.882525854986,0.876880043272,0.871018841685,0.864944308025,0.858658523654,0.852163593846,0.845461648101,0.838554840405,0.831445349469,0.824135378912,0.816627157423,0.808922938881,0.801025002440,0.792935652597,0.784657219212,0.776192057515,0.767542548076,0.758711096756,0.749700134628,0.740512117877,0.731149527677,0.721614870046,0.711910675679,0.702039499764,0.692003921772,0.681806545234,0.671449997504,0.660936929490,0.650270015386,0.639451952374,0.628485460319,0.617373281447,0.606118180006,0.594722941915,0.583190374403,0.571523305628,0.559724584290,0.547797079230,0.535743679014,0.523567291513,0.511270843465,0.498857280029,0.486329564336,0.473690677014,0.460943615725,0.448091394672,0.435137044113,0.422083609859,0.408934152766,0.395691748220,0.382359485611,0.368940467805,0.355437810607,0.341854642215,0.328194102671,0.314459343305,0.300653526171,0.286779823481,0.272841417034,0.258841497633,0.244783264506,0.230669924715,0.216504692571,0.202290789028,0.188031441094,0.173729881217,0.159389346687,0.145013079018,0.130604323341,0.116166327783,0.101702342852,0.087215620811,0.072709415059,0.058186979503,0.043651567932,0.029106433385,0.014554827524
A_im,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_re,-0.000000000000,0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_im,-0.236365682186,-0.279581980268,-0.316880629864,-0.350137459447,-0.380395335330,-0.408304194308,-0.434300928171,-0.458695524142,-0.481717037396,-0.503540158092,-0.524301532150,-0.544110286545,-0.563055091152,-0.581209055353,-0.598633219045,-0.615379101549,-0.631490601492,-0.647005438743,-0.661956266377,-0.676371540439,-0.690276208952,-0.703692264013,-0.716639188783,-0.729134322819,-0.741193163230,-0.752829614910,-0.764056199967,-0.774884234192,-0.785323976670,-0.795384757363,-0.805075086500,-0.814402748825,-0.823374885195,-0.831998063536,-0.840278340794,-0.848221317240,-0.855832184244,-0.863115766456,-0.870076559161,-0.876718761468,-0.883046305884,-0.889062884741,-0.894771973867,-0.900176853848,-0.905280629169,-0.910086245478,-0.914596505208,-0.918814081720,-0.922741532143,-0.926381309056,-0.929735771125,-0.932807192810,-0.935597773241,-0.938109644330,-0.940344878221,-0.942305494112,-0.943993464534,-0.945410721120,-0.946559159920,-0.947440646301,-0.948057019464,-0.948410096619,-0.948501676838,-0.948333544625,-0.947907473210,-0.947225227604,-0.946288567427,-0.945099249528,-0.943659030414,-0.941969668494,-0.940032926170,-0.937850571766,-0.935424381322,-0.932756140248,-0.929847644864,-0.926700703821,-0.923317139414,-0.919698788801,-0.915847505119,-0.911765158526,-0.907453637146,-0.902914847947,-0.898150717547,-0.893163192943,-0.887954242185,-0.882525854986,-0.876880043272,-0.871018841685,-0.864944308025,-0.858658523654,-0.852163593846,-0.845461648101,-0.838554840405,-0.831445349469,-0.824135378912,-0.816627157423,-0.808922938881,-0.801025002440,-0.792935652597,-0.784657219212,-0.776192057515,-0.767542548076,-0.758711096756,-0.749700134628,-0.740512117877,-0.731149527677,-0.721614870046,-0.711910675679,-0.702039499764,-0.692003921771,-0.681806545234,-0.671449997504,-0.660936929490,-0.650270015386,-0.639451952374,-0.628485460319,-0.617373281447,-0.606118180006,-0.594722941915,-0.583190374403,-0.571523305628,-0.559724584290,-0.547797079230,-0.535743679014,-0.523567291513,-0.511270843464,-0.498857280029,-0.486329564336,-0.473690677014,-0.460943615725,-0.448091394672,-0.435137044113,-0.422083609859,-0.408934152766,-0.395691748220,-0.382359485611,-0.368940467805,-0.355437810607,-0.341854642215,-0.328194102671,-0.314459343305,-0.300653526171,-0.286779823481,-0.272841417034,-0.258841497633,-0.244783264505,-0.230669924715,-0.216504692571,-0.202290789028,-0.188031441094,-0.173729881217,-0.159389346687,-0.145013079018,-0.130604323341,-0.116166327783,-0.101702342852,-0.087215620811,-0.072709415059,-0.058186979503,-0.043651567932,-0.029106433385,-0.014554827524
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163
# constraint,norm
# norm_sq,163.000000000000
# dEdt,26.471689514264
# lambda_max,26.468860454341
